# specimen,C1,record_name,P2-06,instrument_id,C(260917B)-XRR,raw_file,XRR 1_C(260917B)-XRR.xrdml,role,single carbon film on glass; baseline round 3,points,2891
two_theta_deg,intensity_counts
0.09550,338638.0
0.09850,346785.0
0.10150,356156.0
0.10450,365518.0
0.10750,376288.0
0.11050,388817.0
0.11350,400235.0
0.11650,411270.0
0.11950,421649.0
0.12250,430938.0
0.12550,442496.0
0.12850,451973.0
0.13150,459865.0
0.13450,471028.0
0.13750,482907.0
0.14050,492832.0
0.14350,503441.0
0.14650,509887.0
0.14950,519197.0
0.15250,528014.0
0.15550,536065.0
0.15850,545934.0
0.16150,558207.0
0.16450,567955.0
0.16750,578401.0
0.17050,589472.0
0.17350,596702.0
0.17650,606891.0
0.17950,614403.0
0.18250,622054.0
0.18550,630586.0
0.18850,640485.0
0.19150,648211.0
0.19450,657265.0
0.19750,665897.0
0.20050,671664.0
0.20350,679221.0
0.20650,682070.0
0.20950,689922.0
0.21250,700904.0
0.21550,713848.0
0.21850,720941.0
0.22150,728536.0
0.22450,734243.0
0.22750,740935.0
0.23050,746403.0
0.23350,751531.0
0.23650,758594.0
0.23950,766435.0
0.24250,772200.0
0.24550,779879.0
0.24850,782723.0
0.25150,789113.0
0.25450,793760.0
0.25750,797284.0
0.26050,802732.0
0.26350,808705.0
0.26650,819252.0
0.26950,824944.0
0.27250,830176.0
0.27550,833289.0
0.27850,838185.0
0.28150,842503.0
0.28450,845515.0
0.28750,848359.0
0.29050,855185.0
0.29350,859664.0
0.29650,864413.0
0.29950,866443.0
0.30250,869248.0
0.30550,871941.0
0.30850,872709.0
0.31150,875126.0
0.31450,882139.0
0.31750,886389.0
0.32050,891459.0
0.32350,895427.0
0.32650,896993.0
0.32950,901816.0
0.33250,901928.0
0.33550,904341.0
0.33850,904441.0
0.34150,908441.0
0.34450,911871.0
0.34750,913829.0
0.35050,916136.0
0.35350,917662.0
0.35650,917044.0
0.35950,919954.0
0.36250,919875.0
0.36550,921599.0
0.36850,923668.0
0.37150,927009.0
0.37450,927993.0
0.37750,927667.0
0.38050,927914.0
0.38350,927525.0
0.38650,926734.0
0.38950,927567.0
0.39250,925655.0
0.39550,924941.0
0.39850,923247.0
0.40150,921963.0
0.40450,919134.0
0.40750,913572.0
0.41050,907096.0
0.41350,901903.0
0.41650,894673.0
0.41950,884944.0
0.42250,872364.0
0.42550,852006.0
0.42850,826555.0
0.43150,793534.0
0.43450,750980.0
0.43750,698225.0
0.44050,636768.0
0.44350,572164.0
0.44650,502961.0
0.44950,435519.0
0.45250,374199.0
0.45550,323555.0
0.45850,284492.0
0.46150,261494.0
0.46450,247363.0
0.46750,239636.0
0.47050,232333.0
0.47350,223031.0
0.47650,212327.0
0.47950,200300.0
0.48250,187271.0
0.48550,174369.0
0.48850,164010.0
0.49150,154047.0
0.49450,145189.0
0.49750,137335.0
0.50050,129552.0
0.50350,123228.0
0.50650,117210.0
0.50950,111067.0
0.51250,104777.0
0.51550,100201.0
0.51850,94984.0
0.52150,90732.0
0.52450,85904.0
0.52750,81620.0
0.53050,76618.0
0.53350,71949.0
0.53650,68050.0
0.53950,63629.0
0.54250,59599.0
0.54550,55385.0
0.54850,51772.0
0.55150,47944.0
0.55450,44080.0
0.55750,40571.0
0.56050,36453.0
0.56350,32889.0
0.56650,30091.0
0.56950,27048.0
0.57250,24404.0
0.57550,21583.0
0.57850,19134.0
0.58150,16901.0
0.58450,14824.0
0.58750,12783.0
0.59050,11163.0
0.59350,9415.0
0.59650,8489.0
0.59950,7353.0
0.60250,6387.0
0.60550,5747.0
0.60850,5026.0
0.61150,4739.0
0.61450,4711.0
0.61750,4535.0
0.62050,4579.0
0.62350,4940.0
0.62650,5394.0
0.62950,5735.0
0.63250,6221.0
0.63550,6831.0
0.63850,7518.0
0.64150,8157.0
0.64450,8872.0
0.64750,9514.0
0.65050,10239.0
0.65350,11092.0
0.65650,11636.0
0.65950,12268.0
0.66250,12892.0
0.66550,13722.0
0.66850,14528.0
0.67150,14716.0
0.67450,15186.0
0.67750,15516.0
0.68050,15976.0
0.68350,16135.0
0.68650,16495.0
0.68950,16841.0
0.69250,16705.0
0.69550,16991.0
0.69850,16879.0
0.70150,16872.0
0.70450,16762.0
0.70750,16332.0
0.71050,16451.0
0.71350,16076.0
0.71650,15529.0
0.71950,15211.0
0.72250,15096.0
0.72550,14733.0
0.72850,14278.0
0.73150,13675.0
0.73450,13111.0
0.73750,12607.0
0.74050,12072.0
0.74350,11519.0
0.74650,11050.0
0.74950,10220.0
0.75250,9726.0
0.75550,9201.0
0.75850,8730.0
0.76150,8203.0
0.76450,7532.0
0.76750,7107.0
0.77050,6610.0
0.77350,6054.0
0.77650,5610.0
0.77950,5098.0
0.78250,4773.0
0.78550,4242.0
0.78850,3771.0
0.79150,3409.0
0.79450,3095.0
0.79750,2783.0
0.80050,2445.0
0.80350,2197.0
0.80650,1955.0
0.80950,1657.0
0.81250,1412.0
0.81550,1248.0
0.81850,1091.0
0.82150,949.0
0.82450,886.0
0.82750,745.0
0.83050,714.0
0.83350,670.0
0.83650,645.0
0.83950,643.0
0.84250,645.0
0.84550,704.0
0.84850,743.0
0.85150,819.0
0.85450,909.0
0.85750,1034.0
0.86050,1107.0
0.86350,1248.0
0.86650,1303.0
0.86950,1452.0
0.87250,1516.0
0.87550,1797.0
0.87850,1895.0
0.88150,1984.0
0.88450,2308.0
0.88750,2310.0
0.89050,2510.0
0.89350,2688.0
0.89650,2814.0
0.89950,2910.0
0.90250,3043.0
0.90550,3257.0
0.90850,3329.0
0.91150,3476.0
0.91450,3471.0
0.91750,3620.0
0.92050,3659.0
0.92350,3654.0
0.92650,3883.0
0.92950,3919.0
0.93250,3942.0
0.93550,4091.0
0.93850,3947.0
0.94150,4012.0
0.94450,4089.0
0.94750,3904.0
0.95050,4037.0
0.95350,4003.0
0.95650,3866.0
0.95950,3845.0
0.96250,3771.0
0.96550,3643.0
0.96850,3558.0
0.97150,3519.0
0.97450,3470.0
0.97750,3317.0
0.98050,3356.0
0.98350,3200.0
0.98650,3051.0
0.98950,2890.0
0.99250,2768.0
0.99550,2726.0
0.99850,2523.0
1.00150,2384.0
1.00450,2333.0
1.00750,2144.0
1.01050,2084.0
1.01350,1965.0
1.01650,1903.0
1.01950,1651.0
1.02250,1564.0
1.02550,1516.0
1.02850,1413.0
1.03150,1230.0
1.03450,1066.0
1.03750,1040.0
1.04050,970.0
1.04350,848.0
1.04650,763.0
1.04950,684.0
1.05250,622.0
1.05550,531.0
1.05850,480.0
1.06150,418.0
1.06450,361.0
1.06750,354.0
1.07050,307.0
1.07350,267.0
1.07650,224.0
1.07950,198.0
1.08250,189.0
1.08550,172.0
1.08850,170.0
1.09150,177.0
1.09450,174.0
