# specimen,CoC1,record_name,P2-01,instrument_id,Co(260914A),raw_file,XRR 1_Co(260914A).xrdml,role,"Co/C, baseline round 1",points,5302
two_theta_deg,intensity_counts
0.09550,711870.0
0.09850,739117.0
0.10150,767190.0
0.10450,791074.0
0.10750,815467.0
0.11050,838753.0
0.11350,862038.0
0.11650,885704.0
0.11950,907635.0
0.12250,934283.0
0.12550,962024.0
0.12850,987642.0
0.13150,1008564.0
0.13450,1031820.0
0.13750,1052363.0
0.14050,1075078.0
0.14350,1095969.0
0.14650,1118270.0
0.14950,1144483.0
0.15250,1170282.0
0.15550,1192073.0
0.15850,1215681.0
0.16150,1237273.0
0.16450,1260870.0
0.16750,1280241.0
0.17050,1301691.0
0.17350,1326718.0
0.17650,1351537.0
0.17950,1374122.0
0.18250,1393589.0
0.18550,1412605.0
0.18850,1429832.0
0.19150,1447227.0
0.19450,1468999.0
0.19750,1490508.0
0.20050,1511872.0
0.20350,1535028.0
0.20650,1557855.0
0.20950,1574883.0
0.21250,1591808.0
0.21550,1610014.0
0.21850,1629920.0
0.22150,1645836.0
0.22450,1665649.0
0.22750,1687041.0
0.23050,1709105.0
0.23350,1723355.0
0.23650,1739754.0
0.23950,1753922.0
0.24250,1770229.0
0.24550,1782799.0
0.24850,1799865.0
0.25150,1816588.0
0.25450,1834975.0
0.25750,1852232.0
0.26050,1866012.0
0.26350,1878630.0
0.26650,1891271.0
0.26950,1903034.0
0.27250,1917906.0
0.27550,1932372.0
0.27850,1948074.0
0.28150,1962175.0
0.28450,1970459.0
0.28750,1980111.0
0.29050,1987126.0
0.29350,2000201.0
0.29650,2005677.0
0.29950,2017597.0
0.30250,2028085.0
0.30550,2039486.0
0.30850,2050146.0
0.31150,2057300.0
0.31450,2063535.0
0.31750,2070199.0
0.32050,2078381.0
0.32350,2086587.0
0.32650,2093170.0
0.32950,2103075.0
0.33250,2109889.0
0.33550,2112928.0
0.33850,2115854.0
0.34150,2118517.0
0.34450,2122674.0
0.34750,2129287.0
0.35050,2130463.0
0.35350,2135947.0
0.35650,2142752.0
0.35950,2145008.0
0.36250,2147371.0
0.36550,2147994.0
0.36850,2148101.0
0.37150,2153313.0
0.37450,2152021.0
0.37750,2152211.0
0.38050,2153835.0
0.38350,2152468.0
0.38650,2151190.0
0.38950,2149714.0
0.39250,2143895.0
0.39550,2147652.0
0.39850,2144549.0
0.40150,2141400.0
0.40450,2136065.0
0.40750,2138488.0
0.41050,2133805.0
0.41350,2131656.0
0.41650,2126926.0
0.41950,2118898.0
0.42250,2115239.0
0.42550,2112348.0
0.42850,2104614.0
0.43150,2100810.0
0.43450,2089390.0
0.43750,2085739.0
0.44050,2074368.0
0.44350,2060555.0
0.44650,2045297.0
0.44950,2028610.0
0.45250,2000361.0
0.45550,1975568.0
0.45850,1952028.0
0.46150,1935820.0
0.46450,1923302.0
0.46750,1913465.0
0.47050,1906272.0
0.47350,1903235.0
0.47650,1900050.0
0.47950,1895175.0
0.48250,1897247.0
0.48550,1897175.0
0.48850,1888660.0
0.49150,1886235.0
0.49450,1881722.0
0.49750,1874056.0
0.50050,1869862.0
0.50350,1865612.0
0.50650,1862620.0
0.50950,1863835.0
0.51250,1861376.0
0.51550,1855874.0
0.51850,1849455.0
0.52150,1845773.0
0.52450,1841200.0
0.52750,1835872.0
0.53050,1831556.0
0.53350,1826765.0
0.53650,1825551.0
0.53950,1819190.0
0.54250,1810979.0
0.54550,1802803.0
0.54850,1797712.0
0.55150,1793019.0
0.55450,1784503.0
0.55750,1776179.0
0.56050,1773901.0
0.56350,1769252.0
0.56650,1763482.0
0.56950,1752289.0
0.57250,1744582.0
0.57550,1739863.0
0.57850,1730318.0
0.58150,1721076.0
0.58450,1715121.0
0.58750,1708263.0
0.59050,1697692.0
0.59350,1690468.0
0.59650,1679236.0
0.59950,1668996.0
0.60250,1656523.0
0.60550,1651090.0
0.60850,1644414.0
0.61150,1633866.0
0.61450,1626224.0
0.61750,1613250.0
0.62050,1605694.0
0.62350,1598168.0
0.62650,1586691.0
0.62950,1572493.0
0.63250,1565068.0
0.63550,1551769.0
0.63850,1540848.0
0.64150,1531196.0
0.64450,1521591.0
0.64750,1506337.0
0.65050,1494577.0
0.65350,1483242.0
0.65650,1468895.0
0.65950,1454922.0
0.66250,1444268.0
0.66550,1433104.0
0.66850,1422626.0
0.67150,1405828.0
0.67450,1393249.0
0.67750,1379432.0
0.68050,1362196.0
0.68350,1351073.0
0.68650,1336391.0
0.68950,1322300.0
0.69250,1308349.0
0.69550,1292229.0
0.69850,1279880.0
0.70150,1260175.0
0.70450,1247354.0
0.70750,1230538.0
0.71050,1217666.0
0.71350,1197527.0
0.71650,1185169.0
0.71950,1169614.0
0.72250,1153699.0
0.72550,1136033.0
0.72850,1117729.0
0.73150,1102769.0
0.73450,1083991.0
0.73750,1067615.0
0.74050,1051343.0
0.74350,1034446.0
0.74650,1018191.0
0.74950,998534.0
0.75250,979697.0
0.75550,959378.0
0.75850,942621.0
0.76150,923852.0
0.76450,906143.0
0.76750,888565.0
0.77050,870655.0
0.77350,851831.0
0.77650,835061.0
0.77950,814202.0
0.78250,795999.0
0.78550,776107.0
0.78850,759290.0
0.79150,740634.0
0.79450,721956.0
0.79750,702526.0
0.80050,684538.0
0.80350,665326.0
0.80650,646384.0
0.80950,627511.0
0.81250,607870.0
0.81550,591777.0
0.81850,575889.0
0.82150,557226.0
0.82450,539512.0
0.82750,519865.0
0.83050,503823.0
0.83350,485507.0
0.83650,468297.0
0.83950,451311.0
0.84250,435984.0
0.84550,419528.0
0.84850,402840.0
0.85150,385165.0
0.85450,370832.0
0.85750,354586.0
0.86050,339551.0
0.86350,324319.0
0.86650,309826.0
0.86950,297527.0
0.87250,283993.0
0.87550,270336.0
0.87850,257054.0
0.88150,243906.0
0.88450,232447.0
0.88750,220710.0
0.89050,209095.0
0.89350,197645.0
0.89650,187375.0
0.89950,177288.0
0.90250,166138.0
0.90550,156901.0
0.90850,147006.0
0.91150,138614.0
0.91450,129138.0
0.91750,122204.0
0.92050,113730.0
0.92350,108316.0
0.92650,100741.0
0.92950,93357.0
0.93250,86850.0
0.93550,80823.0
0.93850,75209.0
0.94150,70077.0
0.94450,64645.0
0.94750,60105.0
0.95050,55470.0
0.95350,51551.0
0.95650,47255.0
0.95950,43679.0
0.96250,40337.0
0.96550,37282.0
0.96850,34534.0
0.97150,32150.0
0.97450,29413.0
0.97750,27205.0
0.98050,25572.0
0.98350,23623.0
0.98650,21803.0
0.98950,20677.0
0.99250,19422.0
0.99550,18309.0
0.99850,17561.0
1.00150,16624.0
1.00450,16020.0
1.00750,15385.0
1.01050,15086.0
1.01350,14989.0
1.01650,14519.0
1.01950,14479.0
1.02250,14367.0
1.02550,14414.0
1.02850,14654.0
1.03150,14939.0
1.03450,15312.0
1.03750,15658.0
1.04050,15911.0
1.04350,16648.0
1.04650,16998.0
1.04950,17505.0
1.05250,17884.0
1.05550,18529.0
1.05850,19158.0
1.06150,19689.0
1.06450,20257.0
1.06750,21003.0
1.07050,21423.0
1.07350,22464.0
1.07650,22762.0
1.07950,23645.0
1.08250,23972.0
1.08550,24677.0
1.08850,25367.0
1.09150,25776.0
1.09450,26403.0
1.09750,27006.0
1.10050,27613.0
1.10350,28092.0
1.10650,28845.0
1.10950,29580.0
1.11250,29581.0
1.11550,30002.0
1.11850,30819.0
1.12150,30908.0
1.12450,31360.0
1.12750,31817.0
1.13050,32265.0
1.13350,32312.0
1.13650,32813.0
1.13950,32863.0
1.14250,33537.0
1.14550,33585.0
1.14850,33820.0
1.15150,33856.0
1.15450,33878.0
1.15750,34504.0
1.16050,34070.0
1.16350,34322.0
1.16650,34381.0
1.16950,34407.0
1.17250,34516.0
1.17550,34145.0
1.17850,34289.0
1.18150,34374.0
1.18450,34402.0
1.18750,33782.0
1.19050,33869.0
1.19350,33522.0
1.19650,33454.0
1.19950,33401.0
1.20250,33357.0
1.20550,33062.0
1.20850,32663.0
1.21150,32441.0
1.21450,32617.0
1.21750,31861.0
1.22050,31235.0
1.22350,31357.0
1.22650,30671.0
1.22950,30441.0
1.23250,30091.0
1.23550,29840.0
1.23850,29564.0
1.24150,28956.0
1.24450,28117.0
1.24750,28067.0
1.25050,27771.0
1.25350,27268.0
1.25650,26705.0
1.25950,26601.0
1.26250,26143.0
1.26550,25786.0
1.26850,25081.0
1.27150,24366.0
1.27450,23690.0
1.27750,23838.0
1.28050,23188.0
1.28350,22929.0
1.28650,22372.0
1.28950,21891.0
1.29250,21241.0
1.29550,20925.0
1.29850,20406.0
1.30150,19972.0
1.30450,19578.0
1.30750,18774.0
1.31050,18619.0
1.31350,18247.0
1.31650,17444.0
1.31950,17158.0
1.32250,16646.0
1.32550,15936.0
1.32850,15730.0
1.33150,15336.0
1.33450,15044.0
1.33750,14611.0
1.34050,14029.0
1.34350,13874.0
1.34650,13143.0
1.34950,12848.0
1.35250,12228.0
1.35550,12086.0
1.35850,11760.0
1.36150,11193.0
1.36450,10764.0
1.36750,10241.0
1.37050,10260.0
1.37350,9718.0
1.37650,9404.0
1.37950,9073.0
1.38250,8782.0
1.38550,8448.0
1.38850,8096.0
1.39150,7659.0
1.39450,7584.0
1.39750,7186.0
1.40050,6817.0
1.40350,6692.0
1.40650,6267.0
1.40950,6141.0
1.41250,5720.0
1.41550,5426.0
1.41850,5242.0
1.42150,5067.0
1.42450,4817.0
1.42750,4508.0
1.43050,4395.0
1.43350,4118.0
1.43650,3763.0
1.43950,3745.0
1.44250,3460.0
1.44550,3356.0
1.44850,3084.0
1.45150,2900.0
1.45450,2767.0
1.45750,2616.0
1.46050,2338.0
1.46350,2301.0
1.46650,2125.0
1.46950,2079.0
1.47250,1850.0
1.47550,1820.0
1.47850,1671.0
1.48150,1451.0
1.48450,1384.0
1.48750,1315.0
1.49050,1191.0
1.49350,1121.0
1.49650,1030.0
1.49950,904.0
1.50250,883.0
1.50550,775.0
1.50850,724.0
1.51150,641.0
1.51450,645.0
1.51750,557.0
1.52050,484.0
1.52350,443.0
1.52650,405.0
1.52950,347.0
1.53250,312.0
1.53550,285.0
1.53850,238.0
1.54150,218.0
1.54450,207.0
1.54750,183.0
1.55050,177.0
1.55350,163.0
1.55650,151.0
1.55950,129.0
1.56250,114.0
1.56550,110.0
1.56850,115.0
1.57150,148.0
1.57450,130.0
1.57750,142.0
1.58050,129.0
1.58350,157.0
1.58650,162.0
1.58950,180.0
1.59250,174.0
1.59550,203.0
1.59850,213.0
1.60150,258.0
1.60450,260.0
1.60750,303.0
1.61050,329.0
1.61350,397.0
1.61650,369.0
1.61950,431.0
1.62250,419.0
1.62550,444.0
1.62850,497.0
1.63150,498.0
1.63450,561.0
1.63750,580.0
1.64050,569.0
1.64350,593.0
1.64650,678.0
1.64950,735.0
1.65250,717.0
1.65550,747.0
1.65850,844.0
1.66150,848.0
1.66450,893.0
1.66750,907.0
1.67050,1011.0
1.67350,971.0
1.67650,1110.0
1.67950,1093.0
1.68250,1155.0
1.68550,1139.0
1.68850,1229.0
1.69150,1236.0
1.69450,1169.0
1.69750,1333.0
1.70050,1386.0
1.70350,1426.0
1.70650,1358.0
1.70950,1462.0
1.71250,1492.0
1.71550,1521.0
1.71850,1540.0
1.72150,1592.0
1.72450,1617.0
1.72750,1592.0
1.73050,1613.0
1.73350,1701.0
1.73650,1688.0
1.73950,1739.0
1.74250,1803.0
1.74550,1741.0
1.74850,1813.0
1.75150,1864.0
1.75450,1903.0
1.75750,1948.0
1.76050,1900.0
1.76350,1888.0
1.76650,1979.0
1.76950,1927.0
1.77250,1929.0
1.77550,1975.0
1.77850,2109.0
1.78150,2077.0
1.78450,1983.0
1.78750,2077.0
1.79050,2086.0
1.79350,2162.0
1.79650,2132.0
1.79950,2155.0
1.80250,2131.0
1.80550,2148.0
1.80850,2097.0
1.81150,2221.0
1.81450,2209.0
1.81750,2135.0
1.82050,2274.0
1.82350,2301.0
1.82650,2240.0
1.82950,2296.0
1.83250,2270.0
1.83550,2259.0
1.83850,2346.0
1.84150,2268.0
1.84450,2260.0
1.84750,2199.0
1.85050,2258.0
1.85350,2293.0
1.85650,2207.0
1.85950,2253.0
1.86250,2167.0
1.86550,2165.0
1.86850,2225.0
1.87150,2227.0
1.87450,2248.0
1.87750,2217.0
1.88050,2270.0
1.88350,2282.0
1.88650,2265.0
1.88950,2182.0
1.89250,2201.0
1.89550,2171.0
1.89850,2150.0
1.90150,2061.0
1.90450,2165.0
1.90750,2130.0
1.91050,2111.0
1.91350,2155.0
1.91650,2076.0
1.91950,2043.0
1.92250,1998.0
1.92550,2013.0
1.92850,1966.0
1.93150,1955.0
1.93450,1930.0
1.93750,1928.0
1.94050,1949.0
1.94350,1863.0
1.94650,1923.0
1.94950,1863.0
1.95250,1862.0
1.95550,1822.0
1.95850,1797.0
1.96150,1772.0
1.96450,1745.0
1.96750,1713.0
1.97050,1671.0
1.97350,1693.0
1.97650,1654.0
1.97950,1543.0
1.98250,1545.0
1.98550,1528.0
1.98850,1541.0
1.99150,1526.0
1.99450,1424.0
1.99750,1474.0
2.00050,1421.0
2.00350,1403.0
2.00650,1334.0
2.00950,1326.0
2.01250,1437.0
2.01550,1265.0
2.01850,1239.0
2.02150,1252.0
2.02450,1219.0
2.02750,1164.0
2.03050,1180.0
2.03350,1116.0
2.03650,1079.0
2.03950,1086.0
2.04250,1109.0
2.04550,1058.0
2.04850,977.0
2.05150,992.0
2.05450,983.0
2.05750,892.0
2.06050,837.0
