# specimen,CoC2,record_name,P2-02,instrument_id,Co-C(260914B),raw_file,XRR 1_Co-C(260914B).xrdml,role,"Co/C, baseline round 1",points,5302
two_theta_deg,intensity_counts
0.09550,557431.0
0.09850,571792.0
0.10150,594920.0
0.10450,617487.0
0.10750,639757.0
0.11050,659122.0
0.11350,675605.0
0.11650,692440.0
0.11950,711629.0
0.12250,734581.0
0.12550,760557.0
0.12850,782461.0
0.13150,804609.0
0.13450,826185.0
0.13750,841661.0
0.14050,853496.0
0.14350,869013.0
0.14650,886439.0
0.14950,908228.0
0.15250,935927.0
0.15550,962821.0
0.15850,985739.0
0.16150,1005491.0
0.16450,1021643.0
0.16750,1036657.0
0.17050,1051418.0
0.17350,1072047.0
0.17650,1097341.0
0.17950,1120373.0
0.18250,1142046.0
0.18550,1159069.0
0.18850,1169997.0
0.19150,1179146.0
0.19450,1190823.0
0.19750,1204902.0
0.20050,1226024.0
0.20350,1247472.0
0.20650,1270014.0
0.20950,1292248.0
0.21250,1304803.0
0.21550,1317793.0
0.21850,1327623.0
0.22150,1342299.0
0.22450,1357048.0
0.22750,1372848.0
0.23050,1392717.0
0.23350,1412617.0
0.23650,1424269.0
0.23950,1434201.0
0.24250,1441258.0
0.24550,1447694.0
0.24850,1458423.0
0.25150,1473106.0
0.25450,1490967.0
0.25750,1511447.0
0.26050,1527106.0
0.26350,1537241.0
0.26650,1545562.0
0.26950,1553503.0
0.27250,1561714.0
0.27550,1577349.0
0.27850,1586396.0
0.28150,1601957.0
0.28450,1616582.0
0.28750,1625482.0
0.29050,1631633.0
0.29350,1636261.0
0.29650,1639844.0
0.29950,1646707.0
0.30250,1651868.0
0.30550,1664497.0
0.30850,1681210.0
0.31150,1690214.0
0.31450,1697103.0
0.31750,1698599.0
0.32050,1703322.0
0.32350,1706026.0
0.32650,1712552.0
0.32950,1718032.0
0.33250,1728372.0
0.33550,1735284.0
0.33850,1738419.0
0.34150,1740898.0
0.34450,1740825.0
0.34750,1737103.0
0.35050,1739687.0
0.35350,1742348.0
0.35650,1746003.0
0.35950,1751597.0
0.36250,1754535.0
0.36550,1754041.0
0.36850,1754716.0
0.37150,1753182.0
0.37450,1749360.0
0.37750,1747510.0
0.38050,1751050.0
0.38350,1751166.0
0.38650,1750520.0
0.38950,1752836.0
0.39250,1746017.0
0.39550,1743211.0
0.39850,1736604.0
0.40150,1731454.0
0.40450,1727248.0
0.40750,1725827.0
0.41050,1726033.0
0.41350,1722184.0
0.41650,1717426.0
0.41950,1710713.0
0.42250,1702598.0
0.42550,1697265.0
0.42850,1689581.0
0.43150,1680162.0
0.43450,1673457.0
0.43750,1668340.0
0.44050,1658672.0
0.44350,1648522.0
0.44650,1638029.0
0.44950,1620360.0
0.45250,1605350.0
0.45550,1589792.0
0.45850,1569194.0
0.46150,1556148.0
0.46450,1538389.0
0.46750,1517202.0
0.47050,1495123.0
0.47350,1469758.0
0.47650,1449251.0
0.47950,1422835.0
0.48250,1398214.0
0.48550,1373675.0
0.48850,1345950.0
0.49150,1317067.0
0.49450,1278104.0
0.49750,1237658.0
0.50050,1187031.0
0.50350,1135265.0
0.50650,1083712.0
0.50950,1027930.0
0.51250,973570.0
0.51550,915355.0
0.51850,852535.0
0.52150,789573.0
0.52450,728233.0
0.52750,671522.0
0.53050,618717.0
0.53350,577009.0
0.53650,542045.0
0.53950,514472.0
0.54250,490137.0
0.54550,470913.0
0.54850,453572.0
0.55150,437515.0
0.55450,421757.0
0.55750,408019.0
0.56050,390026.0
0.56350,373749.0
0.56650,353666.0
0.56950,332885.0
0.57250,310932.0
0.57550,288050.0
0.57850,266514.0
0.58150,246415.0
0.58450,226990.0
0.58750,210319.0
0.59050,196770.0
0.59350,183350.0
0.59650,173108.0
0.59950,165656.0
0.60250,159985.0
0.60550,155712.0
0.60850,152576.0
0.61150,151266.0
0.61450,151544.0
0.61750,151856.0
0.62050,152558.0
0.62350,151959.0
0.62650,151778.0
0.62950,151358.0
0.63250,148880.0
0.63550,147613.0
0.63850,144250.0
0.64150,141379.0
0.64450,136634.0
0.64750,132109.0
0.65050,125744.0
0.65350,118881.0
0.65650,113054.0
0.65950,106071.0
0.66250,100061.0
0.66550,93546.0
0.66850,87530.0
0.67150,82200.0
0.67450,76347.0
0.67750,70955.0
0.68050,66429.0
0.68350,62685.0
0.68650,59299.0
0.68950,56412.0
0.69250,54982.0
0.69550,53329.0
0.69850,52026.0
0.70150,51933.0
0.70450,52137.0
0.70750,52325.0
0.71050,52896.0
0.71350,53656.0
0.71650,54221.0
0.71950,55307.0
0.72250,56755.0
0.72550,56855.0
0.72850,57809.0
0.73150,57993.0
0.73450,57960.0
0.73750,57845.0
0.74050,57446.0
0.74350,57138.0
0.74650,56349.0
0.74950,54605.0
0.75250,52991.0
0.75550,51130.0
0.75850,49218.0
0.76150,47397.0
0.76450,44925.0
0.76750,42871.0
0.77050,40391.0
0.77350,37843.0
0.77650,35525.0
0.77950,33006.0
0.78250,30865.0
0.78550,28992.0
0.78850,27091.0
0.79150,25201.0
0.79450,23995.0
0.79750,22756.0
0.80050,21445.0
0.80350,20668.0
0.80650,19792.0
0.80950,19597.0
0.81250,19040.0
0.81550,19012.0
0.81850,19269.0
0.82150,19255.0
0.82450,19811.0
0.82750,20531.0
0.83050,20953.0
0.83350,21513.0
0.83650,21961.0
0.83950,22780.0
0.84250,23213.0
0.84550,23397.0
0.84850,24309.0
0.85150,24720.0
0.85450,24859.0
0.85750,24930.0
0.86050,25067.0
0.86350,24956.0
0.86650,24821.0
0.86950,24618.0
0.87250,24075.0
0.87550,23726.0
0.87850,23295.0
0.88150,22443.0
0.88450,21673.0
0.88750,20519.0
