# specimen,CoC3,record_name,P2-03,instrument_id,Co-C(260916A)-XRR,raw_file,XRR-1_Co-C(260916A)-XRR.xrdml,role,"Co/C, baseline round 2",points,3585
two_theta_deg,intensity_counts
0.10150,82968.0
0.10450,85198.0
0.10750,87800.0
0.11050,89715.0
0.11350,90960.0
0.11650,91958.0
0.11950,94277.0
0.12250,96676.0
0.12550,98992.0
0.12850,101892.0
0.13150,103473.0
0.13450,105918.0
0.13750,106938.0
0.14050,108075.0
0.14350,110314.0
0.14650,111189.0
0.14950,113275.0
0.15250,115917.0
0.15550,118213.0
0.15850,119630.0
0.16150,121734.0
0.16450,123351.0
0.16750,124288.0
0.17050,125436.0
0.17350,127635.0
0.17650,129740.0
0.17950,131711.0
0.18250,134370.0
0.18550,136643.0
0.18850,138022.0
0.19150,138067.0
0.19450,138650.0
0.19750,139787.0
0.20050,141100.0
0.20350,144151.0
0.20650,145637.0
0.20950,147718.0
0.21250,149208.0
0.21550,150613.0
0.21850,150818.0
0.22150,151431.0
0.22450,152952.0
0.22750,156106.0
0.23050,157983.0
0.23350,160259.0
0.23650,161218.0
0.23950,162806.0
0.24250,163042.0
0.24550,163159.0
0.24850,164072.0
0.25150,164347.0
0.25450,167758.0
0.25750,169300.0
0.26050,170882.0
0.26350,172783.0
0.26650,173798.0
0.26950,173598.0
0.27250,174768.0
0.27550,175590.0
0.27850,177758.0
0.28150,179862.0
0.28450,182182.0
0.28750,183746.0
0.29050,184341.0
0.29350,183283.0
0.29650,183553.0
0.29950,184549.0
0.30250,185239.0
0.30550,187037.0
0.30850,190024.0
0.31150,191456.0
0.31450,192044.0
0.31750,192655.0
0.32050,192909.0
0.32350,193401.0
0.32650,194253.0
0.32950,195600.0
0.33250,198161.0
0.33550,199528.0
0.33850,201684.0
0.34150,202605.0
0.34450,202294.0
0.34750,200564.0
0.35050,200604.0
0.35350,201445.0
0.35650,202635.0
0.35950,204970.0
0.36250,206377.0
0.36550,206864.0
0.36850,206837.0
0.37150,207023.0
