# specimen,CoC4,record_name,P2-04,instrument_id,Co-C(260916B),raw_file,XRR-1_Co-C(260916B).xrdml,role,"Co/C, qualification reference curve 1; baseline round 2",points,4899
two_theta_deg,intensity_counts
0.10150,240454.0
0.10450,247430.0
0.10750,252917.0
0.11050,259134.0
0.11350,263082.0
0.11650,268233.0
0.11950,272659.0
0.12250,280075.0
0.12550,287181.0
0.12850,296849.0
0.13150,302343.0
0.13450,307709.0
0.13750,311906.0
0.14050,314392.0
0.14350,315823.0
0.14650,320028.0
0.14950,326542.0
0.15250,333126.0
0.15550,339096.0
0.15850,345411.0
0.16150,349644.0
0.16450,352225.0
0.16750,355876.0
0.17050,359164.0
0.17350,365544.0
0.17650,373320.0
0.17950,382040.0
0.18250,389751.0
0.18550,393501.0
0.18850,397811.0
0.19150,397375.0
0.19450,399867.0
0.19750,402224.0
0.20050,405380.0
0.20350,413608.0
0.20650,420636.0
0.20950,426075.0
0.21250,430600.0
0.21550,433246.0
0.21850,435111.0
0.22150,436686.0
0.22450,443866.0
0.22750,451561.0
0.23050,458315.0
0.23350,462306.0
0.23650,467226.0
0.23950,470230.0
0.24250,470456.0
0.24550,470447.0
0.24850,471371.0
0.25150,476555.0
0.25450,483339.0
0.25750,488426.0
0.26050,496063.0
0.26350,497884.0
0.26650,499641.0
0.26950,501235.0
0.27250,505202.0
0.27550,508575.0
0.27850,514096.0
0.28150,522359.0
0.28450,527353.0
0.28750,530729.0
0.29050,533167.0
0.29350,532767.0
0.29650,530384.0
0.29950,531655.0
0.30250,535027.0
0.30550,539732.0
0.30850,546395.0
0.31150,551474.0
0.31450,553880.0
0.31750,555579.0
0.32050,556244.0
0.32350,557119.0
0.32650,560712.0
0.32950,564573.0
0.33250,570072.0
0.33550,575886.0
0.33850,576655.0
0.34150,579851.0
0.34450,577773.0
0.34750,576026.0
0.35050,577058.0
0.35350,578502.0
0.35650,581978.0
0.35950,586971.0
0.36250,590042.0
0.36550,594092.0
0.36850,593288.0
0.37150,595317.0
0.37450,593294.0
0.37750,594312.0
0.38050,597558.0
0.38350,601363.0
0.38650,604022.0
0.38950,606247.0
0.39250,605319.0
0.39550,603088.0
0.39850,601633.0
0.40150,600158.0
0.40450,599744.0
0.40750,601846.0
0.41050,604183.0
0.41350,606604.0
0.41650,608828.0
0.41950,608284.0
0.42250,606692.0
0.42550,605325.0
0.42850,604133.0
0.43150,605915.0
0.43450,605938.0
0.43750,607981.0
0.44050,608075.0
0.44350,606719.0
0.44650,603531.0
0.44950,598848.0
0.45250,595737.0
0.45550,594889.0
0.45850,593670.0
0.46150,596078.0
0.46450,593601.0
0.46750,594050.0
0.47050,590203.0
0.47350,588499.0
0.47650,585657.0
0.47950,583015.0
0.48250,582131.0
0.48550,579217.0
0.48850,577680.0
0.49150,577605.0
0.49450,571593.0
0.49750,567641.0
0.50050,560878.0
0.50350,556889.0
0.50650,550842.0
0.50950,548844.0
0.51250,545620.0
0.51550,541194.0
0.51850,536740.0
0.52150,531501.0
0.52450,524358.0
0.52750,517386.0
0.53050,510739.0
0.53350,504422.0
0.53650,498430.0
0.53950,490683.0
0.54250,483547.0
0.54550,473398.0
0.54850,463218.0
0.55150,451506.0
0.55450,439876.0
0.55750,427458.0
0.56050,414846.0
0.56350,402221.0
0.56650,391824.0
0.56950,378961.0
0.57250,364426.0
0.57550,350225.0
0.57850,334891.0
0.58150,319608.0
0.58450,305328.0
0.58750,291468.0
0.59050,278083.0
0.59350,263318.0
0.59650,250683.0
0.59950,237857.0
0.60250,225601.0
0.60550,213744.0
0.60850,203770.0
0.61150,194129.0
0.61450,184991.0
0.61750,176444.0
0.62050,169374.0
0.62350,161161.0
0.62650,154589.0
0.62950,147571.0
0.63250,141227.0
0.63550,135343.0
0.63850,129685.0
0.64150,125253.0
0.64450,120408.0
0.64750,115375.0
0.65050,110425.0
0.65350,105573.0
0.65650,101163.0
0.65950,97903.0
0.66250,94606.0
0.66550,91215.0
0.66850,89081.0
0.67150,86652.0
0.67450,84142.0
0.67750,81188.0
0.68050,78431.0
0.68350,75843.0
0.68650,72615.0
0.68950,70442.0
0.69250,67535.0
0.69550,65551.0
0.69850,63118.0
0.70150,61141.0
0.70450,59440.0
0.70750,57928.0
0.71050,56975.0
0.71350,55677.0
0.71650,54567.0
0.71950,53548.0
0.72250,52503.0
0.72550,50775.0
0.72850,48835.0
0.73150,47315.0
0.73450,45539.0
0.73750,43444.0
0.74050,41595.0
0.74350,40574.0
0.74650,39705.0
0.74950,38242.0
0.75250,37820.0
0.75550,37061.0
0.75850,36711.0
0.76150,36367.0
0.76450,36174.0
0.76750,35971.0
0.77050,35734.0
0.77350,35015.0
0.77650,33903.0
0.77950,32901.0
0.78250,31726.0
0.78550,30574.0
0.78850,29063.0
0.79150,27873.0
0.79450,26796.0
0.79750,25873.0
0.80050,25366.0
0.80350,24919.0
0.80650,24749.0
0.80950,24285.0
0.81250,24519.0
0.81550,24265.0
0.81850,24735.0
0.82150,24993.0
0.82450,24854.0
0.82750,24313.0
0.83050,23827.0
0.83350,22755.0
0.83650,22395.0
0.83950,21397.0
0.84250,20256.0
0.84550,19640.0
0.84850,18541.0
0.85150,17869.0
0.85450,17329.0
0.85750,16484.0
0.86050,16497.0
0.86350,16195.0
0.86650,16552.0
0.86950,16887.0
0.87250,17081.0
0.87550,17354.0
0.87850,17759.0
0.88150,18023.0
0.88450,17793.0
0.88750,17723.0
0.89050,17330.0
0.89350,16647.0
0.89650,15881.0
0.89950,15032.0
0.90250,14237.0
0.90550,13420.0
0.90850,12549.0
0.91150,11885.0
0.91450,11489.0
0.91750,11020.0
0.92050,11118.0
