# fit,CoC4-expert-from-agent-project,stored_as,author-fit-P2-04-from-agent-project.xrcx,min_limit,1.600E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
0.250,7.389700E-01,7.668300E-01
0.252,7.337100E-01,7.611200E-01
0.253,7.257500E-01,7.551300E-01
0.255,7.255700E-01,7.489700E-01
0.256,7.202700E-01,7.425300E-01
0.258,7.147000E-01,7.358000E-01
0.259,7.088800E-01,7.287800E-01
0.261,7.019800E-01,7.214500E-01
0.262,6.943200E-01,7.138200E-01
0.264,6.862400E-01,7.057800E-01
0.265,6.778300E-01,6.973800E-01
0.267,6.688700E-01,6.885700E-01
0.268,6.599000E-01,6.792300E-01
0.270,6.502500E-01,6.695400E-01
0.271,6.398100E-01,6.592500E-01
0.273,6.281900E-01,6.484300E-01
0.274,6.153300E-01,6.370700E-01
0.276,6.014500E-01,6.250600E-01
0.277,5.863600E-01,6.124200E-01
0.279,5.707300E-01,5.921800E-01
0.280,5.550600E-01,5.778200E-01
0.282,5.391300E-01,5.628800E-01
0.283,5.225600E-01,5.472500E-01
0.285,5.056000E-01,5.310200E-01
0.286,4.880400E-01,5.142900E-01
0.288,4.699000E-01,4.884000E-01
0.289,4.509100E-01,4.708200E-01
0.291,4.317000E-01,4.531800E-01
0.292,4.127400E-01,4.355800E-01
0.294,3.936500E-01,4.182500E-01
0.295,3.751600E-01,3.929000E-01
0.297,3.572100E-01,3.767000E-01
0.298,3.397000E-01,3.611200E-01
0.300,3.226400E-01,3.390400E-01
0.301,3.063200E-01,3.252700E-01
0.303,2.911200E-01,3.121900E-01
0.304,2.767000E-01,2.937600E-01
0.306,2.632100E-01,2.822400E-01
0.307,2.508700E-01,2.712800E-01
0.309,2.393200E-01,2.558600E-01
0.310,2.285200E-01,2.463000E-01
0.312,2.183000E-01,2.373500E-01
0.313,2.086900E-01,2.250700E-01
0.315,1.996600E-01,2.176200E-01
0.316,1.909500E-01,2.074100E-01
0.318,1.830600E-01,2.011400E-01
0.319,1.755600E-01,1.951900E-01
0.321,1.684900E-01,1.863200E-01
0.322,1.617200E-01,1.805200E-01
0.324,1.551900E-01,1.719900E-01
0.325,1.489200E-01,1.664800E-01
0.327,1.429200E-01,1.585800E-01
0.328,1.372500E-01,1.536800E-01
0.330,1.319500E-01,1.469800E-01
0.331,1.272600E-01,1.430300E-01
0.333,1.231000E-01,1.378100E-01
0.334,1.193700E-01,1.347800E-01
0.336,1.157000E-01,1.306600E-01
0.337,1.121500E-01,1.268300E-01
0.339,1.087700E-01,1.243000E-01
0.340,1.051500E-01,1.203400E-01
0.342,1.015900E-01,1.175700E-01
0.343,9.794800E-02,1.131600E-01
0.345,9.451400E-02,1.085600E-01
0.346,9.115100E-02,1.054800E-01
0.348,8.792300E-02,1.009900E-01
0.349,8.503000E-02,9.687700E-02
0.351,8.228200E-02,9.700000E-02
0.352,7.996300E-02,9.418400E-02
0.354,7.779500E-02,9.162500E-02
0.355,7.591700E-02,8.931000E-02
0.357,7.425000E-02,8.719900E-02
0.358,7.272700E-02,8.523700E-02
0.360,7.115600E-02,8.335700E-02
0.361,6.936900E-02,8.149100E-02
0.363,6.753200E-02,7.958200E-02
0.364,6.555000E-02,7.758500E-02
0.366,6.333100E-02,7.548100E-02
0.367,6.093600E-02,7.327300E-02
0.369,5.869600E-02,7.098600E-02
0.370,5.669100E-02,6.866400E-02
0.372,5.469900E-02,6.636600E-02
0.373,5.300400E-02,6.415600E-02
0.375,5.160200E-02,6.209300E-02
0.376,5.053000E-02,6.022900E-02
0.378,4.960600E-02,5.859300E-02
0.379,4.883100E-02,5.719100E-02
0.381,4.833200E-02,5.600400E-02
0.382,4.787400E-02,5.499200E-02
0.384,4.742500E-02,5.409700E-02
0.385,4.680800E-02,5.325200E-02
0.387,4.604700E-02,5.239200E-02
0.388,4.507000E-02,5.145700E-02
0.390,4.388500E-02,5.040300E-02
0.391,4.242000E-02,4.920600E-02
0.393,4.085200E-02,4.786300E-02
0.394,3.929100E-02,4.639300E-02
0.396,3.774800E-02,4.483400E-02
0.397,3.635200E-02,4.324200E-02
