# fit,CoC4-expert-full-fit,stored_as,author-fit-P2-04-full-fit.xrcx,min_limit,1.600E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
0.250,7.350400E-01,7.627200E-01
0.252,7.298200E-01,7.568700E-01
0.253,7.218900E-01,7.507400E-01
0.255,7.217200E-01,7.444200E-01
0.256,7.164500E-01,7.378000E-01
0.258,7.109000E-01,7.308900E-01
0.259,7.051200E-01,7.237000E-01
0.261,6.982500E-01,7.161600E-01
0.262,6.906300E-01,7.082500E-01
0.264,6.826000E-01,7.000300E-01
0.265,6.742300E-01,6.913900E-01
0.267,6.653100E-01,6.822900E-01
0.268,6.564000E-01,6.727200E-01
0.270,6.467900E-01,6.627200E-01
0.271,6.364100E-01,6.521300E-01
0.273,6.248500E-01,6.410300E-01
0.274,6.120700E-01,6.293400E-01
0.276,5.982600E-01,6.170300E-01
0.277,5.832500E-01,6.040600E-01
0.279,5.677000E-01,5.833100E-01
0.280,5.521100E-01,5.686800E-01
0.282,5.362600E-01,5.534300E-01
0.283,5.197800E-01,5.375600E-01
0.285,5.029100E-01,5.211400E-01
0.286,4.854500E-01,5.042600E-01
0.288,4.674100E-01,4.783200E-01
0.289,4.485100E-01,4.608200E-01
0.291,4.294000E-01,4.433400E-01
0.292,4.105400E-01,4.259900E-01
0.294,3.915600E-01,4.089500E-01
0.295,3.731700E-01,3.841800E-01
0.297,3.553100E-01,3.684100E-01
0.298,3.379000E-01,3.532800E-01
0.300,3.209200E-01,3.319000E-01
0.301,3.046900E-01,3.185500E-01
0.303,2.895800E-01,3.058700E-01
0.304,2.752300E-01,2.879800E-01
0.306,2.618200E-01,2.767900E-01
0.307,2.495400E-01,2.661700E-01
0.309,2.380500E-01,2.512500E-01
0.310,2.273100E-01,2.420400E-01
0.312,2.171400E-01,2.334200E-01
0.313,2.075800E-01,2.216200E-01
0.315,1.986000E-01,2.144400E-01
0.316,1.899300E-01,2.045500E-01
0.318,1.820900E-01,1.983900E-01
0.319,1.746200E-01,1.925000E-01
0.321,1.675900E-01,1.840500E-01
0.322,1.608600E-01,1.781700E-01
0.324,1.543600E-01,1.697100E-01
0.325,1.481300E-01,1.643100E-01
0.327,1.421600E-01,1.566400E-01
0.328,1.365200E-01,1.519300E-01
0.330,1.312500E-01,1.455500E-01
