# fit,CoC5-expert,stored_as,author-fit-P2-05-Manual-2026-09-18.xrcx,min_limit,1.000E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
0.482,6.591800E-01,7.120800E-01
0.486,6.534700E-01,7.013400E-01
0.488,6.472000E-01,6.956500E-01
0.491,6.406900E-01,6.835900E-01
0.495,6.349200E-01,6.705400E-01
0.498,6.296300E-01,6.563400E-01
0.501,6.240900E-01,6.409700E-01
0.503,6.177400E-01,6.242900E-01
0.507,6.102400E-01,6.062200E-01
0.510,6.013900E-01,5.868200E-01
0.512,5.908800E-01,5.661400E-01
0.516,5.791600E-01,5.460800E-01
0.518,5.667300E-01,5.175100E-01
0.521,5.539200E-01,4.904000E-01
0.525,5.403900E-01,4.634500E-01
0.527,5.258400E-01,4.369800E-01
0.530,5.098300E-01,4.113700E-01
0.534,4.923100E-01,3.868800E-01
0.536,4.737200E-01,3.636400E-01
0.539,4.540500E-01,3.417100E-01
0.543,4.337900E-01,3.212100E-01
0.545,4.138000E-01,3.023100E-01
0.549,3.942000E-01,2.851400E-01
0.552,3.749800E-01,2.697800E-01
0.554,3.562700E-01,2.561500E-01
0.558,3.378800E-01,2.383300E-01
0.561,3.200400E-01,2.276200E-01
0.563,3.025200E-01,2.174100E-01
0.567,2.859400E-01,2.074300E-01
0.570,2.704700E-01,1.975800E-01
0.572,2.558600E-01,1.879000E-01
0.576,2.424700E-01,1.740900E-01
0.578,2.299500E-01,1.657000E-01
0.581,2.183600E-01,1.588700E-01
0.585,2.070700E-01,1.520000E-01
0.587,1.963500E-01,1.459000E-01
0.590,1.861600E-01,1.404300E-01
0.594,1.767300E-01,1.354400E-01
0.596,1.682800E-01,1.307400E-01
0.600,1.606200E-01,1.261700E-01
0.603,1.539600E-01,1.215800E-01
0.605,1.479500E-01,1.169100E-01
0.609,1.425900E-01,1.121200E-01
0.612,1.376700E-01,1.072800E-01
0.614,1.326800E-01,1.025000E-01
0.618,1.276600E-01,9.788800E-02
0.621,1.227600E-01,9.359000E-02
0.623,1.178600E-01,8.971200E-02
0.627,1.129900E-01,8.633000E-02
0.629,1.080300E-01,8.346800E-02
0.632,1.033500E-01,8.109700E-02
0.636,9.898100E-02,7.913700E-02
0.638,9.489300E-02,7.746600E-02
0.641,9.124900E-02,7.594200E-02
0.645,8.823500E-02,7.442500E-02
0.647,8.572500E-02,7.279500E-02
0.650,8.364500E-02,7.096800E-02
0.654,8.193100E-02,6.889700E-02
0.656,8.031600E-02,6.657800E-02
0.660,7.871200E-02,6.404700E-02
0.663,7.673500E-02,6.137100E-02
0.665,7.458800E-02,5.864400E-02
0.669,7.218300E-02,5.597600E-02
0.672,6.941400E-02,5.347900E-02
0.674,6.653400E-02,5.125300E-02
0.678,6.357300E-02,4.937400E-02
0.680,6.063200E-02,4.787500E-02
0.683,5.801000E-02,4.675300E-02
0.687,5.555800E-02,4.597000E-02
0.689,5.351400E-02,4.545500E-02
0.692,5.189000E-02,4.512300E-02
0.696,5.066400E-02,4.487300E-02
0.698,4.989200E-02,4.460400E-02
0.701,4.929300E-02,4.422500E-02
0.705,4.899400E-02,4.366000E-02
0.707,4.870500E-02,4.286000E-02
0.711,4.841000E-02,4.180300E-02
0.714,4.799100E-02,4.050200E-02
0.716,4.727800E-02,3.899600E-02
0.720,4.630100E-02,3.734300E-02
0.723,4.489000E-02,3.562100E-02
0.725,4.327700E-02,3.391300E-02
0.729,4.139200E-02,3.230600E-02
0.732,3.935200E-02,3.087800E-02
0.734,3.724600E-02,2.969200E-02
0.738,3.519700E-02,2.878600E-02
0.740,3.341800E-02,2.817000E-02
0.743,3.191600E-02,2.782800E-02
0.747,3.072200E-02,2.772300E-02
0.749,2.989300E-02,2.779800E-02
0.752,2.943800E-02,2.798600E-02
0.756,2.930700E-02,2.821000E-02
0.758,2.942500E-02,2.839700E-02
0.762,2.964600E-02,2.847900E-02
0.765,2.998500E-02,2.840400E-02
0.767,3.024900E-02,2.813400E-02
0.771,3.038300E-02,2.764700E-02
0.774,3.035400E-02,2.694600E-02
0.776,3.000600E-02,2.604800E-02
0.780,2.950600E-02,2.499300E-02
0.783,2.861300E-02,2.383100E-02
0.785,2.751800E-02,2.262300E-02
0.789,2.619200E-02,2.143200E-02
0.791,2.474700E-02,2.032000E-02
0.794,2.327700E-02,1.934100E-02
0.798,2.175400E-02,1.853900E-02
0.800,2.043000E-02,1.794200E-02
0.803,1.929700E-02,1.756500E-02
0.807,1.841000E-02,1.740100E-02
0.809,1.774200E-02,1.743100E-02
0.813,1.736900E-02,1.761700E-02
0.816,1.723200E-02,1.791300E-02
0.818,1.732200E-02,1.826500E-02
0.822,1.752600E-02,1.861900E-02
0.825,1.789600E-02,1.892200E-02
0.827,1.833400E-02,1.912800E-02
0.831,1.874900E-02,1.919600E-02
0.834,1.909800E-02,1.910000E-02
0.836,1.934500E-02,1.882600E-02
0.840,1.939600E-02,1.837500E-02
0.842,1.924000E-02,1.776200E-02
0.845,1.892100E-02,1.701700E-02
0.849,1.835900E-02,1.617700E-02
0.851,1.762200E-02,1.528500E-02
0.854,1.671200E-02,1.439000E-02
0.858,1.578300E-02,1.353700E-02
0.860,1.480400E-02,1.277200E-02
0.863,1.377200E-02,1.213100E-02
0.867,1.284400E-02,1.164200E-02
0.869,1.203700E-02,1.132400E-02
0.873,1.138900E-02,1.117700E-02
0.876,1.090300E-02,1.119600E-02
0.878,1.061300E-02,1.135900E-02
0.882,1.053300E-02,1.163700E-02
0.885,1.067300E-02,1.199300E-02
0.887,1.091900E-02,1.238600E-02
0.891,1.125500E-02,1.277300E-02
0.893,1.172800E-02,1.311300E-02
0.896,1.216100E-02,1.337000E-02
0.900,1.260300E-02,1.351500E-02
0.902,1.290800E-02,1.352900E-02
0.905,1.315100E-02,1.339900E-02
0.909,1.323500E-02,1.312600E-02
0.911,1.313300E-02,1.271700E-02
0.914,1.292600E-02,1.219300E-02
0.918,1.246400E-02,1.157900E-02
0.920,1.187600E-02,1.090800E-02
0.924,1.118900E-02,1.021500E-02
0.927,1.043700E-02,9.536300E-03
0.929,9.641900E-03,8.906000E-03
0.933,8.845000E-03,8.356400E-03
0.936,8.130000E-03,7.913900E-03
0.938,7.530800E-03,7.598200E-03
0.942,7.016100E-03,7.419800E-03
0.945,6.657000E-03,7.379600E-03
0.947,6.440200E-03,7.469100E-03
0.951,6.400700E-03,7.671900E-03
0.953,6.491000E-03,7.964900E-03
0.956,6.713300E-03,8.319600E-03
0.960,7.059400E-03,8.703700E-03
0.962,7.462900E-03,9.082900E-03
0.965,7.932300E-03,9.423900E-03
0.969,8.344300E-03,9.697200E-03
0.971,8.716300E-03,9.879100E-03
0.975,9.029900E-03,9.952500E-03
0.978,9.232200E-03,9.908100E-03
0.980,9.288300E-03,9.743900E-03
0.984,9.203500E-03,9.465200E-03
0.987,9.030700E-03,9.083700E-03
0.989,8.738300E-03,8.617200E-03
0.993,8.287600E-03,8.089300E-03
0.996,7.755700E-03,7.528300E-03
0.998,7.187900E-03,6.965800E-03
1.002,6.571700E-03,6.432800E-03
1.005,5.932300E-03,5.957500E-03
1.008,5.347300E-03,5.562500E-03
1.010,4.858700E-03,5.264800E-03
1.013,4.438700E-03,5.075800E-03
1.016,4.156500E-03,5.000900E-03
1.020,3.978100E-03,5.039000E-03
1.023,3.947600E-03,5.182200E-03
1.026,4.040500E-03,5.415300E-03
1.028,4.231100E-03,5.717500E-03
1.031,4.533500E-03,6.063700E-03
1.035,4.872100E-03,6.426500E-03
1.038,5.258400E-03,6.778400E-03
1.041,5.664400E-03,7.093100E-03
1.043,6.046700E-03,7.347400E-03
1.046,6.378900E-03,7.522800E-03
1.049,6.620800E-03,7.605600E-03
1.053,6.774400E-03,7.588500E-03
1.056,6.871200E-03,7.470100E-03
1.059,6.830500E-03,7.255300E-03
1.061,6.699500E-03,6.954100E-03
1.064,6.454400E-03,6.581300E-03
1.067,6.146900E-03,6.155400E-03
1.071,5.754200E-03,5.697400E-03
1.074,5.267700E-03,5.229900E-03
1.077,4.759100E-03,4.776800E-03
1.079,4.249300E-03,4.361700E-03
1.082,3.778900E-03,4.006800E-03
1.086,3.345400E-03,3.730700E-03
1.089,3.001400E-03,3.546400E-03
1.092,2.765700E-03,3.460700E-03
1.094,2.632000E-03,3.473900E-03
1.097,2.596400E-03,3.580400E-03
1.100,2.670100E-03,3.769500E-03
