group	session	job_id	measurement	state	chi2	started_utc	elapsed_s	files	source_in_record
campaign1-stage1	CoC4-round-1	fit-20260918-195729-0499	P2-04/xrr.dat	finished	7.24688	2026-09-18T11:57:29.892Z	712.55	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T04/jobs/fit-20260918-195729-0499
campaign1-stage1	CoC4-round-1	fit-20260918-201131-4c37	P2-04/xrr.dat	finished	6.23082	2026-09-18T12:11:31.475Z	747.52	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T04/jobs/fit-20260918-201131-4c37
campaign1-stage1	CoC4-round-2	fit-20260918-204255-154c	P2-04/xrr.dat	finished	7.23119	2026-09-18T12:42:55.322Z	799.245	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T04b/jobs/fit-20260918-204255-154c
campaign1-stage1	CoC4-round-2	fit-20260918-205909-641d	P2-04/xrr.dat	finished	6.19438	2026-09-18T12:59:09.647Z	856.652	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T04b/jobs/fit-20260918-205909-641d
campaign1-stage1	CoC4-round-3	fit-20260918-222358-b830	P2-04/xrr.dat	finished	7.28325	2026-09-18T14:23:58.598Z	810.421	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-T04c/jobs/fit-20260918-222358-b830
campaign1-stage1	CoC4-round-3	fit-20260918-223814-5473	P2-04/xrr.dat	finished	6.22278	2026-09-18T14:38:14.299Z	750.979	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-T04c/jobs/fit-20260918-223814-5473
campaign1-stage1	CoC5-round-1	fit-20260918-195607-9977	P2-05/xrr.dat	finished	3.70078	2026-09-18T11:56:07.127Z	590.495	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T05/jobs/fit-20260918-195607-9977
campaign1-stage1	CoC5-round-1	fit-20260918-201038-0878	P2-05/xrr.dat	finished	3.60975	2026-09-18T12:10:38.798Z	623.978	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T05/jobs/fit-20260918-201038-0878
campaign1-stage1	CoC5-round-2	fit-20260918-204311-1536	P2-05/xrr.dat	finished	3.70585	2026-09-18T12:43:11.162Z	671.515	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T05b/jobs/fit-20260918-204311-1536
campaign1-stage1	CoC5-round-2	fit-20260918-205625-5254	P2-05/xrr.dat	finished	4.03724	2026-09-18T12:56:25.758Z	477.219	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T05b/jobs/fit-20260918-205625-5254
campaign1-stage1	CoC5-round-2	fit-20260918-210529-8ad0	P2-05/xrr.dat	finished	3.61221	2026-09-18T13:05:29.225Z	576.523	request.json job.json	experiments/skill-dev-2026-09-18/workdir-T05b/jobs/fit-20260918-210529-8ad0
campaign1-stage1	CoC5-round-3	fit-20260918-222443-960a	P2-05/xrr.dat	finished	3.59731	2026-09-18T14:24:43.345Z	696.606	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-T05c/jobs/fit-20260918-222443-960a
campaign1-stage1	CoC5-round-3	fit-20260918-223732-360d	P2-05/xrr.dat	finished	3.50521	2026-09-18T14:37:32.454Z	621.442	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-T05c/jobs/fit-20260918-223732-360d
campaign1-stage1	aborted-launch-max-turns	fit-20260918-165744-94e6	P2-05/xrr.dat	running	3.45875	2026-09-18T08:57:44.496Z	376.902	request.json job.json	experiments/skill-dev-2026-09-18/workdir-run1-maxturns/jobs/fit-20260918-165744-94e6
campaign1-stage1	aborted-launch-max-turns	fit-20260918-165814-8bcd	P2-05/xrr.dat	queued	0		0	request.json job.json	experiments/skill-dev-2026-09-18/workdir-run1-maxturns/jobs/fit-20260918-165814-8bcd
campaign2-transfer	RuC1-round-a	fit-20260919-082556-6318	260511B/xrr.dat	finished	21.1924	2026-09-19T00:25:56.132Z	3087.07	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-a/jobs/fit-20260919-082556-6318
campaign2-transfer	RuC1-round-a	fit-20260919-092008-b024	260511B/xrr.dat	finished	11.714	2026-09-19T01:20:08.298Z	3246.21	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-a/jobs/fit-20260919-092008-b024
campaign2-transfer	RuC1-round-a	fit-20260919-101551-1e0d	260511B/xrr.dat	finished	10.8637	2026-09-19T02:15:51.103Z	2701.08	request.json job.json report.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-a/jobs/fit-20260919-101551-1e0d
campaign2-transfer	RuC1-round-b	fit-20260919-120535-bca9	260511B/xrr.dat	finished	26.997	2026-09-19T04:05:35.133Z	2952.24	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-b/jobs/fit-20260919-120535-bca9
campaign2-transfer	RuC1-round-b	fit-20260919-125632-5185	260511B/xrr.dat	finished	22.2114	2026-09-19T04:56:32.720Z	3068.17	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-b/jobs/fit-20260919-125632-5185
campaign2-transfer	RuC1-round-b	fit-20260919-125645-9273	260511B/xrr.dat	finished	13.5859	2026-09-19T05:47:40.899Z	2177.53	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-b/jobs/fit-20260919-125645-9273
campaign2-transfer	RuC1-round-b	fit-20260919-142516-f9a2	260511B/xrr.dat	finished	12.1688	2026-09-19T06:25:16.172Z	1142.0	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-b/jobs/fit-20260919-142516-f9a2
campaign2-transfer	RuC1-round-b	fit-20260919-144940-b1f3	260511B/xrr.dat	finished	13.6076	2026-09-19T06:49:40.412Z	1125.98	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260511B-b/jobs/fit-20260919-144940-b1f3
campaign2-transfer	RuC2-round-a	fit-20260919-082741-0fae	260908A/xrr.dat	finished	17.836	2026-09-19T00:27:41.920Z	1787.17	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-a/jobs/fit-20260919-082741-0fae
campaign2-transfer	RuC2-round-a	fit-20260919-085858-4876	260908A/xrr.dat	finished	16.5692	2026-09-19T00:58:58.234Z	2307.34	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-a/jobs/fit-20260919-085858-4876
campaign2-transfer	RuC2-round-a	fit-20260919-093753-1a3a	260908A/xrr.dat	finished	11.1228	2026-09-19T01:37:53.420Z	2031.14	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-a/jobs/fit-20260919-093753-1a3a
campaign2-transfer	RuC2-round-b	fit-20260919-112601-cab8	260908A/xrr.dat	finished	16.4413	2026-09-19T03:26:02.157Z	1997.07	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-b/jobs/fit-20260919-112601-cab8
campaign2-transfer	RuC2-round-b	fit-20260919-120102-de3e	260908A/xrr.dat	finished	10.5448	2026-09-19T04:01:02.797Z	1296.9	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-b/jobs/fit-20260919-120102-de3e
campaign2-transfer	RuC2-round-b	fit-20260919-122337-1e4a	260908A/xrr.dat	finished	8.44158	2026-09-19T04:23:37.222Z	1982.23	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-b/jobs/fit-20260919-122337-1e4a
campaign2-transfer	RuC2-round-b	fit-20260919-125732-faa7	260908A/xrr.dat	finished	10.335	2026-09-19T04:57:32.256Z	2271.59	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908A-b/jobs/fit-20260919-125732-faa7
campaign2-transfer	RuC3-round-a	fit-20260919-084813-b26a	260908B/xrr.dat	finished	7.73056	2026-09-19T00:48:13.573Z	2237.61	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-a/jobs/fit-20260919-084813-b26a
campaign2-transfer	RuC3-round-a	fit-20260919-092646-0e84	260908B/xrr.dat	finished	5.84356	2026-09-19T01:26:46.801Z	2353.17	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-a/jobs/fit-20260919-092646-0e84
campaign2-transfer	RuC3-round-b	fit-20260919-153747-4f6d	260908B/xrr.dat	finished	114.911	2026-09-19T07:37:47.758Z	2.222	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-153747-4f6d
campaign2-transfer	RuC3-round-b	fit-20260919-153900-bd51	260908B/xrr.dat	finished	9.22572	2026-09-19T07:39:00.280Z	1518.32	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-153900-bd51
campaign2-transfer	RuC3-round-b	fit-20260919-160520-a717	260908B/xrr.dat	finished	6.67243	2026-09-19T08:05:20.668Z	1356.26	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-160520-a717
campaign2-transfer	RuC3-round-b	fit-20260919-162843-20c8	260908B/xrr.dat	finished	6.27173	2026-09-19T08:28:43.922Z	1060.96	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-162843-20c8
campaign2-transfer	RuC3-round-b	fit-20260919-164759-fabd	260908B/xrr.dat	finished	5.231	2026-09-19T08:47:59.056Z	767.732	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-164759-fabd
campaign2-transfer	RuC3-round-b	fit-20260919-170136-8513	260908B/xrr.dat	finished	5.37793	2026-09-19T09:01:36.860Z	774.351	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260908B-b/jobs/fit-20260919-170136-8513
campaign2-transfer	RuC4-round-a	fit-20260919-102224-f649	260909A/xrr.dat	finished	18.0467	2026-09-19T02:22:24.676Z	2035.18	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-a/jobs/fit-20260919-102224-f649
campaign2-transfer	RuC4-round-a	fit-20260919-105830-c447	260909A/xrr.dat	finished	14.5288	2026-09-19T02:58:30.727Z	1436.63	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-a/jobs/fit-20260919-105830-c447
campaign2-transfer	RuC4-round-a	fit-20260919-112308-48c1	260909A/xrr.dat	finished	6.50211	2026-09-19T03:23:08.865Z	1801.98	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-a/jobs/fit-20260919-112308-48c1
campaign2-transfer	RuC4-round-b	fit-20260919-121728-2adc	260909A/xrr.dat	finished	17.4531	2026-09-19T04:17:28.195Z	2238.89	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-b/jobs/fit-20260919-121728-2adc
campaign2-transfer	RuC4-round-b	fit-20260919-125632-24ab	260909A/xrr.dat	finished	13.6354	2026-09-19T04:56:32.592Z	2264.28	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-b/jobs/fit-20260919-125632-24ab
campaign2-transfer	RuC4-round-b	fit-20260919-133455-9cbe	260909A/xrr.dat	finished	16.7185	2026-09-19T05:34:55.990Z	1593.9	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-b/jobs/fit-20260919-133455-9cbe
campaign2-transfer	RuC4-round-b	fit-20260919-140204-d2c7	260909A/xrr.dat	finished	6.81236	2026-09-19T06:02:04.495Z	1424.06	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260909A-b/jobs/fit-20260919-140204-d2c7
campaign2-transfer	RuC5-round-a	fit-20260919-102802-33ca	260910A/xrr.dat	finished	28.2416	2026-09-19T02:28:02.845Z	2071.78	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-a/jobs/fit-20260919-102802-33ca
campaign2-transfer	RuC5-round-a	fit-20260919-110414-0dab	260910A/xrr.dat	finished	9.68026	2026-09-19T03:04:14.480Z	1320.16	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-a/jobs/fit-20260919-110414-0dab
campaign2-transfer	RuC5-round-a	fit-20260919-112915-8e81	260910A/xrr.dat	finished	8.63479	2026-09-19T03:29:15.788Z	1769.95	request.json job.json report.json author-grid-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-a/jobs/fit-20260919-112915-8e81
campaign2-transfer	RuC5-round-b	fit-20260919-153119-9f06	260910A/xrr.dat	finished	28.0559	2026-09-19T07:31:19.309Z	1064.94	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-b/jobs/fit-20260919-153119-9f06
campaign2-transfer	RuC5-round-b	fit-20260919-155007-f2fd	260910A/xrr.dat	finished	9.86307	2026-09-19T07:50:07.683Z	1391.57	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-b/jobs/fit-20260919-155007-f2fd
campaign2-transfer	RuC5-round-b	fit-20260919-161450-84dc	260910A/xrr.dat	finished	9.82315	2026-09-19T08:14:50.255Z	1421.77	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910A-b/jobs/fit-20260919-161450-84dc
campaign2-transfer	Ru1-round-a	fit-20260919-082145-73ec	260910B/xrr.dat	finished	2.72064	2026-09-19T00:21:45.963Z	17.327	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-a/jobs/fit-20260919-082145-73ec
campaign2-transfer	Ru1-round-a	fit-20260919-082513-eadd	260910B/xrr.dat	finished	2.61416	2026-09-19T00:25:13.770Z	16.723	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-a/jobs/fit-20260919-082513-eadd
campaign2-transfer	Ru1-round-a	fit-20260919-082647-b913	260910B/xrr.dat	finished	2.61416	2026-09-19T00:26:47.503Z	35.622	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-a/jobs/fit-20260919-082647-b913
campaign2-transfer	Ru1-round-b	fit-20260919-152726-2f99	260910B/xrr.dat	finished	2.24571	2026-09-19T07:27:26.540Z	21.531	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-b/jobs/fit-20260919-152726-2f99
campaign2-transfer	Ru1-round-b	fit-20260919-152918-3029	260910B/xrr.dat	finished	1.37688	2026-09-19T07:29:18.646Z	20.817	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-b/jobs/fit-20260919-152918-3029
campaign2-transfer	Ru1-round-b	fit-20260919-153051-4d47	260910B/xrr.dat	finished	1.31368	2026-09-19T07:30:51.761Z	22.959	request.json job.json report.json author-grid-score.json author-model-score.json	experiments/skill-dev-2026-09-18/workdir-RuC-260910B-b/jobs/fit-20260919-153051-4d47
seed-and-surface-study	CoC4-seed-A-periodic	fit-20260919-061017-8aeb	P2-04/xrr.dat	finished	7.9401	2026-09-18T22:10:17.434Z	1884.24	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP/A-R/jobs/fit-20260919-061017-8aeb
seed-and-surface-study	CoC4-seed-A-surface	fit-20260919-061017-879e	P2-04/xrr.dat	finished	7.9401	2026-09-18T22:10:17.434Z	1883.62	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP/A-S/jobs/fit-20260919-061017-879e
seed-and-surface-study	CoC4-seed-B-periodic	fit-20260919-061017-f774	P2-04/xrr.dat	finished	6.09078	2026-09-18T22:10:17.434Z	1884.31	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP/B-R/jobs/fit-20260919-061017-f774
seed-and-surface-study	CoC4-seed-B-surface	fit-20260919-061017-4587	P2-04/xrr.dat	finished	6.09078	2026-09-18T22:10:17.434Z	1886.08	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP/B-S/jobs/fit-20260919-061017-4587
seed-and-surface-study	CoC4-seed-A1	fit-20260919-064237-3d2b	P2-04/xrr.dat	finished	7.1263	2026-09-18T22:42:37.858Z	2127.62	request.json job.json report.json	experiments/skill-dev-2026-09-18/workdir-CAP2/A1/jobs/fit-20260919-064237-3d2b
