theta_deg	R
0.30125	1.3152073E-001
0.30275	1.2802166E-001
0.30425	1.2242066E-001
0.30575	1.1845946E-001
0.30725	1.1438169E-001
0.30875	1.0829332E-001
0.31025	1.0445373E-001
0.31175	1.0094573E-001
0.31325	9.6601389E-002
0.31475	9.4608337E-002
0.31625	9.0834767E-002
0.31775	8.8584736E-002
0.31925	8.6826801E-002
0.32075	8.4687456E-002
0.32225	8.3382949E-002
0.32375	8.1307083E-002
0.32525	7.9728439E-002
0.32675	7.6945245E-002
0.32825	7.4807420E-002
0.32975	7.1226746E-002
0.33125	6.8664879E-002
0.33275	6.4720631E-002
0.33425	6.2129248E-002
0.33575	5.8473945E-002
0.33725	5.5269390E-002
0.33875	5.3448163E-002
0.34025	5.1238641E-002
0.34175	5.0107442E-002
0.34325	4.8871301E-002
0.34475	4.8073940E-002
0.34625	4.7704697E-002
0.34775	4.7275096E-002
0.34925	4.6842538E-002
0.35075	4.6478681E-002
0.35225	4.5755140E-002
0.35375	4.4751983E-002
0.35525	4.3908481E-002
0.35675	4.2415030E-002
0.35825	4.0673207E-002
0.35975	3.8763501E-002
0.36125	3.7433699E-002
0.36275	3.5443880E-002
0.36425	3.3531189E-002
0.36575	3.1788234E-002
0.36725	3.0279791E-002
0.36875	2.9427532E-002
0.37025	2.8411660E-002
0.37175	2.7702240E-002
0.37325	2.7291853E-002
0.37475	2.7136650E-002
0.37625	2.7183492E-002
0.37775	2.7359538E-002
0.37925	2.7587119E-002
0.38075	2.7722731E-002
0.38225	2.7867701E-002
0.38375	2.7873769E-002
0.38525	2.7693041E-002
0.38675	2.7296536E-002
0.38825	2.6674649E-002
0.38975	2.5840361E-002
0.39125	2.4826340E-002
0.39275	2.3679715E-002
0.39425	2.2459550E-002
0.39575	2.1233093E-002
0.39725	2.0065453E-002
0.39875	1.9015867E-002
0.40025	1.8139701E-002
0.40175	1.8709926E-002
0.40325	1.8254029E-002
0.40475	1.7952867E-002
0.40625	1.7801341E-002
0.40775	1.7782783E-002
0.40925	1.7870456E-002
0.41075	1.8029939E-002
0.41225	1.8221971E-002
0.41375	1.8405670E-002
0.41525	1.8541794E-002
0.41675	1.8595757E-002
0.41825	1.8540356E-002
0.41975	1.8357815E-002
0.42125	1.8041035E-002
0.42275	1.7593864E-002
0.42425	1.7030576E-002
0.42575	1.6374499E-002
0.42725	1.5656117E-002
0.42875	1.4910765E-002
0.43025	1.4175909E-002
0.43175	1.3488374E-002
0.43325	1.2881516E-002
0.43475	1.2382685E-002
0.43625	1.2011210E-002
0.43775	1.1777041E-002
0.43925	1.1680161E-002
0.44075	1.1710760E-002
0.44225	1.1850164E-002
0.44375	1.2072403E-002
0.44525	1.2346288E-002
0.44675	1.2637786E-002
0.44825	1.2912529E-002
0.44975	1.3138204E-002
0.45125	1.3286719E-002
0.45275	1.3336031E-002
0.45425	1.3271523E-002
0.45575	1.3086919E-002
0.45725	1.2784553E-002
0.45875	1.2375050E-002
0.46025	1.1876418E-002
0.46175	1.1312681E-002
0.46325	1.0712164E-002
0.46475	1.0105584E-002
0.46625	9.5240148E-003
0.46775	8.9968359E-003
0.46925	8.5497620E-003
0.47075	8.2030734E-003
0.47225	7.9702446E-003
0.47375	7.8570275E-003
0.47525	7.8611737E-003
0.47675	7.9726670E-003
0.47825	8.1745209E-003
0.47975	8.4440131E-003
0.48125	8.7543055E-003
0.48275	9.0763867E-003
0.48425	9.3810903E-003
0.48575	9.6410960E-003
0.48725	9.8326877E-003
0.48875	9.9371364E-003
0.49025	9.9416804E-003
0.49175	9.8401476E-003
0.49325	9.6332049E-003
0.49475	9.3283076E-003
0.49625	8.9392597E-003
0.49775	8.4854085E-003
0.49925	7.9903277E-003
0.50075	7.4801706E-003
0.50225	6.9817905E-003
0.50375	6.5209125E-003
0.50525	6.1205295E-003
0.50675	5.7996227E-003
0.50825	5.5721751E-003
0.50975	5.4464233E-003
0.51125	5.4243542E-003
0.51275	5.5015245E-003
0.51425	5.6672934E-003
0.51575	5.9055020E-003
0.51725	6.1955983E-003
0.51875	6.5140757E-003
0.52025	6.8360828E-003
0.52175	7.1370797E-003
0.52325	7.3943809E-003
0.52475	7.5885053E-003
0.52625	7.7042663E-003
0.52775	7.7315313E-003
0.52925	7.6656500E-003
0.53075	7.5075454E-003
0.53225	7.2635021E-003
0.53375	6.9447048E-003
0.53525	6.5665878E-003
0.53675	6.1480217E-003
0.53825	5.7103396E-003
0.53975	5.2761789E-003
0.54125	4.8681428E-003
0.54275	4.5073424E-003
0.54425	4.2119632E-003
0.54575	3.9960532E-003
0.54725	3.8686455E-003
0.54875	3.8333191E-003
0.55025	3.8881383E-003
0.55175	4.0259329E-003
0.55325	4.2348215E-003
0.55475	4.4989884E-003
0.55625	4.7996170E-003
0.55775	5.1160315E-003
0.55925	5.4269088E-003
0.56075	5.7115019E-003
0.56225	5.9508090E-003
0.56375	6.1286213E-003
0.56525	6.2324014E-003
0.56675	6.2539973E-003
0.56825	6.1901081E-003
0.56975	6.0424800E-003
0.57125	5.8177775E-003
0.57275	5.5271289E-003
0.57425	5.1854155E-003
0.57575	4.8103184E-003
0.57725	4.4212863E-003
0.57875	4.0384363E-003
0.58025	3.6814646E-003
0.58175	3.3685723E-003
0.58325	3.1154391E-003
0.58475	2.9343157E-003
0.58625	2.8333066E-003
0.58775	2.8159104E-003
0.58925	2.8808571E-003
0.59075	3.0222260E-003
0.59225	3.2298260E-003
0.59375	3.4897844E-003
0.59525	3.7853408E-003
0.59675	4.0978054E-003
0.59825	4.4076480E-003
0.59975	4.6956590E-003
0.60125	4.9440688E-003
0.60275	5.1375539E-003
0.60425	5.2640634E-003
0.60575	5.3154090E-003
0.60725	5.2876538E-003
0.60875	5.1812604E-003
0.61025	5.0010197E-003
0.61175	4.7557540E-003
0.61325	4.4578221E-003
0.61475	4.1224379E-003
0.61625	3.7668610E-003
0.61775	3.4094662E-003
0.61925	3.0687342E-003
0.62075	2.7622299E-003
0.62225	2.5056116E-003
0.62375	2.3117689E-003
