theta_deg	I
0.30125	1.7295952E-001
0.30275	1.6620044E-001
0.30425	1.6018815E-001
0.30575	1.5465622E-001
0.30725	1.4905281E-001
0.30875	1.4340879E-001
0.31025	1.3790226E-001
0.31175	1.3240533E-001
0.31325	1.2693445E-001
0.31475	1.2135414E-001
0.31625	1.1609640E-001
0.31775	1.1119267E-001
0.31925	1.0660079E-001
0.32075	1.0250676E-001
0.32225	9.9121414E-002
0.32375	9.6301973E-002
0.32525	9.3965031E-002
0.32675	9.2040084E-002
0.32825	9.0225190E-002
0.32975	8.8423163E-002
0.33125	8.6202316E-002
0.33275	8.3790667E-002
0.33425	8.1088871E-002
0.33575	7.7978022E-002
0.33725	7.4742548E-002
0.33875	7.1416408E-002
0.34025	6.8112738E-002
0.34175	6.5166809E-002
0.34325	6.2413231E-002
0.34475	6.0116440E-002
0.34625	5.8291625E-002
0.34775	5.6915071E-002
0.34925	5.6047071E-002
0.35075	5.5374682E-002
0.35225	5.5038799E-002
0.35375	5.4714072E-002
0.35525	5.4382991E-002
0.35675	5.3912099E-002
0.35825	5.3110909E-002
0.35975	5.2013040E-002
0.36125	5.0428014E-002
0.36275	4.8616063E-002
0.36425	4.6499383E-002
0.36575	4.4207707E-002
0.36725	4.1841786E-002
0.36875	3.9539877E-002
0.37025	3.7541155E-002
0.37175	3.5854135E-002
0.37325	3.4512922E-002
0.37475	3.3581216E-002
0.37625	3.3070490E-002
0.37775	3.2922309E-002
0.37925	3.3055302E-002
0.38075	3.3303764E-002
0.38225	3.3684913E-002
0.38375	3.3981271E-002
0.38525	3.4132089E-002
0.38675	3.4099534E-002
0.38825	3.3708159E-002
0.38975	3.3146128E-002
0.39125	3.2142971E-002
0.39275	3.0913353E-002
0.39425	2.9423034E-002
0.39575	2.7800335E-002
0.39725	2.6148655E-002
0.39875	2.4438076E-002
0.40025	2.2950539E-002
0.40175	2.1677369E-002
0.40325	2.0681029E-002
0.40475	1.9930830E-002
0.40625	1.9511556E-002
0.40775	1.9358261E-002
0.40925	1.9459473E-002
0.41075	1.9688411E-002
0.41225	2.0103499E-002
0.41375	2.0595623E-002
0.41525	2.1061709E-002
0.41675	2.1454325E-002
0.41825	2.1731930E-002
0.41975	2.1789126E-002
0.42125	2.1613665E-002
0.42275	2.1255925E-002
0.42425	2.0624144E-002
0.42575	1.9795978E-002
0.42725	1.8774064E-002
0.42875	1.7730603E-002
0.43025	1.6630881E-002
0.43175	1.5471171E-002
0.43325	1.4428641E-002
0.43475	1.3522200E-002
0.43625	1.2794010E-002
0.43775	1.2247945E-002
0.43925	1.1922136E-002
0.44075	1.1832855E-002
0.44225	1.1990179E-002
0.44375	1.2266080E-002
0.44525	1.2643196E-002
0.44675	1.3175000E-002
0.44825	1.3661545E-002
0.44975	1.4157389E-002
0.45125	1.4500871E-002
0.45275	1.4773515E-002
0.45425	1.4868065E-002
0.45575	1.4753830E-002
0.45725	1.4521174E-002
0.45875	1.4001925E-002
0.46025	1.3340850E-002
0.46175	1.2569260E-002
0.46325	1.1724975E-002
0.46475	1.0831554E-002
0.46625	9.9362750E-003
0.46775	9.1330642E-003
0.46925	8.4598996E-003
0.47075	7.8817494E-003
0.47225	7.4782851E-003
0.47375	7.2347801E-003
0.47525	7.1904496E-003
0.47675	7.2918199E-003
0.47825	7.5415247E-003
0.47975	7.9304203E-003
0.48125	8.3836392E-003
0.48275	8.9109503E-003
0.48425	9.3737803E-003
0.48575	9.7916601E-003
0.48725	1.0143976E-002
0.48875	1.0371205E-002
0.49025	1.0434289E-002
0.49175	1.0338965E-002
0.49325	1.0144905E-002
0.49475	9.8164594E-003
0.49625	9.3100751E-003
0.49775	8.7125497E-003
0.49925	8.0747250E-003
0.50075	7.3824949E-003
0.50225	6.6642254E-003
0.50375	6.0070246E-003
0.50525	5.4581701E-003
0.50675	4.9863500E-003
0.50825	4.6693753E-003
0.50975	4.4689602E-003
0.51125	4.4347052E-003
0.51275	4.5390199E-003
0.51425	4.7530751E-003
0.51575	5.0928351E-003
0.51725	5.4732054E-003
0.51875	5.9072054E-003
0.52025	6.3632149E-003
0.52175	6.7927204E-003
0.52325	7.1659596E-003
0.52475	7.4376748E-003
0.52625	7.6101907E-003
0.52775	7.7190003E-003
0.52925	7.6732752E-003
0.53075	7.5260252E-003
0.53225	7.2507453E-003
0.53375	6.9052503E-003
0.53525	6.4641200E-003
0.53675	5.9175901E-003
0.53825	5.3462596E-003
0.53975	4.7735348E-003
0.54125	4.2451401E-003
