theta_deg	log10_I_minus_log10_R
0.30125	1.1895031E-001
0.30275	1.1334872E-001
0.30425	1.1677569E-001
0.30575	1.1579764E-001
0.30725	1.1498368E-001
0.30875	1.2197405E-001
0.31025	1.2064743E-001
0.31175	1.1781752E-001
0.31325	1.1859620E-001
0.31475	1.0812521E-001
0.31625	1.0656667E-001
0.31775	9.8717272E-002
0.31925	8.9106560E-002
0.32075	8.2933486E-002
0.32225	7.5090170E-002
0.32375	7.3506832E-002
0.32525	7.1352959E-002
0.32675	7.7795267E-002
0.32825	8.1383109E-002
0.32975	9.3922853E-002
0.33125	9.8784208E-002
0.33275	1.1215293E-001
0.33425	1.1566508E-001
0.33575	1.2500978E-001
0.33725	1.3108313E-001
0.33875	1.2586522E-001
0.34025	1.2363076E-001
0.34175	1.1412430E-001
0.34325	1.0622275E-001
0.34475	9.7083569E-002
0.34625	8.7045074E-002
0.34775	8.0594778E-002
0.34925	7.7912569E-002
0.35075	7.6057434E-002
0.35225	8.0229044E-002
0.35375	8.7286711E-002
0.35525	9.2914701E-002
0.35675	1.0416651E-001
0.35825	1.1587536E-001
0.35975	1.2768924E-001
0.36125	1.2940919E-001
0.36275	1.3723850E-001
0.36425	1.4199829E-001
0.36575	1.4323151E-001
0.36725	1.4045727E-001
0.36875	1.2828147E-001
0.37025	1.2101102E-001
0.37175	1.1202431E-001
0.37325	1.0194874E-001
0.37475	9.2540145E-002
0.37625	8.5135460E-002
0.37775	8.0381513E-002
0.37925	7.8534722E-002
0.38075	7.9657316E-002
0.38225	8.2334280E-002
0.38375	8.6043954E-002
0.38525	9.0792179E-002
0.38675	9.6640944E-002
0.38825	1.0163629E-001
0.38975	1.0813415E-001
0.39125	1.1217320E-001
0.39275	1.1576962E-001
0.39425	1.1728644E-001
0.39575	1.1703670E-001
0.39725	1.1500049E-001
0.39875	1.0895085E-001
0.40025	1.0216284E-001
0.40175	6.3934445E-002
0.40325	5.4213405E-002
0.40475	4.5391560E-002
0.40625	3.9839268E-002
0.40775	3.6866665E-002
0.40925	3.6995411E-002
0.41075	3.8216472E-002
0.41225	4.2676330E-002
0.41375	4.8823357E-002
0.41525	5.5341840E-002
0.41675	6.2101007E-002
0.41825	6.8980217E-002
0.41975	7.4418783E-002
0.42125	7.8466892E-002
0.42275	8.2118750E-002
0.42425	8.3146572E-002
0.42575	8.2409024E-002
0.42725	7.8874230E-002
0.42875	7.5223565E-002
0.43025	6.9364309E-002
0.43175	5.9563518E-002
0.43325	4.9258351E-002
0.43475	3.8232565E-002
0.43625	2.7419925E-002
0.43775	1.7027140E-002
0.43925	8.9052916E-003
0.44075	4.5044422E-003
0.44225	5.1013231E-003
0.44375	6.9121122E-003
0.44525	1.0320425E-002
0.44675	1.8079638E-002
0.44825	2.4488449E-002
0.44975	3.2447100E-002
0.45125	3.7976265E-002
0.45275	4.4457197E-002
0.45425	4.9333692E-002
0.45575	5.2067399E-002
0.45725	5.5316210E-002
0.45875	5.3640723E-002
0.46025	5.0498009E-002
0.46175	4.5744181E-002
0.46325	3.9234638E-002
0.46475	3.0129433E-002
0.46625	1.8403530E-002
0.46775	6.5267086E-003
0.46925	-4.5888424E-003
0.47075	-1.7353773E-002
0.47225	-2.7669668E-002
0.47375	-3.5832882E-002
0.47525	-3.8731337E-002
0.47675	-3.8767576E-002
0.47825	-3.5003185E-002
0.47975	-2.7252913E-002
0.48125	-1.8789053E-002
0.48275	-7.9889297E-003
0.48425	-3.3855438E-004
0.48575	6.7298412E-003
0.48725	1.3535976E-002
0.48875	1.8567920E-002
0.49025	2.1003127E-002
0.49175	2.1475554E-002
0.49325	2.2477150E-002
0.49475	2.2151947E-002
0.49625	1.7651558E-002
0.49775	1.1472464E-002
0.49925	4.5630932E-003
0.50075	-5.7082176E-003
0.50225	-2.0217180E-002
0.50375	-3.5649061E-002
0.50525	-4.9741983E-002
0.50675	-6.5616846E-002
0.50825	-7.6765776E-002
0.50975	-8.5905075E-002
0.51125	-8.7483406E-002
0.51275	-8.3521128E-002
0.51425	-7.6400995E-002
0.51575	-6.4297199E-002
0.51725	-5.3841591E-002
0.51875	-4.2470694E-002
0.52025	-3.1130552E-002
0.52175	-2.1476746E-002
0.52325	-1.3627529E-002
0.52475	-8.7192059E-003
0.52625	-5.3355694E-003
0.52775	-7.0428848E-004
0.52925	4.3177605E-004
0.53075	1.0678768E-003
0.53225	-7.6341629E-004
0.53375	-2.4745464E-003
0.53525	-6.8302155E-003
0.53675	-1.6590595E-002
0.53825	-2.8611898E-002
0.53975	-4.3479204E-002
0.54125	-5.9471130E-002
0.54275	-7.8948736E-002
0.54425	-9.6633673E-002
0.54575	-1.0929346E-001
0.54725	-1.1673999E-001
0.54875	-1.1866999E-001
0.55025	-1.1268425E-001
0.55175	-9.8753452E-002
0.55325	-8.2991123E-002
0.55475	-7.2077513E-002
0.55625	-5.6833029E-002
0.55775	-4.4210434E-002
0.55925	-3.4964323E-002
0.56075	-2.9027700E-002
0.56225	-2.1701574E-002
0.56375	-1.5684605E-002
0.56525	-1.4005899E-002
0.56675	-1.2850285E-002
0.56825	-1.1986732E-002
0.56975	-1.3311386E-002
0.57125	-1.7773390E-002
0.57275	-2.2930145E-002
0.57425	-3.0631304E-002
0.57575	-4.1777849E-002
0.57725	-5.6946993E-002
0.57875	-7.3182583E-002
0.58025	-9.2184067E-002
0.58175	-1.1328077E-001
0.58325	-1.3216376E-001
0.58475	-1.4504361E-001
0.58625	-1.5039682E-001
0.58775	-1.4557767E-001
0.58925	-1.3830972E-001
0.59075	-1.2152719E-001
0.59225	-1.0347438E-001
0.59375	-8.6658716E-002
0.59525	-6.8271637E-002
0.59675	-5.7555914E-002
0.59825	-4.5652151E-002
0.59975	-3.7070036E-002
0.60125	-3.0192852E-002
0.60275	-2.5602341E-002
0.60425	-2.3376465E-002
0.60575	-2.2480488E-002
0.60725	-2.3473501E-002
0.60875	-2.6303530E-002
0.61025	-3.2083511E-002
0.61175	-3.7301302E-002
0.61325	-4.7154427E-002
0.61475	-5.7522297E-002
0.61625	-7.1338177E-002
0.61775	-8.8701725E-002
0.61925	-1.0607171E-001
0.62075	-1.3081527E-001
0.62225	-1.5481234E-001
0.62375	-1.7797756E-001
0.62525	-1.9691086E-001
0.62675	-1.9705272E-001
0.62825	-1.9014215E-001
0.62975	-1.6910124E-001
0.63125	-1.4386201E-001
0.63275	-1.1603713E-001
0.63425	-9.1356039E-002
0.63575	-7.2643518E-002
0.63725	-5.7564735E-002
0.63875	-4.9240589E-002
0.64025	-4.0913582E-002
0.64175	-3.4484148E-002
0.64325	-3.2448053E-002
0.64475	-2.8704405E-002
0.64625	-2.7463198E-002
0.64775	-2.8633118E-002
0.64925	-3.3048630E-002
0.65075	-3.6695957E-002
0.65225	-3.9515257E-002
0.65375	-5.2258015E-002
0.65525	-6.4555407E-002
0.65675	-7.7560425E-002
0.65825	-9.4153643E-002
0.65975	-1.1842608E-001
0.66125	-1.4621067E-001
0.66275	-1.7178154E-001
0.66425	-1.9662380E-001
0.66575	-2.1185327E-001
0.66725	-2.0872998E-001
0.66875	-1.9622827E-001
0.67025	-1.7683101E-001
0.67175	-1.5297484E-001
0.67325	-1.3320065E-001
0.67475	-1.1184525E-001
0.67625	-9.3969584E-002
0.67775	-8.0257416E-002
0.67925	-7.1174860E-002
0.68075	-5.9450150E-002
0.68225	-5.0928593E-002
0.68375	-4.7899485E-002
0.68525	-4.4476986E-002
0.68675	-4.3850422E-002
0.68825	-4.3597221E-002
0.68975	-4.6929359E-002
0.69125	-5.1981211E-002
0.69275	-5.5641890E-002
0.69425	-6.3189268E-002
0.69575	-7.1540594E-002
0.69725	-8.3117723E-002
0.69875	-9.6762419E-002
0.70025	-1.1134505E-001
0.70175	-1.3643479E-001
0.70325	-1.6539407E-001
0.70475	-1.9326830E-001
0.70625	-2.1716022E-001
0.70775	-2.3019528E-001
0.70925	-2.2257519E-001
0.71075	-1.9778681E-001
0.71225	-1.6830206E-001
0.71375	-1.4703608E-001
0.71525	-1.1678576E-001
0.71675	-9.8175764E-002
0.71825	-8.1950188E-002
0.71975	-7.2239399E-002
0.72125	-6.4393997E-002
0.72275	-5.5032253E-002
0.72425	-5.2049398E-002
0.72575	-4.7890902E-002
0.72725	-4.8151493E-002
0.72875	-4.6889067E-002
0.73025	-4.9280405E-002
0.73175	-5.2497864E-002
0.73325	-5.7971716E-002
0.73475	-6.4493656E-002
0.73625	-7.1650982E-002
0.73775	-8.3450794E-002
0.73925	-9.3361139E-002
0.74075	-1.1104941E-001
0.74225	-1.2978435E-001
0.74375	-1.5730047E-001
0.74525	-1.8577719E-001
0.74675	-2.0478344E-001
0.74825	-2.2062397E-001
0.74975	-2.1616483E-001
0.75125	-1.9327235E-001
0.75275	-1.5870786E-001
0.75425	-1.2561703E-001
0.75575	-9.7372770E-002
0.75725	-7.2908878E-002
0.75875	-5.4837227E-002
0.76025	-4.3978930E-002
0.76175	-3.7610292E-002
0.76325	-3.0179024E-002
0.76475	-2.4331808E-002
0.76625	-2.0752430E-002
0.76775	-1.9638538E-002
0.76925	-1.7354727E-002
0.77075	-1.5489101E-002
0.77225	-1.7382383E-002
0.77375	-2.0056725E-002
0.77525	-2.3590326E-002
0.77675	-2.7245998E-002
0.77825	-3.4178019E-002
0.77975	-4.2719603E-002
0.78125	-5.2902222E-002
0.78275	-6.8886042E-002
0.78425	-8.9843988E-002
0.78575	-1.1693645E-001
0.78725	-1.4705539E-001
0.78875	-1.7723632E-001
0.79025	-1.9503331E-001
0.79175	-1.8901062E-001
0.79325	-1.6926193E-001
0.79475	-1.3084364E-001
0.79625	-9.8260403E-002
0.79775	-6.7040443E-002
0.79925	-4.6279907E-002
0.80075	-2.9301643E-002
0.80225	-1.4232635E-002
0.80375	-3.6861897E-003
0.80525	5.2053928E-003
0.80675	1.1756897E-002
0.80825	1.7758846E-002
0.80975	2.1607876E-002
0.81125	2.6354790E-002
0.81275	3.0639410E-002
0.81425	3.5117149E-002
0.81575	3.7896395E-002
0.81725	4.2133331E-002
0.81875	4.6523333E-002
0.82025	4.8650980E-002
0.82175	5.0696611E-002
0.82325	5.1118374E-002
0.82475	4.8844576E-002
0.82625	4.1961432E-002
0.82775	3.0300617E-002
0.82925	9.3348026E-003
0.83075	-2.6055574E-002
0.83225	-6.9134235E-002
0.83375	-1.0174584E-001
0.83525	-1.2137222E-001
0.83675	-1.2429690E-001
0.83825	-1.1663437E-001
0.83975	-1.0428286E-001
0.84125	-8.9000225E-002
0.84275	-7.6606750E-002
0.84425	-6.4500809E-002
0.84575	-5.4363847E-002
0.84725	-4.4602275E-002
0.84875	-3.4615993E-002
0.85025	-2.6866913E-002
0.85175	-2.1000504E-002
0.85325	-1.4766097E-002
0.85475	-9.6337795E-003
0.85625	-5.3491592E-003
0.85775	-1.6633272E-003
0.85925	8.6498260E-004
0.86075	4.2828321E-003
0.86225	6.9942474E-003
0.86375	9.8078251E-003
0.86525	1.1397362E-002
0.86675	1.0848045E-002
0.86825	9.3910694E-003
0.86975	4.5790672E-003
0.87125	-9.1300011E-003
0.87275	-2.9251575E-002
0.87425	-5.1532507E-002
0.87575	-6.8222761E-002
0.87725	-7.4766517E-002
0.87875	-7.2581410E-002
0.88025	-6.4985871E-002
0.88175	-5.5959225E-002
0.88325	-4.5942187E-002
0.88475	-3.7266612E-002
0.88625	-2.9949188E-002
0.88775	-2.4397850E-002
0.88925	-1.9702435E-002
0.89075	-1.5693784E-002
0.89225	-1.2856603E-002
0.89375	-1.0348499E-002
0.89525	-7.8264475E-003
0.89675	-5.5395365E-003
0.89825	-3.7678480E-003
0.89975	-1.6297102E-003
0.90125	5.4997206E-004
0.90275	2.0273924E-003
0.90425	3.4306049E-003
0.90575	4.8857927E-003
0.90725	6.3474178E-003
0.90875	7.3761344E-003
0.91025	7.9609752E-003
0.91175	9.0332031E-003
0.91325	9.5337033E-003
0.91475	1.0336101E-002
0.91625	1.1142731E-002
0.91775	1.1560023E-002
0.91925	1.2184441E-002
0.92075	1.2711346E-002
0.92225	1.3494432E-002
0.92375	1.3735175E-002
0.92525	1.3967037E-002
0.92675	1.4396966E-002
0.92825	1.5058994E-002
0.92975	1.5480936E-002
0.93125	1.5732527E-002
0.93275	1.5923500E-002
0.93425	1.5778005E-002
0.93575	1.5692651E-002
0.93725	1.5334189E-002
0.93875	1.4620960E-002
0.94025	1.4405251E-002
0.94175	1.3889790E-002
0.94325	1.4503717E-002
0.94475	1.5032411E-002
0.94625	1.5609980E-002
0.94775	1.7171383E-002
0.94925	1.8177390E-002
0.95075	2.0709515E-002
0.95225	2.2370338E-002
0.95375	2.5978088E-002
0.95525	3.0964613E-002
0.95675	3.8366079E-002
0.95825	4.9502730E-002
0.95975	6.4308047E-002
0.96125	8.1992149E-002
0.96275	9.8951578E-002
0.96425	1.1027408E-001
0.96575	1.1398506E-001
0.96725	1.0985613E-001
0.96875	1.0159183E-001
0.97025	8.9848995E-002
0.97175	7.7725887E-002
0.97325	6.7921638E-002
0.97475	5.8320642E-002
0.97625	5.0017238E-002
0.97775	4.2205095E-002
0.97925	3.6453009E-002
0.98075	3.2508254E-002
0.98225	2.8326988E-002
0.98375	2.6136518E-002
0.98525	2.3880482E-002
0.98675	1.9826651E-002
0.98825	1.6963005E-002
0.98975	1.5039921E-002
0.99125	1.3439894E-002
0.99275	1.1186123E-002
0.99425	1.1263132E-002
0.99575	1.6834497E-002
0.99725	2.5324106E-002
0.99875	3.3583403E-002
1.00025	4.9160719E-002
1.00175	7.1399927E-002
1.00325	9.9155664E-002
1.00475	1.3089156E-001
1.00625	1.5210176E-001
1.00775	1.6671681E-001
1.00925	1.6354942E-001
1.01075	1.5145826E-001
1.01225	1.3304281E-001
1.01375	1.1570692E-001
1.01525	1.0030460E-001
1.01675	8.4279776E-002
1.01825	7.3078632E-002
1.01975	6.2040091E-002
1.02125	5.0407171E-002
1.02275	3.6885262E-002
1.02425	2.2718668E-002
1.02575	1.0169744E-002
1.02725	-3.4646988E-003
1.02875	-1.5859604E-002
1.03025	-2.4986029E-002
1.03175	-3.2715797E-002
1.03325	-3.6284685E-002
1.03475	-4.1703701E-002
1.03625	-4.5224190E-002
1.03775	-4.7713518E-002
1.03925	-4.8967838E-002
1.04075	-4.2686462E-002
1.04225	-3.3858776E-002
1.04375	-1.2888670E-002
1.04525	2.3355722E-002
1.04675	6.6999912E-002
1.04825	1.0801077E-001
1.04975	1.4107609E-001
1.05125	1.6544580E-001
1.05275	1.7180181E-001
1.05425	1.6648555E-001
1.05575	1.5098953E-001
1.05725	1.3786888E-001
1.05875	1.2199140E-001
1.06025	1.0190678E-001
1.06175	9.0437412E-002
1.06325	7.2083473E-002
1.06475	5.8460951E-002
1.06625	4.3771029E-002
1.06775	3.2073498E-002
1.06925	2.1305084E-002
1.07075	6.7923069E-003
1.07225	-2.3422241E-003
1.07375	-1.4352322E-002
1.07525	-2.8069496E-002
1.07675	-4.1390419E-002
1.07825	-5.3509474E-002
1.07975	-6.7832708E-002
1.08125	-7.3426962E-002
1.08275	-7.3218107E-002
1.08425	-5.7379961E-002
1.08575	-3.7333965E-002
1.08725	-7.9944134E-003
1.08875	3.3359289E-002
1.09025	8.3739042E-002
1.09175	1.3579726E-001
1.09325	1.6821647E-001
1.09475	1.8846965E-001
1.09625	1.9444036E-001
1.09775	1.8826294E-001
1.09925	1.7913270E-001
1.10075	1.6068983E-001
1.10225	1.3982964E-001
1.10375	1.1949325E-001
1.10525	1.0063243E-001
1.10675	7.9151869E-002
1.10825	5.6625843E-002
1.10975	3.7767410E-002
1.11125	2.3624182E-002
1.11275	6.8082809E-003
1.11425	-9.7010136E-003
1.11575	-2.2359848E-002
1.11725	-3.4193754E-002
1.11875	-4.7085047E-002
1.12025	-6.0532808E-002
1.12175	-6.8144321E-002
1.12325	-7.7837467E-002
1.12475	-7.7932596E-002
1.12625	-8.0025434E-002
1.12775	-6.7519426E-002
1.12925	-4.3624163E-002
1.13075	-3.4580231E-003
1.13225	5.1392555E-002
1.13375	1.1120510E-001
1.13525	1.5201712E-001
1.13675	1.9019961E-001
1.13825	2.0346475E-001
1.13975	2.0764446E-001
1.14125	2.0027328E-001
1.14275	1.8649006E-001
1.14425	1.7058778E-001
1.14575	1.4378238E-001
1.14725	1.2384939E-001
1.14875	9.8615885E-002
1.15025	7.2964191E-002
1.15175	4.6490192E-002
1.15325	2.5467634E-002
1.15475	1.4366865E-002
1.15625	-6.2654018E-003
1.15775	-2.5766373E-002
1.15925	-4.1576147E-002
1.16075	-5.9821367E-002
1.16225	-7.8469038E-002
1.16375	-1.0695004E-001
1.16525	-1.2071943E-001
1.16675	-1.3070607E-001
1.16825	-1.3408399E-001
1.16975	-1.3259959E-001
1.17125	-1.1777306E-001
1.17275	-8.3119392E-002
1.17425	-2.0354748E-002
1.17575	3.6964893E-002
1.17725	9.5526695E-002
1.17875	1.5569377E-001
1.18025	1.9106865E-001
1.18175	1.9968414E-001
1.18325	1.9230628E-001
1.18475	1.8551922E-001
1.18625	1.6510797E-001
1.18775	1.3857436E-001
1.18925	1.2089801E-001
1.19075	1.0557747E-001
1.19225	8.2149267E-002
1.19375	6.1136007E-002
1.19525	4.2607546E-002
1.19675	3.3443928E-002
1.19825	9.1447830E-003
1.19975	-1.1842489E-002
1.20125	-2.5823355E-002
1.20275	-4.7494650E-002
1.20425	-7.0843220E-002
1.20575	-1.0285807E-001
1.20725	-1.2216401E-001
1.20875	-1.4273500E-001
1.21025	-1.6787267E-001
1.21175	-1.7429376E-001
1.21325	-1.6010284E-001
1.21475	-1.3421464E-001
1.21625	-9.4117403E-002
1.21775	-3.5773993E-002
1.21925	2.4986029E-002
1.22075	6.8814516E-002
1.22225	1.0878158E-001
1.22375	1.3523221E-001
1.22525	1.5692186E-001
1.22675	1.5576530E-001
1.22825	1.5914488E-001
1.22975	1.6072083E-001
1.23125	1.4521885E-001
1.23275	1.3426924E-001
1.23425	1.0459900E-001
1.23575	8.4198236E-002
1.23725	6.3855171E-002
1.23875	3.4797430E-002
1.24025	1.5634537E-002
1.24175	-1.2476683E-002
1.24325	-2.9824972E-002
1.24475	-5.9707880E-002
1.24625	-9.4193220E-002
1.24775	-1.1524558E-001
1.24925	-1.4048672E-001
1.25075	-1.6603923E-001
1.25225	-1.8367481E-001
1.25375	-1.7028546E-001
1.25525	-1.7472053E-001
1.25675	-1.7374706E-001
1.25825	-1.2289715E-001
1.25975	-7.8929901E-002
1.26125	-3.4899712E-002
1.26275	2.5335312E-002
1.26425	9.3218803E-002
1.26575	1.4574933E-001
1.26725	1.6156650E-001
1.26875	1.7036700E-001
1.27025	1.8375063E-001
1.27175	1.7021441E-001
1.27325	1.5813112E-001
1.27475	1.3120890E-001
1.27625	1.0533762E-001
1.27775	8.5156918E-002
1.27925	5.5016041E-002
1.28075	3.6182404E-002
1.28225	1.5489817E-002
1.28375	-1.5289783E-003
1.28525	-1.8222809E-002
1.28675	-3.5694122E-002
1.28825	-5.5192947E-002
1.28975	-9.9814177E-002
1.29125	-1.4263201E-001
1.29275	-1.7536473E-001
1.29425	-2.1153140E-001
1.29575	-2.5848913E-001
1.29725	-2.8323460E-001
1.29875	-2.4493122E-001
1.30025	-2.1805573E-001
1.30175	-1.8117285E-001
1.30325	-1.2805748E-001
1.30475	-8.3694935E-002
1.30625	-1.3363838E-002
1.30775	4.9648762E-002
1.30925	7.8677654E-002
