theta_deg	R
0.20825	8.3988845E-001
0.20975	8.3822054E-001
0.21125	8.3480573E-001
0.21275	8.3135808E-001
0.21425	8.2965463E-001
0.21575	8.2606941E-001
0.21725	8.2243794E-001
0.21875	8.2062751E-001
0.22025	8.1686109E-001
0.22175	8.1299996E-001
0.22325	8.1109136E-001
0.22475	8.0711311E-001
0.22625	8.0305248E-001
0.22775	7.9885584E-001
0.22925	7.9672110E-001
0.23075	7.9236573E-001
0.23225	7.8790504E-001
0.23375	7.8328192E-001
0.23525	7.8093827E-001
0.23675	7.7612758E-001
0.23825	7.7112913E-001
0.23975	7.6599073E-001
0.24125	7.6064503E-001
0.24275	7.5517082E-001
0.24425	7.5239182E-001
0.24575	7.4655569E-001
0.24725	7.4055994E-001
0.24875	7.3431247E-001
0.25025	7.2778291E-001
0.25175	7.2101396E-001
0.25325	7.1401489E-001
0.25475	7.0665330E-001
0.25625	6.9902337E-001
0.25775	6.9099069E-001
0.25925	6.8263990E-001
0.26075	6.7384332E-001
0.26225	6.6467065E-001
0.26375	6.5503001E-001
0.26525	6.4490056E-001
0.26675	6.3428450E-001
0.26825	6.2313992E-001
0.26975	6.1142635E-001
0.27125	5.9915823E-001
0.27275	5.8621866E-001
0.27425	5.7277185E-001
0.27575	5.5862683E-001
0.27725	5.4391485E-001
0.27875	5.2083939E-001
0.28025	5.0481337E-001
0.28175	4.8842272E-001
0.28325	4.7180402E-001
0.28475	4.5494989E-001
0.28625	4.3809173E-001
0.28775	4.1306388E-001
0.28925	3.9670056E-001
0.29075	3.8080353E-001
0.29225	3.6540142E-001
0.29375	3.5057533E-001
0.29525	3.2955512E-001
0.29675	3.1638801E-001
0.29825	3.0386055E-001
0.29975	2.8620127E-001
0.30125	2.7514961E-001
0.30275	2.6465350E-001
0.30425	2.4988955E-001
0.30575	2.4074428E-001
0.30725	2.3216613E-001
0.30875	2.3001668E-001
0.31025	2.2073524E-001
0.31175	2.1199392E-001
0.31325	2.0375010E-001
0.31475	1.9596219E-001
0.31625	1.8859291E-001
0.31775	1.8161070E-001
0.31925	1.7499135E-001
0.32075	1.6871746E-001
0.32225	1.6277763E-001
0.32375	1.5716325E-001
0.32525	1.5186593E-001
0.32675	1.4687380E-001
0.32825	1.4216931E-001
0.32975	1.3772766E-001
0.33125	1.3351762E-001
0.33275	1.2950377E-001
0.33425	1.2565041E-001
0.33575	1.2192564E-001
0.33725	1.1830539E-001
0.33875	1.1477632E-001
0.34025	1.1133691E-001
0.34175	1.0799669E-001
0.34325	1.0477328E-001
0.34475	1.0168839E-001
0.34625	9.8762698E-002
0.34775	9.6011221E-002
0.34925	9.3439385E-002
0.35075	9.1040753E-002
0.35225	8.8796996E-002
0.35375	8.6679548E-002
0.35525	8.4653005E-002
0.35675	8.2679883E-002
0.35825	8.0725417E-002
0.35975	7.8762002E-002
0.36125	7.6772682E-002
0.36275	7.4753053E-002
0.36425	7.2711289E-002
0.36575	7.0666686E-002
0.36725	6.8646468E-002
0.36875	6.6682048E-002
0.37025	6.4804338E-002
0.37175	6.3039772E-002
0.37325	6.1406657E-002
0.37475	5.9912477E-002
0.37625	5.8552835E-002
0.37775	5.7311524E-002
0.37925	5.6162272E-002
0.38075	5.5071622E-002
0.38225	5.4002885E-002
0.38375	5.2920379E-002
0.38525	5.1793769E-002
0.38675	5.0601676E-002
0.38825	4.9334191E-002
0.38975	4.7994193E-002
0.39125	4.6597000E-002
0.39275	4.5168668E-002
0.39425	4.3743145E-002
0.39575	4.2358432E-002
0.39725	4.1052330E-002
0.39875	3.9858200E-002
0.40025	3.8801156E-002
0.40175	3.7895128E-002
0.40325	3.7141092E-002
0.40475	3.6526803E-002
0.40625	3.6027882E-002
0.40775	3.5610333E-002
