theta_deg	I
0.20825	8.6910838E-001
0.20975	8.6993998E-001
0.21125	8.6992794E-001
0.21275	8.6976331E-001
0.21425	8.6907262E-001
0.21575	8.6900020E-001
0.21725	8.6933070E-001
0.21875	8.6966395E-001
0.22025	8.6951995E-001
0.22175	8.6783093E-001
0.22325	8.6539292E-001
0.22475	8.6226392E-001
0.22625	8.5882115E-001
0.22775	8.5627794E-001
0.22925	8.5390472E-001
0.23075	8.5275799E-001
0.23225	8.5143536E-001
0.23375	8.4990817E-001
0.23525	8.4799308E-001
0.23675	8.4487098E-001
0.23825	8.4212965E-001
0.23975	8.3858460E-001
0.24125	8.3559155E-001
0.24275	8.3298796E-001
0.24425	8.2962662E-001
0.24575	8.2595229E-001
0.24725	8.2087272E-001
0.24875	8.1553632E-001
0.25025	8.0912209E-001
0.25175	8.0224818E-001
0.25325	7.9604071E-001
0.25475	7.8971982E-001
0.25625	7.8395081E-001
0.25775	7.7788305E-001
0.25925	7.7155346E-001
0.26075	7.6403499E-001
0.26225	7.5569838E-001
0.26375	7.4690986E-001
0.26525	7.3775381E-001
0.26675	7.2799832E-001
0.26825	7.1824449E-001
0.26975	7.0773131E-001
0.27125	6.9637388E-001
0.27275	6.8372697E-001
0.27425	6.6973251E-001
0.27575	6.5462166E-001
0.27725	6.3820219E-001
0.27875	6.2119085E-001
0.28025	6.0412771E-001
0.28175	5.8678943E-001
0.28325	5.6875688E-001
0.28475	5.5029821E-001
0.28625	5.3118896E-001
0.28775	5.1144439E-001
0.28925	4.9077192E-001
0.29075	4.6986112E-001
0.29225	4.4922510E-001
0.29375	4.2845437E-001
0.29525	4.0832865E-001
0.29675	3.8879013E-001
0.29825	3.6973539E-001
0.29975	3.5115933E-001
0.30125	3.3339855E-001
0.30275	3.1686237E-001
0.30425	3.0116197E-001
0.30575	2.8648427E-001
0.30725	2.7304602E-001
0.30875	2.6047871E-001
0.31025	2.4872442E-001
0.31175	2.3759706E-001
0.31325	2.2713746E-001
0.31475	2.1731435E-001
0.31625	2.0782866E-001
0.31775	1.9924664E-001
0.31925	1.9107740E-001
0.32075	1.8338256E-001
0.32225	1.7602086E-001
0.32375	1.6890585E-001
0.32525	1.6208909E-001
0.32675	1.5555243E-001
0.32825	1.4938577E-001
0.32975	1.4361151E-001
0.33125	1.3851030E-001
0.33275	1.3398819E-001
0.33425	1.2992015E-001
0.33575	1.2592527E-001
0.33725	1.2205944E-001
0.33875	1.1838553E-001
0.34025	1.1445016E-001
0.34175	1.1057598E-001
0.34325	1.0660691E-001
0.34475	1.0286967E-001
0.34625	9.9209853E-002
0.34775	9.5696069E-002
0.34925	9.2547245E-002
0.35075	8.9556403E-002
0.35225	8.7032564E-002
0.35375	8.4672682E-002
0.35525	8.2628988E-002
0.35675	8.0814265E-002
0.35825	7.9156317E-002
0.35975	7.7446759E-002
0.36125	7.5501293E-002
0.36275	7.3502772E-002
0.36425	7.1345083E-002
0.36575	6.8930224E-002
0.36725	6.6323213E-002
0.36875	6.3885175E-002
0.37025	6.1703105E-002
0.37175	5.9534658E-002
0.37325	5.7689816E-002
0.37475	5.6164283E-002
0.37625	5.4997008E-002
0.37775	5.3991530E-002
0.37925	5.3147625E-002
0.38075	5.2604858E-002
0.38225	5.2106306E-002
0.38375	5.1617309E-002
0.38525	5.0946195E-002
0.38675	5.0117824E-002
0.38825	4.9054753E-002
0.38975	4.7764868E-002
0.39125	4.6170499E-002
0.39275	4.4463560E-002
0.39425	4.2764992E-002
0.39575	4.1085292E-002
0.39725	3.9565254E-002
0.39875	3.8213711E-002
0.40025	3.7182663E-002
0.40175	3.6325131E-002
0.40325	3.5780933E-002
0.40475	3.5396617E-002
0.40625	3.5245810E-002
0.40775	3.5263497E-002
0.40925	3.5288591E-002
0.41075	3.5295282E-002
0.41225	3.5129894E-002
0.41375	3.4769002E-002
0.41525	3.4209743E-002
