theta_deg	log10_I_minus_log10_R
0.20825	1.4852323E-002
0.20975	1.6130991E-002
0.21125	1.7897863E-002
0.21275	1.9612968E-002
0.21425	2.0158727E-002
0.21575	2.2003330E-002
0.21725	2.4081878E-002
0.21875	2.5205396E-002
0.22025	2.7131341E-002
0.22175	2.8344601E-002
0.22325	2.8143562E-002
0.22475	2.8705806E-002
0.22625	2.9158808E-002
0.22775	3.0146345E-002
0.22925	3.0103095E-002
0.23075	3.1900108E-002
0.23225	3.3677809E-002
0.23375	3.5453901E-002
0.23525	3.5775602E-002
0.23675	3.6857285E-002
0.23825	3.8251847E-002
0.23975	3.9323367E-002
0.24125	4.0812008E-002
0.24275	4.2593524E-002
0.24425	4.2438619E-002
0.24575	4.3892749E-002
0.24725	4.4715613E-002
0.24875	4.5562401E-002
0.25025	4.6012200E-002
0.25175	4.6365067E-002
0.25325	4.7228009E-002
0.25475	4.8266649E-002
0.25625	4.9797118E-002
0.25775	5.1442116E-002
0.25925	5.3174354E-002
0.26075	5.4554321E-002
0.26225	5.5742003E-002
0.26375	5.7006985E-002
0.26525	5.8418706E-002
0.26675	5.9846282E-002
0.26825	6.1686724E-002
0.26975	6.3524246E-002
0.27125	6.5300956E-002
0.27275	6.6823080E-002
0.27425	6.7919716E-002
0.27575	6.8868592E-002
0.27725	6.9427371E-002
0.27875	7.6521203E-002
0.28025	7.7997908E-002
0.28175	7.9686418E-002
0.28325	8.1165016E-002
0.28475	8.2634538E-002
0.28625	8.3683997E-002
0.28775	9.2781186E-002
0.28925	9.2416883E-002
0.29075	9.1268539E-002
0.29225	8.9693785E-002
0.29375	8.7123245E-002
0.29525	9.3081772E-002
0.29675	8.9495212E-002
0.29825	8.5216701E-002
0.29975	8.8832676E-002
0.30125	8.3394825E-002
0.30275	7.8193039E-002
0.30425	8.1052005E-002
0.30575	7.5544775E-002
0.30725	7.0437014E-002
0.30875	5.4012895E-002
0.31025	5.1846743E-002
0.31175	4.9517691E-002
0.31325	4.7190905E-002
0.31475	4.4916153E-002
0.31625	4.2180061E-002
0.31775	4.0249527E-002
0.31925	3.8192689E-002
0.32075	3.6197960E-002
0.32225	3.3969402E-002
0.32375	3.1293690E-002
0.32525	2.8293431E-002
0.32675	2.4932444E-002
0.32825	2.1503329E-002
0.32975	1.8168032E-002
0.33125	1.5943468E-002
0.33275	1.4784098E-002
0.33425	1.4512599E-002
0.33575	1.4017820E-002
0.33725	1.3566792E-002
0.33875	1.3446331E-002
0.34025	1.1977255E-002
0.34175	1.0250330E-002
0.34325	7.5347424E-003
0.34475	5.0159693E-003
0.34625	1.9618273E-003
0.34775	-1.4278889E-003
0.34925	-4.1664839E-003
0.35075	-7.1392059E-003
0.35225	-8.7164640E-003
0.35375	-1.0173321E-002
0.35525	-1.0509968E-002
0.35675	-9.9118948E-003
0.35825	-8.5247755E-003
0.35975	-7.3134899E-003
0.36125	-7.2523355E-003
0.36275	-7.3251724E-003
0.36425	-8.2378387E-003
0.36575	-1.0805011E-002
0.36725	-1.4952660E-002
0.36875	-1.8608928E-002
0.37025	-2.1296978E-002
0.37175	-2.4844766E-002
0.37325	-2.7116299E-002
0.37475	-2.8056979E-002
0.37625	-2.7208805E-002
0.37775	-2.5916338E-002
0.37925	-2.3960829E-002
0.38075	-1.9901991E-002
0.38225	-1.5526772E-002
0.38375	-1.0827541E-002
0.38525	-7.1657896E-003
0.38675	-4.1726828E-003
0.38825	-2.4669170E-003
0.38975	-2.0802021E-003
0.39125	-3.9933920E-003
0.39275	-6.8330765E-003
0.39425	-9.8216534E-003
0.39575	-1.3253570E-002
0.39725	-1.6023874E-002
0.39875	-1.8298388E-002
0.40025	-1.8504262E-002
0.40175	-1.8376231E-002
0.40325	-1.6203046E-002
0.40475	-1.3649821E-002
0.40625	-9.5312595E-003
0.40775	-4.2506456E-003
0.40925	6.7102909E-004
0.41075	5.4222345E-003
0.41225	8.6023808E-003
0.41375	1.0322452E-002
0.41525	1.0801315E-002
0.41675	8.7871552E-003
0.41825	4.8325062E-003
0.41975	1.5661716E-003
0.42125	-3.2224655E-003
0.42275	-6.6106319E-003
0.42425	-1.1225462E-002
0.42575	-1.6543269E-002
0.42725	-1.9101977E-002
0.42875	-2.2574425E-002
0.43025	-2.2359014E-002
0.43175	-2.0270705E-002
0.43325	-1.7336130E-002
0.43475	-1.1576414E-002
0.43625	-5.6898594E-003
0.43775	1.6523600E-003
0.43925	6.3105822E-003
0.44075	9.8422766E-003
0.44225	1.2189507E-002
0.44375	1.2374878E-002
0.44525	9.7882748E-003
0.44675	4.6075583E-003
0.44825	-1.1361837E-003
0.44975	-8.7907314E-003
0.45125	-1.7954946E-002
0.45275	-2.7086616E-002
0.45425	-3.5108447E-002
0.45575	-4.2629242E-002
0.45725	-4.7209024E-002
0.45875	-4.9570322E-002
0.46025	-4.8086524E-002
0.46175	-4.3910265E-002
0.46325	-3.6715508E-002
0.46475	-2.8258920E-002
0.46625	-2.0215750E-002
0.46775	-1.3444901E-002
0.46925	-7.9025030E-003
0.47075	-4.5237541E-003
0.47225	-3.4831762E-003
0.47375	-3.3010244E-003
0.47525	-5.0301552E-003
0.47675	-7.9997778E-003
0.47825	-1.3623118E-002
0.47975	-1.9495368E-002
0.48125	-2.7128220E-002
0.48275	-3.6684394E-002
0.48425	-4.8710823E-002
0.48575	-5.9292316E-002
0.48725	-6.7016244E-002
