theta_deg	R
0.20225	8.4388840E-001
0.20375	8.4221661E-001
0.20525	7.7556455E-001
0.20675	7.8866571E-001
0.20825	8.0462927E-001
0.20975	8.0629623E-001
0.21125	8.0657434E-001
0.21275	8.0479807E-001
0.21425	8.0345821E-001
0.21575	8.0024946E-001
0.21725	7.9638243E-001
0.21875	7.9423213E-001
0.22025	7.8969330E-001
0.22175	7.8471535E-001
0.22325	7.8204721E-001
0.22475	7.7647203E-001
0.22625	7.7049261E-001
0.22775	7.6408798E-001
0.22925	7.6068842E-001
0.23075	7.5361389E-001
0.23225	7.4602729E-001
0.23375	7.3789471E-001
0.23525	7.3360395E-001
0.23675	7.2455776E-001
0.23825	7.1488696E-001
0.23975	7.0442879E-001
0.24125	6.9316524E-001
0.24275	6.8092299E-001
0.24425	6.7440796E-001
0.24575	6.6057980E-001
0.24725	6.4560866E-001
0.24875	6.2931544E-001
0.25025	6.1154652E-001
0.25175	5.9245306E-001
0.25325	5.7184017E-001
0.25475	5.4999292E-001
0.25625	5.2734870E-001
0.25775	5.0171375E-001
0.25925	4.7397304E-001
0.26075	4.4697323E-001
0.26225	4.2090762E-001
0.26375	3.9591676E-001
0.26525	3.7219331E-001
0.26675	3.4974417E-001
0.26825	3.2865795E-001
0.26975	3.0908430E-001
0.27125	2.9119849E-001
0.27275	2.7514273E-001
0.27425	2.6085624E-001
0.27575	2.4815892E-001
0.27725	2.3667836E-001
0.27875	2.2082786E-001
0.28025	2.1069351E-001
0.28175	2.0070665E-001
0.28325	1.9086345E-001
0.28475	1.8131886E-001
0.28625	1.7229001E-001
0.28775	1.6019464E-001
0.28925	1.5333261E-001
0.29075	1.4747700E-001
0.29225	1.4255221E-001
0.29375	1.3837935E-001
0.29525	1.3300253E-001
0.29675	1.2964298E-001
0.29825	1.2620822E-001
0.29975	1.2061696E-001
0.30125	1.1650652E-001
0.30275	1.1273231E-001
0.30425	1.0820973E-001
0.30575	1.0384533E-001
0.30725	9.9676244E-002
0.30875	9.5744528E-002
0.31025	9.2088290E-002
0.31175	8.8733390E-002
0.31325	8.5687906E-002
0.31475	8.2939096E-002
0.31625	8.0453828E-002
0.31775	7.8182168E-002
0.31925	7.6063097E-002
0.32075	7.4032016E-002
0.32225	7.2028331E-002
0.32375	7.0002422E-002
0.32525	6.7921102E-002
0.32675	6.5770730E-002
0.32825	6.3557826E-002
0.32975	6.1307311E-002
0.33125	5.9058614E-002
0.33275	5.6860235E-002
0.33425	5.4763455E-002
0.33575	5.2815888E-002
0.33725	5.1055674E-002
0.33875	4.9506839E-002
0.34025	4.8176449E-002
0.34175	4.7053717E-002
0.34325	4.6111241E-002
0.34475	4.5308042E-002
0.34625	4.4594038E-002
0.34775	4.3915398E-002
0.34925	4.3220084E-002
0.35075	4.2463113E-002
0.35225	4.1610803E-002
0.35375	4.0643748E-002
0.35525	3.9558332E-002
0.35675	3.8366549E-002
0.35825	3.7094280E-002
0.35975	3.5778273E-002
0.36125	3.4462150E-002
0.36275	3.3191863E-002
0.36425	3.2011107E-002
0.36575	3.0956930E-002
0.36725	3.0056281E-002
0.36875	2.9323475E-002
0.37025	2.8759042E-002
0.37175	2.8349910E-002
0.37325	2.8070819E-002
0.37475	2.7886946E-002
0.37625	2.7757263E-002
0.37775	2.7638329E-002
0.37925	2.7488234E-002
0.38075	2.7270138E-002
0.38225	2.6955320E-002
0.38375	2.6525365E-002
0.38525	2.5973417E-002
0.38675	2.5304420E-002
0.38825	2.4534354E-002
0.38975	2.3688572E-002
0.39125	2.2799449E-002
0.39275	2.1903411E-002
0.39425	2.1037871E-002
0.39575	2.0238016E-002
0.39725	1.9533925E-002
0.39875	1.8948216E-002
0.40025	1.8494315E-002
0.40175	1.8175567E-002
0.40325	1.7985178E-002
0.40475	1.7907003E-002
0.40625	1.7917065E-002
0.40775	1.7985655E-002
0.40925	1.8079776E-002
0.41075	1.8165801E-002
0.41225	1.8212039E-002
0.41375	1.8191054E-002
0.41525	1.8081611E-002
0.41675	1.7870145E-002
0.41825	1.7551528E-002
0.41975	1.7129323E-002
0.42125	1.6615300E-002
0.42275	1.6028401E-002
0.42425	1.5393185E-002
0.42575	1.4737882E-002
0.42725	1.4092201E-002
0.42875	1.3485141E-002
0.43025	1.2942822E-002
0.43175	1.2486650E-002
0.43325	1.2131816E-002
0.43475	1.1886299E-002
0.43625	1.1750425E-002
0.43775	1.1716980E-002
0.43925	1.1771861E-002
0.44075	1.1895225E-002
0.44225	1.2063025E-002
0.44375	1.2248801E-002
0.44525	1.2425602E-002
0.44675	1.2567881E-002
0.44825	1.2653258E-002
0.44975	1.2663990E-002
0.45125	1.2588080E-002
0.45275	1.2419975E-002
0.45425	1.2160769E-002
0.45575	1.1817992E-002
0.45725	1.1404940E-002
0.45875	1.0939674E-002
0.46025	1.0443688E-002
0.46175	9.9404100E-003
0.46325	9.4536096E-003
0.46475	9.0058222E-003
0.46625	8.6168526E-003
0.46775	8.3025387E-003
0.46925	8.0737146E-003
0.47075	7.9356162E-003
0.47225	7.8875748E-003
0.47375	7.9231765E-003
0.47525	8.0307573E-003
0.47675	8.1942398E-003
0.47825	8.3942786E-003
0.47975	8.6095491E-003
0.48125	8.8181943E-003
0.48275	8.9992350E-003
0.48425	9.1339247E-003
0.48575	9.2069227E-003
0.48725	9.2072152E-003
0.48875	9.1287261E-003
0.49025	8.9706117E-003
0.49175	8.7372242E-003
0.49325	8.4377378E-003
0.49475	8.0855303E-003
0.49625	7.6972689E-003
0.49775	7.2918516E-003
0.49925	6.8891663E-003
0.50075	6.5088337E-003
0.50225	6.1689434E-003
0.50375	5.8849198E-003
0.50525	5.6685773E-003
0.50675	5.5274214E-003
0.50825	5.4642493E-003
0.50975	5.4770419E-003
0.51125	5.5591632E-003
0.51275	5.6998469E-003
0.51425	5.8849067E-003
0.51575	6.0976930E-003
0.51725	6.3201520E-003
0.51875	6.5339808E-003
0.52025	6.7217704E-003
0.52175	6.8680551E-003
0.52325	6.9602211E-003
0.52475	6.9892085E-003
0.52625	6.9499621E-003
0.52775	6.8416363E-003
0.52925	6.6675488E-003
0.53075	6.4348872E-003
0.53225	6.1542364E-003
0.53375	5.8389050E-003
0.53525	5.5041490E-003
0.53675	5.1662885E-003
0.53825	4.8417752E-003
0.53975	4.5462516E-003
0.54125	4.2936401E-003
0.54275	4.0953211E-003
0.54425	3.9594444E-003
0.54575	3.8904576E-003
0.54725	3.8888429E-003
0.54875	3.9511179E-003
0.55025	4.0700911E-003
0.55175	4.2353403E-003
0.55325	4.4338834E-003
0.55475	4.6509807E-003
0.55625	4.8710248E-003
0.55775	5.0784647E-003
0.55925	5.2586887E-003
0.56075	5.3988551E-003
0.56225	5.4885955E-003
0.56375	5.5205720E-003
0.56525	5.4908679E-003
0.56675	5.3991787E-003
0.56825	5.2487948E-003
0.56975	5.0463956E-003
0.57125	4.8016254E-003
0.57275	4.5265271E-003
0.57425	4.2348141E-003
0.57575	3.9410796E-003
0.57725	3.6599473E-003
0.57875	3.4052401E-003
0.58025	3.1892059E-003
0.58175	3.0218521E-003
0.58325	2.9103875E-003
0.58475	2.8588516E-003
0.58625	2.8679036E-003
0.58775	2.9348156E-003
0.58925	3.0536447E-003
0.59075	3.2155938E-003
0.59225	3.4095200E-003
0.59375	3.6225824E-003
0.59525	3.8409675E-003
0.59675	4.0506762E-003
0.59825	4.2383117E-003
0.59975	4.3918341E-003
0.60125	4.5012212E-003
0.60275	4.5590210E-003
0.60425	4.5607463E-003
0.60575	4.5050848E-003
0.60725	4.3939389E-003
0.60875	4.2322907E-003
0.61025	4.0278854E-003
0.61175	3.7907946E-003
0.61325	3.5328437E-003
0.61475	3.2669595E-003
0.61625	3.0064725E-003
0.61775	2.7643831E-003
0.61925	2.5526634E-003
0.62075	2.3816084E-003
0.62225	2.2592798E-003
0.62375	2.1910772E-003
0.62525	2.1794476E-003
0.62675	2.2237708E-003
0.62825	2.3203960E-003
0.62975	2.4628551E-003
0.63125	2.6422099E-003
0.63275	2.8475535E-003
0.63425	3.0666112E-003
0.63575	3.2864187E-003
0.63725	3.4940497E-003
0.63875	3.6773221E-003
0.64025	3.8254592E-003
0.64175	3.9296541E-003
0.64325	3.9835237E-003
0.64475	3.9834157E-003
0.64625	3.9285868E-003
0.64775	3.8212149E-003
0.64925	3.6662843E-003
0.65075	3.4713186E-003
0.65225	3.2459754E-003
0.65375	3.0015460E-003
0.65525	2.7503488E-003
0.65675	2.5050747E-003
0.65825	2.2781142E-003
0.65975	2.0808980E-003
0.66125	1.9232912E-003
0.66275	1.8130715E-003
0.66425	1.7555224E-003
0.66575	1.7531558E-003
0.66725	1.8055848E-003
0.66875	1.9095417E-003
0.67025	2.0590513E-003
0.67175	2.2457372E-003
0.67325	2.4592625E-003
0.67475	2.6878673E-003
0.67625	2.9189859E-003
0.67775	3.1399194E-003
0.67925	3.3385032E-003
0.68075	3.5037578E-003
0.68225	3.6264628E-003
0.68375	3.6996373E-003
