theta_deg	I
0.20225	8.7913293E-001
0.20375	8.7972516E-001
0.20525	8.7928396E-001
0.20675	8.7785482E-001
0.20825	8.7665361E-001
0.20975	8.7521029E-001
0.21125	8.7313241E-001
0.21275	8.7015039E-001
0.21425	8.6519051E-001
0.21575	8.5776997E-001
0.21725	8.4637570E-001
0.21875	8.3145332E-001
0.22025	8.1384999E-001
0.22175	7.9377031E-001
0.22325	7.7248591E-001
0.22475	7.5137824E-001
0.22625	7.3141629E-001
0.22775	7.1380162E-001
0.22925	6.9866133E-001
0.23075	6.8672085E-001
0.23225	6.7751551E-001
0.23375	6.7111486E-001
0.23525	6.6712588E-001
0.23675	6.6431564E-001
0.23825	6.6148072E-001
0.23975	6.5790087E-001
0.24125	6.5361047E-001
0.24275	6.4795101E-001
0.24425	6.4173716E-001
0.24575	6.3528442E-001
0.24725	6.2955791E-001
0.24875	6.2431020E-001
0.25025	6.1881930E-001
0.25175	6.1252689E-001
0.25325	6.0509175E-001
0.25475	5.9631485E-001
0.25625	5.8589584E-001
0.25775	5.7426757E-001
0.25925	5.6194979E-001
0.26075	5.4923880E-001
0.26225	5.3583223E-001
0.26375	5.2140319E-001
0.26525	5.0552613E-001
0.26675	4.8815498E-001
0.26825	4.6972218E-001
0.26975	4.5021191E-001
0.27125	4.3013057E-001
0.27275	4.1031036E-001
0.27425	3.9086795E-001
0.27575	3.7181541E-001
0.27725	3.5326374E-001
0.27875	3.3502850E-001
0.28025	3.1734189E-001
0.28175	2.9996657E-001
0.28325	2.8352824E-001
0.28475	2.6818767E-001
0.28625	2.5369781E-001
0.28775	2.4042027E-001
0.28925	2.2800444E-001
0.29075	2.1651268E-001
0.29225	2.0532298E-001
0.29375	1.9469436E-001
0.29525	1.8458891E-001
0.29675	1.7523770E-001
0.29825	1.6685647E-001
0.29975	1.5925907E-001
0.30125	1.5266377E-001
0.30275	1.4669780E-001
0.30425	1.4139102E-001
0.30575	1.3650821E-001
0.30725	1.3156234E-001
0.30875	1.2658061E-001
0.31025	1.2172025E-001
0.31175	1.1686835E-001
0.31325	1.1203945E-001
0.31475	1.0711396E-001
0.31625	1.0247317E-001
0.31775	9.8144859E-002
0.31925	9.4091810E-002
0.32075	9.0478212E-002
0.32225	8.7490104E-002
0.32375	8.5001498E-002
0.32525	8.2938790E-002
0.32675	8.1239723E-002
0.32825	7.9637796E-002
0.32975	7.8047223E-002
0.33125	7.6086991E-002
0.33275	7.3958330E-002
0.33425	7.1573570E-002
0.33575	6.8827756E-002
0.33725	6.5971956E-002
0.33875	6.3036114E-002
0.34025	6.0120109E-002
0.34175	5.7519864E-002
0.34325	5.5089403E-002
0.34475	5.3062130E-002
0.34625	5.1451445E-002
0.34775	5.0236423E-002
0.34925	4.9470276E-002
0.35075	4.8876788E-002
0.35225	4.8580319E-002
0.35375	4.8293695E-002
0.35525	4.8001468E-002
0.35675	4.7585834E-002
0.35825	4.6878651E-002
0.35975	4.5909613E-002
0.36125	4.4510584E-002
0.36275	4.2911250E-002
0.36425	4.1042950E-002
0.36575	3.9020192E-002
0.36725	3.6931898E-002
0.36875	3.4900110E-002
0.37025	3.3135924E-002
0.37175	3.1646866E-002
0.37325	3.0463032E-002
0.37475	2.9640658E-002
0.37625	2.9189864E-002
0.37775	2.9059073E-002
0.37925	2.9176457E-002
0.38075	2.9395767E-002
0.38225	2.9732184E-002
0.38375	2.9993767E-002
0.38525	3.0126886E-002
0.38675	3.0098155E-002
0.38825	2.9752707E-002
0.38975	2.9256627E-002
0.39125	2.8371183E-002
0.39275	2.7285857E-002
0.39425	2.5970412E-002
0.39575	2.4538131E-002
0.39725	2.3080265E-002
0.39875	2.1570412E-002
0.40025	2.0257430E-002
0.40175	1.9133659E-002
0.40325	1.8254234E-002
0.40475	1.7592065E-002
0.40625	1.7221989E-002
0.40775	1.7086683E-002
0.40925	1.7176019E-002
0.41075	1.7378090E-002
0.41225	1.7744474E-002
0.41375	1.8178850E-002
0.41525	1.8590244E-002
0.41675	1.8936787E-002
0.41825	1.9181816E-002
0.41975	1.9232301E-002
0.42125	1.9077428E-002
0.42275	1.8761668E-002
0.42425	1.8204024E-002
0.42575	1.7473038E-002
0.42725	1.6571039E-002
0.42875	1.5650025E-002
0.43025	1.4679345E-002
0.43175	1.3655718E-002
0.43325	1.2735524E-002
0.43475	1.1935450E-002
0.43625	1.1292710E-002
0.43775	1.0810722E-002
0.43925	1.0523143E-002
0.44075	1.0444339E-002
0.44225	1.0583203E-002
0.44375	1.0826728E-002
0.44525	1.1159590E-002
0.44675	1.1628992E-002
0.44825	1.2058444E-002
0.44975	1.2496104E-002
0.45125	1.2799279E-002
0.45275	1.3039931E-002
0.45425	1.3123386E-002
0.45575	1.3022554E-002
0.45725	1.2817201E-002
0.45875	1.2358882E-002
0.46025	1.1775379E-002
0.46175	1.1094332E-002
0.46325	1.0349118E-002
0.46475	9.5605357E-003
0.46625	8.7703122E-003
0.46775	8.0613540E-003
0.46925	7.4671805E-003
0.47075	6.9568730E-003
0.47225	6.6007520E-003
0.47375	6.3858218E-003
0.47525	6.3466933E-003
0.47675	6.4361678E-003
0.47825	6.6565718E-003
0.47975	6.9998321E-003
0.48125	7.3998696E-003
0.48275	7.8653032E-003
0.48425	8.2738223E-003
0.48575	8.6426670E-003
0.48725	8.9536402E-003
0.48875	9.1542052E-003
0.49025	9.2098881E-003
0.49175	9.1257486E-003
0.49325	8.9544607E-003
0.49475	8.6645558E-003
0.49625	8.2175927E-003
0.49775	7.6901838E-003
0.49925	7.1272030E-003
0.50075	6.5162028E-003
0.50225	5.8822180E-003
0.50375	5.3021363E-003
0.50525	4.8176860E-003
0.50675	4.4012312E-003
0.50825	4.1214512E-003
0.50975	3.9445539E-003
0.51125	3.9143185E-003
0.51275	4.0063928E-003
0.51425	4.1953302E-003
0.51575	4.4952207E-003
0.51725	4.8309569E-003
0.51875	5.2140295E-003
0.52025	5.6165289E-003
0.52175	5.9956349E-003
0.52325	6.3250773E-003
0.52475	6.5649077E-003
0.52625	6.7171790E-003
0.52775	6.8132207E-003
0.52925	6.7728609E-003
0.53075	6.6428897E-003
0.53225	6.3999128E-003
0.53375	6.0949600E-003
0.53525	5.7055936E-003
0.53675	5.2231955E-003
0.53825	4.7189076E-003
0.53975	4.2133890E-003
0.54125	3.7469978E-003
0.54275	3.3171354E-003
0.54425	2.9760639E-003
