theta_deg	log10_I_minus_log10_R
0.20225	1.7769530E-002
0.20375	1.8923208E-002
0.20525	5.4511201E-002
0.20675	4.6529740E-002
0.20825	3.7232202E-002
0.20975	3.5617787E-002
0.21125	3.4435704E-002
0.21275	3.3907395E-002
0.21425	3.2148451E-002
0.21575	3.0145451E-002
0.21725	2.6441514E-002
0.21875	1.9890420E-002
0.22025	1.3085909E-002
0.22175	4.9827024E-003
0.22325	-5.3424090E-003
0.22475	-1.4267206E-002
0.22625	-2.2603855E-002
0.22775	-2.9565841E-002
0.22925	-3.6940105E-002
0.23075	-4.0368654E-002
0.23225	-4.1835472E-002
0.23375	-4.1197538E-002
0.23525	-4.1253880E-002
0.23675	-3.7698522E-002
0.23825	-3.3720195E-002
0.23975	-2.9676631E-002
0.24125	-2.5517777E-002
0.24275	-2.1555826E-002
0.24425	-2.1565497E-002
0.24575	-1.6957074E-002
0.24725	-1.0933667E-002
0.24875	-3.4679472E-003
0.25025	5.1343441E-003
0.25175	1.4471218E-002
0.25325	2.4546564E-002
0.25475	3.5118520E-002
0.25625	4.5722529E-002
0.25775	5.8658287E-002
0.25925	7.3943883E-002
0.26075	8.9479685E-002
0.26225	1.0484204E-001
0.26375	1.1956978E-001
0.26525	1.3297507E-001
0.26675	1.4480725E-001
0.26825	1.5509692E-001
0.26975	1.6334006E-001
0.27125	1.6941118E-001
0.27275	1.7355445E-001
0.27425	1.7562884E-001
0.27575	1.7559752E-001
0.27725	1.7394048E-001
0.27875	1.8102789E-001
0.28025	1.7787626E-001
0.28175	1.7451108E-001
0.28325	1.7187357E-001
0.28475	1.6999578E-001
0.28625	1.6805667E-001
0.28775	1.7632312E-001
0.28925	1.7230880E-001
0.29075	1.6675901E-001
0.29225	1.5846360E-001
0.29375	1.4828211E-001
0.29525	1.4234573E-001
0.29675	1.3087857E-001
0.29825	1.2125540E-001
0.29975	1.2069577E-001
0.30125	1.1738575E-001
0.30275	1.1437523E-001
0.30425	1.1615551E-001
0.30575	1.1877185E-001
0.30725	1.2053990E-001
0.30875	1.2125325E-001
0.31025	1.2115842E-001
0.31175	1.1960983E-001
0.31325	1.1645144E-001
0.31475	1.1108679E-001
0.31625	1.0506350E-001
0.31775	9.8759890E-002
0.31925	9.2377782E-002
0.32075	8.7124467E-002
0.32225	8.4455609E-002
0.32375	8.4313512E-002
0.32525	8.6753011E-002
0.32675	9.1735840E-002
0.32825	9.7950220E-002
