theta_deg	log10_I_minus_log10_R
0.20825	6.2915683E-003
0.20975	7.2576776E-003
0.21125	8.3738565E-003
0.21275	9.5689520E-003
0.21425	9.9465623E-003
0.21575	1.1363938E-002
0.21725	1.3081335E-002
0.21875	1.4087215E-002
0.22025	1.5720226E-002
0.22175	1.6660556E-002
0.22325	1.6398989E-002
0.22475	1.6738839E-002
0.22625	1.7009251E-002
0.22775	1.7804131E-002
0.22925	1.7725535E-002
0.23075	1.9369781E-002
0.23225	2.1030232E-002
0.23375	2.2682175E-002
0.23525	2.2985749E-002
0.23675	2.3981795E-002
0.23825	2.5274746E-002
0.23975	2.6269950E-002
0.24125	2.7703211E-002
0.24275	2.9444255E-002
0.24425	2.9314466E-002
0.24575	3.0738667E-002
0.24725	3.1552240E-002
0.24875	3.2399103E-002
0.25025	3.2860123E-002
0.25175	3.3219732E-002
0.25325	3.4183986E-002
0.25475	3.5288721E-002
0.25625	3.6919177E-002
0.25775	3.8682669E-002
0.25925	4.0615916E-002
0.26075	4.2190373E-002
0.26225	4.3631181E-002
0.26375	4.5203567E-002
0.26525	4.7012851E-002
0.26675	4.8894972E-002
0.26825	5.1287860E-002
0.26975	5.3787053E-002
0.27125	5.6338891E-002
0.27275	5.8735460E-002
0.27425	6.0905874E-002
0.27575	6.3031495E-002
0.27725	6.4998254E-002
0.27875	7.4466541E-002
0.28025	7.7717647E-002
0.28175	8.1345856E-002
0.28325	8.4899902E-002
0.28475	8.8480771E-002
0.28625	9.1603041E-002
0.28775	1.0379899E-001
0.28925	1.0532054E-001
0.29075	1.0598937E-001
0.29225	1.0602239E-001
0.29375	1.0483658E-001
0.29525	1.1249238E-001
0.29675	1.0989642E-001
0.29825	1.0652670E-001
0.29975	1.1147898E-001
0.30125	1.0696748E-001
0.30275	1.0268170E-001
0.30425	1.0668421E-001
0.30575	1.0169238E-001
0.30725	9.6833646E-002
0.30875	8.2833469E-002
0.31025	8.0745876E-002
0.31175	7.8418136E-002
0.31325	7.6105297E-002
0.31475	7.3949039E-002
0.31625	7.1514189E-002
0.31775	7.0112944E-002
0.31925	6.8814039E-002
0.32075	6.7754805E-002
0.32225	6.6544175E-002
0.32375	6.4846635E-002
0.32525	6.2670410E-002
0.32675	5.9902489E-002
0.32825	5.6825221E-002
0.32975	5.3664625E-002
0.33125	5.1563263E-002
0.33275	5.0632656E-002
0.33425	5.0845861E-002
0.33575	5.1197827E-002
0.33725	5.1991999E-002
0.33875	5.3470671E-002
0.34025	5.3833783E-002
0.34175	5.3991079E-002
0.34325	5.2998424E-002
0.34475	5.1830053E-002
0.34625	4.9584985E-002
0.34775	4.6371102E-002
0.34925	4.3186784E-002
0.35075	3.9265633E-002
0.35225	3.6446691E-002
0.35375	3.3719897E-002
0.35525	3.2357574E-002
0.35675	3.2412648E-002
0.35825	3.3904910E-002
0.35975	3.5938978E-002
0.36125	3.7501931E-002
0.36275	3.9462805E-002
0.36425	4.0872097E-002
0.36575	4.0599704E-002
0.36725	3.8371444E-002
0.36875	3.5927296E-002
0.37025	3.3480763E-002
0.37175	2.9057384E-002
0.37325	2.4792075E-002
0.37475	2.0889521E-002
0.37625	1.8089652E-002
0.37775	1.5417218E-002
0.37925	1.3491869E-002
0.38075	1.4129996E-002
0.38225	1.5847206E-002
0.38375	1.8846273E-002
0.38525	2.1839619E-002
0.38675	2.5142908E-002
0.38825	2.7966261E-002
0.38975	3.0002356E-002
0.39125	2.9911160E-002
0.39275	2.8653383E-002
0.39425	2.6583195E-002
0.39575	2.3024321E-002
0.39725	1.8803000E-002
0.39875	1.3637900E-002
0.40025	9.1873407E-003
0.40175	4.0054321E-003
0.40325	2.5820732E-004
0.40475	-3.1747818E-003
0.40625	-4.5611858E-003
0.40775	-3.8353205E-003
0.40925	-2.1786690E-003
0.41075	7.8284740E-004
0.41225	3.6836863E-003
0.41375	6.5358877E-003
0.41525	9.3463659E-003
0.41675	1.0563135E-002
0.41825	1.0365129E-002
0.41975	1.0953307E-002
0.42125	9.6510649E-003
0.42275	8.9081526E-003
0.42425	5.6638718E-003
0.42575	1.1181831E-004
0.42725	-4.4405460E-003
0.42875	-1.1589289E-002
0.43025	-1.6411662E-002
0.43175	-2.0201325E-002
0.43325	-2.3350120E-002
0.43475	-2.3244143E-002
0.43625	-2.2040009E-002
0.43775	-1.8019795E-002
0.43925	-1.5107632E-002
0.44075	-1.1688471E-002
0.44225	-7.8942776E-003
0.44375	-4.8741102E-003
0.44525	-3.4832954E-003
0.44675	-3.8473606E-003
0.44825	-4.2910576E-003
0.44975	-6.5704584E-003
0.45125	-1.0745525E-002
0.45275	-1.5771866E-002
0.45425	-2.1068573E-002
0.45575	-2.7672052E-002
0.45725	-3.3410788E-002
0.45875	-3.9028883E-002
0.46025	-4.2627215E-002
0.46175	-4.4813037E-002
0.46325	-4.4537067E-002
0.46475	-4.2793274E-002
0.46625	-4.0582061E-002
0.46775	-3.8262963E-002
0.46925	-3.5495758E-002
0.47075	-3.3103704E-002
0.47225	-3.1295300E-002
0.47375	-2.8723836E-002
0.47525	-2.6642442E-002
0.47675	-2.4626017E-002
0.47825	-2.4375200E-002
0.47975	-2.3823023E-002
0.48125	-2.4882078E-002
0.48275	-2.8188467E-002
0.48425	-3.4828663E-002
0.48575	-4.1462064E-002
0.48725	-4.7217488E-002
0.48875	-5.6107044E-002
0.49025	-6.5435052E-002
0.49175	-7.2101235E-002
0.49325	-7.4365973E-002
0.49475	-7.5112224E-002
0.49625	-7.3615670E-002
0.49775	-6.8502307E-002
0.49925	-6.2979698E-002
0.50075	-5.5118442E-002
0.50225	-4.9105406E-002
0.50375	-4.3441534E-002
0.50525	-4.0086865E-002
0.50675	-3.7067652E-002
0.50825	-3.3291817E-002
0.50975	-3.2111168E-002
0.51125	-3.2945275E-002
0.51275	-3.4541845E-002
0.51425	-3.7721992E-002
0.51575	-4.3483377E-002
0.51725	-5.1348686E-002
0.51875	-6.1974168E-002
0.52025	-7.1136117E-002
0.52175	-8.2520604E-002
0.52325	-9.1077328E-002
0.52475	-9.5530987E-002
0.52625	-9.6311808E-002
0.52775	-9.2911482E-002
0.52925	-8.9008689E-002
0.53075	-8.0007911E-002
0.53225	-7.3349833E-002
0.53375	-6.5432668E-002
0.53525	-5.8550596E-002
0.53675	-5.4579020E-002
0.53825	-4.6931386E-002
0.53975	-4.4182181E-002
0.54125	-4.0476322E-002
0.54275	-3.9658785E-002
0.54425	-4.1384101E-002
0.54575	-4.3255329E-002
0.54725	-4.9580336E-002
0.54875	-5.5728674E-002
0.55025	-6.3342452E-002
0.55175	-7.2975397E-002
0.55325	-8.3685875E-002
0.55475	-9.2970848E-002
0.55625	-1.0278797E-001
0.55775	-1.1055923E-001
0.55925	-1.1704516E-001
0.56075	-1.1735559E-001
0.56225	-1.1216855E-001
0.56375	-1.0411119E-001
0.56525	-9.4079971E-002
0.56675	-8.4700584E-002
0.56825	-7.3957920E-002
0.56975	-6.6115379E-002
0.57125	-5.9574842E-002
0.57275	-5.5189490E-002
0.57425	-5.1849961E-002
0.57575	-5.0136924E-002
0.57725	-4.8950911E-002
0.57875	-5.0000906E-002
0.58025	-5.1144242E-002
0.58175	-5.5657506E-002
0.58325	-6.1832428E-002
0.58475	-6.9070816E-002
0.58625	-8.0397129E-002
0.58775	-9.1498137E-002
0.58925	-1.0592818E-001
0.59075	-1.1913300E-001
0.59225	-1.2997341E-001
0.59375	-1.3949752E-001
0.59525	-1.3805437E-001
0.59675	-1.3222027E-001
0.59825	-1.2223625E-001
0.59975	-1.0876226E-001
0.60125	-9.4916344E-002
0.60275	-7.9823971E-002
0.60425	-6.7223787E-002
0.60575	-5.8140516E-002
0.60725	-5.1401734E-002
0.60875	-4.7582030E-002
0.61025	-4.5243502E-002
0.61175	-4.4678926E-002
0.61325	-4.8009276E-002
0.61475	-4.9869418E-002
0.61625	-5.4584503E-002
0.61775	-5.9419870E-002
0.61925	-6.7244291E-002
0.62075	-7.7746630E-002
0.62225	-9.1463804E-002
0.62375	-1.0857773E-001
0.62525	-1.2604308E-001
0.62675	-1.4278030E-001
0.62825	-1.5868521E-001
0.62975	-1.6521311E-001
0.63125	-1.6460752E-001
0.63275	-1.5640712E-001
0.63425	-1.4544749E-001
0.63575	-1.2899971E-001
0.63725	-1.1335921E-001
0.63875	-1.0112166E-001
0.64025	-8.7570906E-002
0.64175	-7.5880527E-002
0.64325	-6.5390944E-002
0.64475	-5.8214188E-002
0.64625	-5.3950906E-002
0.64775	-4.9942136E-002
0.64925	-4.8240542E-002
0.65075	-5.0496101E-002
0.65225	-5.2737117E-002
0.65375	-5.7790041E-002
0.65525	-6.3933611E-002
0.65675	-7.4027538E-002
0.65825	-8.7791681E-002
0.65975	-1.0069847E-001
0.66125	-1.1985755E-001
0.66275	-1.3935876E-001
0.66425	-1.5711570E-001
0.66575	-1.6814661E-001
0.66725	-1.6689634E-001
0.66875	-1.6085887E-001
0.67025	-1.4756870E-001
0.67175	-1.3045692E-001
0.67325	-1.1100841E-001
0.67475	-9.4017029E-002
0.67625	-8.0746174E-002
0.67775	-6.9581270E-002
0.67925	-6.0157537E-002
0.68075	-5.1232338E-002
0.68225	-4.5587897E-002
0.68375	-4.0931106E-002
0.68525	-3.8887024E-002
0.68675	-3.7691474E-002
0.68825	-3.6996841E-002
0.68975	-4.0561676E-002
0.69125	-4.4837117E-002
0.69275	-5.1541090E-002
0.69425	-5.9634686E-002
0.69575	-7.3579073E-002
0.69725	-9.0615511E-002
0.69875	-1.1405277E-001
0.70025	-1.3721871E-001
0.70175	-1.6194153E-001
0.70325	-1.7637825E-001
0.70475	-1.7707634E-001
0.70625	-1.7237139E-001
0.70775	-1.5691853E-001
0.70925	-1.4028859E-001
0.71075	-1.2301946E-001
0.71225	-1.0877836E-001
0.71375	-9.4341993E-002
0.71525	-8.0899477E-002
0.71675	-6.9937825E-002
0.71825	-6.1668992E-002
0.71975	-5.4166913E-002
0.72125	-4.9835682E-002
0.72275	-4.6651721E-002
0.72425	-4.4528484E-002
0.72575	-4.4626713E-002
