theta_deg	R
0.20825	8.4313387E-001
0.20975	8.4148180E-001
0.21125	8.3805937E-001
0.21275	8.3459383E-001
0.21425	8.3287579E-001
0.21575	8.2929915E-001
0.21725	8.2565176E-001
0.21875	8.2384694E-001
0.22025	8.2009917E-001
0.22175	8.1624979E-001
0.22325	8.1432110E-001
0.22475	8.1032068E-001
0.22625	8.0624640E-001
0.22775	8.0208862E-001
0.22925	7.9995698E-001
0.23075	7.9560047E-001
0.23225	7.9109877E-001
0.23375	7.8651673E-001
0.23525	7.8417951E-001
0.23675	7.7936697E-001
0.23825	7.7437210E-001
0.23975	7.6924610E-001
0.24125	7.6390910E-001
0.24275	7.5838941E-001
0.24425	7.5558788E-001
0.24575	7.4981683E-001
0.24725	7.4377382E-001
0.24875	7.3750788E-001
0.25025	7.3101604E-001
0.25175	7.2422427E-001
0.25325	7.1716189E-001
0.25475	7.0981628E-001
0.25625	7.0207697E-001
0.25775	6.9404846E-001
0.25925	6.8562621E-001
0.26075	6.7684245E-001
0.26225	6.6755193E-001
0.26375	6.5785253E-001
0.26525	6.4764273E-001
0.26675	6.3693208E-001
0.26825	6.2569761E-001
0.26975	6.1382461E-001
0.27125	6.0138756E-001
0.27275	5.8834964E-001
0.27425	5.7467222E-001
0.27575	5.6035203E-001
0.27725	5.4544383E-001
0.27875	5.2201992E-001
0.28025	5.0577945E-001
0.28175	4.8915732E-001
0.28325	4.7226375E-001
0.28475	4.5520192E-001
0.28625	4.3812421E-001
0.28775	4.1277611E-001
0.28925	3.9628011E-001
0.29075	3.8022962E-001
0.29225	3.6470410E-001
0.29375	3.4980518E-001
0.29525	3.2867631E-001
0.29675	3.1545863E-001
0.29825	3.0290121E-001
0.29975	2.8519389E-001
0.30125	2.7413520E-001
0.30275	2.6362249E-001
0.30425	2.4884285E-001
0.30575	2.3970783E-001
0.30725	2.3114257E-001
0.30875	2.2714224E-001
0.31025	2.1803130E-001
0.31175	2.0946895E-001
0.31325	2.0139882E-001
0.31475	1.9376719E-001
0.31625	1.8652689E-001
0.31775	1.7964116E-001
0.31925	1.7308547E-001
0.32075	1.6684842E-001
0.32225	1.6093060E-001
0.32375	1.5534015E-001
0.32525	1.5008558E-001
0.32675	1.4516798E-001
0.32825	1.4057392E-001
0.32975	1.3627222E-001
0.33125	1.3221551E-001
0.33275	1.2834676E-001
0.33425	1.2460795E-001
0.33575	1.2095011E-001
0.33725	1.1734082E-001
0.33875	1.1376813E-001
0.34025	1.1024111E-001
0.34175	1.0678643E-001
0.34325	1.0344287E-001
0.34475	1.0025397E-001
0.34625	9.7259969E-002
0.34775	9.4490014E-002
0.34925	9.1955982E-002
0.35075	8.9649290E-002
0.35225	8.7540790E-002
0.35375	8.5584499E-002
0.35525	8.3723769E-002
0.35675	8.1899129E-002
0.35825	8.0056317E-002
0.35975	7.8153580E-002
0.36125	7.6166913E-002
0.36275	7.4092746E-002
