theta_deg	I
0.20825	8.3276206E-001
0.20975	8.3355880E-001
0.21125	8.3354735E-001
0.21275	8.3338952E-001
0.21425	8.3272767E-001
0.21575	8.3265829E-001
0.21725	8.3297497E-001
0.21875	8.3329433E-001
0.22025	8.3315641E-001
0.22175	8.3153802E-001
0.22325	8.2920188E-001
0.22475	8.2620382E-001
0.22625	8.2290500E-001
0.22775	8.2046819E-001
0.22925	8.1819409E-001
0.23075	8.1709534E-001
0.23225	8.1582808E-001
0.23375	8.1436473E-001
0.23525	8.1252974E-001
0.23675	8.0953813E-001
0.23825	8.0691153E-001
0.23975	8.0351466E-001
0.24125	8.0064684E-001
0.24275	7.9815203E-001
0.24425	7.9493135E-001
0.24575	7.9141062E-001
0.24725	7.8654361E-001
0.24875	7.8143042E-001
0.25025	7.7528435E-001
0.25175	7.6869792E-001
0.25325	7.6274997E-001
0.25475	7.5669354E-001
0.25625	7.5116581E-001
0.25775	7.4535179E-001
0.25925	7.3928672E-001
0.26075	7.3208278E-001
0.26225	7.2409487E-001
0.26375	7.1567386E-001
0.26525	7.0690078E-001
0.26675	6.9755322E-001
0.26825	6.8820721E-001
0.26975	6.7813379E-001
0.27125	6.6725129E-001
0.27275	6.5513325E-001
0.27425	6.4172405E-001
0.27575	6.2724519E-001
0.27725	6.1151236E-001
0.27875	5.9521246E-001
0.28025	5.7886291E-001
0.28175	5.6224972E-001
0.28325	5.4497135E-001
0.28475	5.2728456E-001
0.28625	5.0897449E-001
0.28775	4.9005571E-001
0.28925	4.7024766E-001
0.29075	4.5021138E-001
0.29225	4.3043840E-001
0.29375	4.1053620E-001
0.29525	3.9125219E-001
0.29675	3.7253082E-001
0.29825	3.5427296E-001
0.29975	3.3647379E-001
0.30125	3.1945571E-001
0.30275	3.0361110E-001
0.30425	2.8856730E-001
0.30575	2.7450344E-001
0.30725	2.6162717E-001
0.30875	2.4958539E-001
0.31025	2.3832269E-001
0.31175	2.2766067E-001
0.31325	2.1763849E-001
0.31475	2.0822619E-001
0.31625	1.9913721E-001
0.31775	1.9091409E-001
0.31925	1.8308647E-001
0.32075	1.7571343E-001
0.32225	1.6865963E-001
0.32375	1.6184215E-001
0.32525	1.5531047E-001
0.32675	1.4904718E-001
0.32825	1.4313839E-001
0.32975	1.3760564E-001
0.33125	1.3271776E-001
0.33275	1.2838475E-001
0.33425	1.2448686E-001
0.33575	1.2065905E-001
0.33725	1.1695489E-001
0.33875	1.1343462E-001
0.34025	1.0966382E-001
0.34175	1.0595166E-001
0.34325	1.0214857E-001
0.34475	9.8567612E-002
0.34625	9.5060863E-002
0.34775	9.1694035E-002
0.34925	8.8676900E-002
0.35075	8.5811131E-002
0.35225	8.3392836E-002
0.35375	8.1131645E-002
0.35525	7.9173423E-002
0.35675	7.7434584E-002
0.35825	7.5845979E-002
0.35975	7.4207902E-002
0.36125	7.2343804E-002
0.36275	7.0428871E-002
0.36425	6.8361409E-002
0.36575	6.6047542E-002
0.36725	6.3549556E-002
0.36875	6.1213482E-002
0.37025	5.9122663E-002
0.37175	5.7044897E-002
0.37325	5.5277213E-002
0.37475	5.3815469E-002
0.37625	5.2697014E-002
0.37775	5.1733594E-002
0.37925	5.0924975E-002
0.38075	5.0404903E-002
0.38225	4.9927201E-002
0.38375	4.9458653E-002
0.38525	4.8815608E-002
0.38675	4.8021879E-002
0.38825	4.7003265E-002
0.38975	4.5767326E-002
0.39125	4.4239629E-002
0.39275	4.2604078E-002
0.39425	4.0976543E-002
0.39575	3.9367095E-002
0.39725	3.7910622E-002
0.39875	3.6615599E-002
0.40025	3.5627674E-002
0.40175	3.4806002E-002
0.40325	3.4284558E-002
0.40475	3.3916317E-002
0.40625	3.3771817E-002
0.40775	3.3788767E-002
0.40925	3.3812810E-002
0.41075	3.3819225E-002
0.41225	3.3660751E-002
0.41375	3.3314951E-002
0.41525	3.2779083E-002
0.41675	3.1955577E-002
0.41825	3.0902615E-002
0.41975	2.9832473E-002
0.42125	2.8621955E-002
0.42275	2.7503036E-002
0.42425	2.6342897E-002
0.42575	2.5217796E-002
0.42725	2.4356963E-002
0.42875	2.3568043E-002
0.43025	2.3112552E-002
0.43175	2.2887670E-002
0.43325	2.2830879E-002
0.43475	2.3030110E-002
0.43625	2.3319116E-002
0.43775	2.3737736E-002
0.43925	2.4021931E-002
0.44075	2.4213379E-002
0.44225	2.4270402E-002
0.44375	2.4108497E-002
0.44525	2.3678424E-002
0.44675	2.2993470E-002
0.44825	2.2179129E-002
0.44975	2.1193720E-002
0.45125	2.0098848E-002
0.45275	1.9008325E-002
0.45425	1.8002538E-002
0.45575	1.7083770E-002
0.45725	1.6369503E-002
0.45875	1.5842332E-002
0.46025	1.5568673E-002
0.46175	1.5509588E-002
0.46325	1.5677219E-002
0.46475	1.6003551E-002
0.46625	1.6412096E-002
0.46775	1.6843084E-002
0.46925	1.7261706E-002
0.47075	1.7589642E-002
0.47225	1.7778112E-002
0.47375	1.7852766E-002
0.47525	1.7745594E-002
0.47675	1.7471474E-002
0.47825	1.6975680E-002
0.47975	1.6368585E-002
0.48125	1.5617221E-002
0.48275	1.4753413E-002
0.48425	1.3803731E-002
0.48575	1.2933053E-002
0.48725	1.2202757E-002
0.48875	1.1529255E-002
0.49025	1.1008039E-002
0.49175	1.0716974E-002
0.49325	1.0684454E-002
0.49475	1.0821629E-002
0.49625	1.1123915E-002
0.49775	1.1600933E-002
0.49925	1.2137721E-002
0.50075	1.2750995E-002
0.50225	1.3278852E-002
0.50375	1.3721060E-002
0.50525	1.3978004E-002
0.50675	1.4084720E-002
0.50825	1.4062735E-002
0.50975	1.3802815E-002
0.51125	1.3340225E-002
0.51275	1.2743895E-002
0.51425	1.2029401E-002
0.51575	1.1220098E-002
0.51725	1.0384687E-002
0.51875	9.5602693E-003
0.52025	8.8794380E-003
0.52175	8.2876887E-003
0.52325	7.8956326E-003
0.52475	7.7204444E-003
0.52625	7.7451761E-003
0.52775	7.9689147E-003
0.52925	8.3108181E-003
0.53075	8.8407360E-003
0.53225	9.3864547E-003
0.53375	9.9869063E-003
0.53525	1.0553692E-002
0.53675	1.0997505E-002
0.53825	1.1448416E-002
0.53975	1.1655207E-002
0.54125	1.1750244E-002
0.54275	1.1621543E-002
0.54425	1.1284905E-002
0.54575	1.0822773E-002
0.54725	1.0160491E-002
0.54875	9.4535528E-003
0.55025	8.7065389E-003
0.55175	7.9551740E-003
0.55325	7.2599151E-003
0.55475	6.6917534E-003
0.55625	6.2371786E-003
0.55775	5.9435945E-003
0.55925	5.7995501E-003
0.56075	5.8641299E-003
0.56225	6.1215316E-003
0.56375	6.5287016E-003
0.56525	7.0597641E-003
0.56675	7.6499097E-003
0.56825	8.3030323E-003
0.56975	8.9016519E-003
0.57125	9.4315680E-003
0.57275	9.8339301E-003
0.57425	1.0100034E-002
0.57575	1.0194155E-002
0.57725	1.0131636E-002
0.57875	9.8753795E-003
0.58025	9.4899647E-003
0.58175	8.9311935E-003
0.58325	8.2766963E-003
0.58475	7.5812093E-003
0.58625	6.8396907E-003
0.58775	6.1677899E-003
0.58925	5.5474155E-003
0.59075	5.0639864E-003
0.59225	4.7365096E-003
0.59375	4.5523895E-003
0.59525	4.6073506E-003
0.59675	4.8287981E-003
0.59825	5.2126106E-003
0.59975	5.7480242E-003
0.60125	6.3832835E-003
0.60275	7.1083135E-003
0.60425	7.8296792E-003
0.60575	8.4782215E-003
0.60725	9.0250857E-003
0.60875	9.4148517E-003
0.61025	9.6452311E-003
0.61175	9.6905725E-003
0.61325	9.4986670E-003
0.61475	9.1966102E-003
0.61625	8.7115774E-003
0.61775	8.1319651E-003
0.61925	7.4428897E-003
0.62075	6.7011430E-003
0.62225	5.9504639E-003
0.62375	5.2378010E-003
0.62525	4.6359762E-003
0.62675	4.1720117E-003
0.62825	3.8514051E-003
0.62975	3.7440017E-003
0.63125	3.8214056E-003
0.63275	4.0877382E-003
0.63425	4.5004054E-003
0.63575	5.0866581E-003
0.63725	5.7679475E-003
0.63875	6.4767175E-003
0.64025	7.2420524E-003
0.64175	7.9757841E-003
0.64325	8.6433338E-003
0.64475	9.1574499E-003
0.64625	9.4842399E-003
0.64775	9.6548488E-003
0.64925	9.6117957E-003
0.65075	9.3218749E-003
0.65225	8.8904304E-003
0.65375	8.2895206E-003
0.65525	7.5963228E-003
0.65675	6.8115224E-003
0.65825	6.0017612E-003
0.65975	5.2794800E-003
0.66125	4.5963586E-003
0.66275	4.0545329E-003
0.66425	3.6810255E-003
0.66575	3.5115618E-003
0.66725	3.5814082E-003
0.66875	3.8303367E-003
0.67025	4.2867432E-003
0.67175	4.9279574E-003
0.67325	5.7384060E-003
