theta_deg	log10_I_minus_log10_R
0.20825	-5.3756014E-003
0.20975	-4.1084960E-003
0.21125	-2.3445114E-003
0.21275	-6.2713772E-004
0.21425	-7.7247620E-005
0.21575	1.7555878E-003
0.21725	3.8350374E-003
0.21875	4.9519017E-003
0.22025	6.8601668E-003
0.22175	8.0590323E-003
0.22325	7.8645870E-003
0.22475	8.4302798E-003
0.22625	8.8819116E-003
0.22775	9.8393932E-003
0.22925	9.7897127E-003
0.23075	1.1577696E-002
0.23225	1.3367943E-002
0.23375	1.5110999E-002
0.23525	1.5423775E-002
0.23675	1.6495317E-002
0.23825	1.7876223E-002
0.23975	1.8928498E-002
0.24125	2.0399310E-002
0.24275	2.2193357E-002
0.24425	2.2044651E-002
0.24575	2.3446694E-002
0.24725	2.4281919E-002
0.24875	2.5123648E-002
0.25025	2.5534116E-002
0.25175	2.5882632E-002
0.25325	2.6765004E-002
0.25475	2.7774073E-002
0.25625	2.9351085E-002
0.25775	3.0971512E-002
0.25925	3.2725498E-002
0.26075	3.4072608E-002
0.26225	3.5310417E-002
0.26375	3.6586612E-002
0.26525	3.8022965E-002
0.26675	3.9484218E-002
0.26825	4.1354731E-002
0.26975	4.3271095E-002
0.27125	4.5134977E-002
0.27275	4.6694160E-002
0.27425	4.7928110E-002
0.27575	4.8976392E-002
0.27725	4.9655199E-002
0.27875	5.6984931E-002
0.28025	5.8614552E-002
0.28175	6.0480714E-002
0.28325	6.2189043E-002
0.28475	6.3840985E-002
0.28625	6.5098763E-002
0.28775	7.4530900E-002
0.28925	7.4324369E-002
0.29075	7.3370516E-002
0.29225	7.1970373E-002
0.29375	6.9525212E-002
0.29525	7.5688362E-002
0.29675	7.2219819E-002
0.29825	6.8036973E-002
0.29975	7.1810991E-002
0.30125	6.6445857E-002
0.30275	6.1335206E-002
0.30425	6.4321935E-002
0.30575	5.8865607E-002
0.30725	5.3802907E-002
0.30875	4.0921211E-002
0.31025	3.8646519E-002
0.31175	3.6168396E-002
0.31325	3.3678830E-002
0.31475	3.1255126E-002
0.31625	2.8410912E-002
0.31775	2.6432097E-002
0.31925	2.4395645E-002
0.32075	2.2482872E-002
0.32225	2.0372510E-002
0.32375	1.7807901E-002
0.32525	1.4861763E-002
0.32675	1.1452973E-002
0.32825	7.8513622E-003
0.32975	4.2288899E-003
0.33125	1.6466379E-003
0.33275	1.2856722E-004
0.33425	-4.2223930E-004
0.33575	-1.0464191E-003
0.33725	-1.4307499E-003
0.33875	-1.2750030E-003
0.34025	-2.2801757E-003
0.34175	-3.4083128E-003
0.34325	-5.4682493E-003
0.34475	-7.3673129E-003
0.34625	-9.9323988E-003
0.34775	-1.3044834E-002
0.34925	-1.5769482E-002
0.35075	-1.9003272E-002
0.35225	-2.1081686E-002
0.35375	-2.3204803E-002
0.35525	-2.4269342E-002
0.35675	-2.4344325E-002
0.35825	-2.3463011E-002
0.35975	-2.2498727E-002
0.36125	-2.2364974E-002
0.36275	-2.2024989E-002
0.36425	-2.2206903E-002
0.36575	-2.3787975E-002
0.36725	-2.6789904E-002
0.36875	-2.9257298E-002
0.37025	-3.0840397E-002
0.37175	-3.3487797E-002
0.37325	-3.5167933E-002
0.37475	-3.5899282E-002
0.37625	-3.5250545E-002
0.37775	-3.4539342E-002
0.37925	-3.3465385E-002
0.38075	-3.0460596E-002
0.38225	-2.7158141E-002
0.38375	-2.3392558E-002
0.38525	-2.0383239E-002
0.38675	-1.7651916E-002
0.38825	-1.5750766E-002
0.38975	-1.4691830E-002
0.39125	-1.5488625E-002
0.39275	-1.6851068E-002
0.39425	-1.8135428E-002
0.39575	-1.9810796E-002
0.39725	-2.0977855E-002
0.39875	-2.2013545E-002
0.40025	-2.1532059E-002
0.40175	-2.1399975E-002
0.40325	-1.9951344E-002
0.40475	-1.8798351E-002
0.40625	-1.6607642E-002
0.40775	-1.3566494E-002
0.40925	-1.0945797E-002
0.41075	-8.3105564E-003
0.41225	-6.8465471E-003
0.41375	-6.2776804E-003
0.41525	-6.2763691E-003
0.41675	-8.0418587E-003
0.41825	-1.1025786E-002
0.41975	-1.2659788E-002
0.42125	-1.5275598E-002
0.42275	-1.6134501E-002
0.42425	-1.8107533E-002
0.42575	-2.0959616E-002
0.42725	-2.1531343E-002
0.42875	-2.3769021E-002
0.43025	-2.3263693E-002
0.43175	-2.1902442E-002
0.43325	-2.0642161E-002
0.43475	-1.7307878E-002
0.43625	-1.4313340E-002
0.43775	-1.0009646E-002
0.43925	-8.2315207E-003
0.44075	-7.1628094E-003
0.44225	-6.6648722E-003
0.44375	-7.5802803E-003
0.44525	-1.0440350E-002
0.44675	-1.5036702E-002
0.44825	-1.9353747E-002
0.44975	-2.4803042E-002
0.45125	-3.1104922E-002
0.45275	-3.6904812E-002
0.45425	-4.1386008E-002
0.45575	-4.5485020E-002
0.45725	-4.7130346E-002
0.45875	-4.7407746E-002
0.46025	-4.4981003E-002
0.46175	-4.1157126E-002
0.46325	-3.5585284E-002
0.46475	-2.9823780E-002
0.46625	-2.5217652E-002
0.46775	-2.2235274E-002
0.46925	-2.0448685E-002
0.47075	-2.0464540E-002
0.47225	-2.2204518E-002
0.47375	-2.4012208E-002
0.47525	-2.6831865E-002
0.47675	-2.9935479E-002
0.47825	-3.4722447E-002
0.47975	-3.8815022E-002
0.48125	-4.3793082E-002
0.48275	-4.9939036E-002
0.48425	-5.7981253E-002
0.48575	-6.4260721E-002
0.48725	-6.7701578E-002
0.48875	-7.2317123E-002
0.49025	-7.5699925E-002
0.49175	-7.5342298E-002
0.49325	-7.0323467E-002
0.49475	-6.4406633E-002
0.49625	-5.7613134E-002
0.49775	-4.9045563E-002
0.49925	-4.2083144E-002
0.50075	-3.4716129E-002
0.50225	-3.0890703E-002
0.50375	-2.8792620E-002
0.50525	-3.0051351E-002
0.50675	-3.2375336E-002
0.50825	-3.4375191E-002
0.50975	-3.9116621E-002
0.51125	-4.5732021E-002
0.51275	-5.2662015E-002
0.51425	-6.0387015E-002
0.51575	-6.9522142E-002
0.51725	-7.9178691E-002
0.51875	-8.9613080E-002
0.52025	-9.6301436E-002
0.52175	-1.0285223E-001
0.52325	-1.0448527E-001
0.52475	-1.0060215E-001
0.52625	-9.2632771E-002
0.52775	-8.1171036E-002
0.52925	-7.0829868E-002
0.53075	-5.7588816E-002
0.53225	-4.9069285E-002
0.53375	-4.1534424E-002
0.53525	-3.6960483E-002
0.53675	-3.6834478E-002
0.53825	-3.4186840E-002
0.53975	-3.7245989E-002
0.54125	-3.9854884E-002
0.54275	-4.5592785E-002
0.54425	-5.3868413E-002
0.54575	-6.2036395E-002
0.54725	-7.4130058E-002
0.54875	-8.5191727E-002
0.55025	-9.6465945E-002
0.55175	-1.0803998E-001
0.55325	-1.1847973E-001
0.55475	-1.2486625E-001
0.55625	-1.2899232E-001
0.55775	-1.2855387E-001
0.55925	-1.2513065E-001
0.56075	-1.1509657E-001
0.56225	-1.0051727E-001
0.56375	-8.5146666E-002
0.56525	-7.0498466E-002
0.56675	-5.9294462E-002
0.56825	-4.9245358E-002
0.56975	-4.4160604E-002
0.57125	-4.1956544E-002
0.57275	-4.3050051E-002
0.57425	-4.5972466E-002
0.57575	-5.1021218E-002
0.57725	-5.6866884E-002
0.57875	-6.5017819E-002
0.58025	-7.3129296E-002
0.58175	-8.4243655E-002
0.58325	-9.6352220E-002
0.58475	-1.0846257E-001
0.58625	-1.2309146E-001
0.58775	-1.3531899E-001
0.58925	-1.4807534E-001
0.59075	-1.5634441E-001
0.59225	-1.5896082E-001
0.59375	-1.5763330E-001
0.59525	-1.4408612E-001
0.59675	-1.2665176E-001
0.59825	-1.0715199E-001
0.59975	-8.7206841E-002
0.60125	-7.0172071E-002
0.60275	-5.4876804E-002
0.60425	-4.4505596E-002
0.60575	-3.9485931E-002
0.60725	-3.8123608E-002
0.60875	-4.0582061E-002
0.61025	-4.5118213E-002
0.61175	-5.1798940E-002
0.61325	-6.2570810E-002
0.61475	-7.1915388E-002
0.61625	-8.3993673E-002
0.61775	-9.5860958E-002
0.61925	-1.1009288E-001
0.62075	-1.2596178E-001
0.62225	-1.4342976E-001
0.62375	-1.6194868E-001
0.62525	-1.7767072E-001
0.62675	-1.8887258E-001
0.62825	-1.9534397E-001
0.62975	-1.8934751E-001
0.63125	-1.7487812E-001
0.63275	-1.5366244E-001
0.63425	-1.3236523E-001
0.63575	-1.0919595E-001
0.63725	-9.0499401E-002
0.63875	-7.8364134E-002
0.64025	-6.7373276E-002
0.64175	-6.0031176E-002
0.64325	-5.5137157E-002
0.64475	-5.4399729E-002
0.64625	-5.7136774E-002
0.64775	-6.0492873E-002
0.64925	-6.6380620E-002
0.65075	-7.6335788E-002
0.65225	-8.6268663E-002
0.65375	-9.8849058E-002
0.65525	-1.1212111E-001
0.65675	-1.2858033E-001
0.65825	-1.4739442E-001
0.65975	-1.6325617E-001
0.66125	-1.8229866E-001
0.66275	-1.9763350E-001
0.66425	-2.0663428E-001
0.66575	-2.0479989E-001
0.66725	-1.8836331E-001
0.66875	-1.6744351E-001
0.67025	-1.4196539E-001
0.67175	-1.1666298E-001
0.67325	-9.3139410E-002
0.67475	-7.5570107E-002
0.67625	-6.4366341E-002
0.67775	-5.7131052E-002
0.67925	-5.2895069E-002
0.68075	-4.9994826E-002
0.68225	-5.0934196E-002
0.68375	-5.3243518E-002
0.68525	-5.8436155E-002
0.68675	-6.4672709E-002
0.68825	-7.1539879E-002
0.68975	-8.2713366E-002
0.69125	-9.4506502E-002
0.69275	-1.0839963E-001
0.69425	-1.2294626E-001
0.69575	-1.4195323E-001
0.69725	-1.6170001E-001
0.69875	-1.8427563E-001
0.70025	-2.0184970E-001
0.70175	-2.1582580E-001
0.70325	-2.1542645E-001
0.70475	-1.9980931E-001
0.70625	-1.8039966E-001
0.70775	-1.5401673E-001
0.70925	-1.3089490E-001
0.71075	-1.1111236E-001
0.71225	-9.7422123E-002
0.71375	-8.5689545E-002
0.71525	-7.6385975E-002
0.71675	-7.0496321E-002
0.71825	-6.7907691E-002
0.71975	-6.6496491E-002
0.72125	-6.8555355E-002
0.72275	-7.2002411E-002
0.72425	-7.6721549E-002
0.72575	-8.3849669E-002
0.72725	-9.0716839E-002
0.72875	-1.0118556E-001
0.73025	-1.1037946E-001
0.73175	-1.2456644E-001
0.73325	-1.4252460E-001
0.73475	-1.5954781E-001
0.73625	-1.8050361E-001
0.73775	-1.9683146E-001
0.73925	-2.0774937E-001
0.74075	-2.0225525E-001
0.74225	-1.8358850E-001
0.74375	-1.5952921E-001
0.74525	-1.3498044E-001
0.74675	-1.1350858E-001
0.74825	-9.5882535E-002
0.74975	-8.1970453E-002
0.75125	-7.4058175E-002
0.75275	-6.7380667E-002
0.75425	-6.2617540E-002
0.75575	-5.8089733E-002
0.75725	-5.5376053E-002
0.75875	-5.5323124E-002
0.76025	-5.5006981E-002
0.76175	-5.6189775E-002
0.76325	-5.8728337E-002
0.76475	-6.3442588E-002
0.76625	-6.9006801E-002
0.76775	-7.5628877E-002
0.76925	-8.3953261E-002
0.77075	-9.5217824E-002
0.77225	-1.0844886E-001
0.77375	-1.2334096E-001
0.77525	-1.4110136E-001
0.77675	-1.5110135E-001
0.77825	-1.5565991E-001
0.77975	-1.4561772E-001
0.78125	-1.2993228E-001
0.78275	-1.0991001E-001
0.78425	-9.0964079E-002
0.78575	-7.6640606E-002
0.78725	-6.4012766E-002
0.78875	-5.4790020E-002
0.79025	-4.6347260E-002
0.79175	-3.9455891E-002
0.79325	-3.2563210E-002
0.79475	-2.6679158E-002
0.79625	-2.0542741E-002
0.79775	-1.4817476E-002
0.79925	-1.0117650E-002
0.80075	-5.5850744E-003
0.80225	-2.2517443E-003
0.80375	9.2542171E-004
0.80525	1.1599064E-003
0.80675	-1.5683174E-003
0.80825	-7.9162121E-003
0.80975	-2.1787643E-002
0.81125	-4.5116663E-002
0.81275	-7.6574683E-002
0.81425	-1.0942328E-001
0.81575	-1.3530385E-001
0.81725	-1.4921963E-001
0.81875	-1.5168929E-001
0.82025	-1.4535236E-001
0.82175	-1.3573492E-001
0.82325	-1.2441176E-001
0.82475	-1.1296415E-001
0.82625	-1.0247248E-001
0.82775	-9.1915905E-002
0.82925	-8.1906140E-002
0.83075	-7.2741389E-002
0.83225	-6.3643962E-002
0.83375	-5.5532753E-002
0.83525	-4.7547430E-002
0.83675	-4.0938765E-002
0.83825	-3.5246968E-002
0.83975	-3.0437857E-002
0.84125	-2.6783943E-002
0.84275	-2.3430943E-002
0.84425	-2.0701677E-002
0.84575	-1.7817408E-002
0.84725	-1.5416175E-002
0.84875	-1.2641579E-002
0.85025	-1.0190278E-002
0.85175	-8.2169175E-003
0.85325	-6.7991614E-003
0.85475	-6.2973201E-003
0.85625	-5.7577491E-003
0.85775	-5.6920946E-003
0.85925	-5.4431558E-003
0.86075	-5.6665242E-003
0.86225	-5.9979260E-003
0.86375	-6.2136948E-003
0.86525	-6.9857538E-003
0.86675	-8.1552267E-003
0.86825	-1.0007381E-002
0.86975	-1.1371255E-002
0.87125	-1.2575597E-002
0.87275	-1.3834298E-002
0.87425	-1.5135467E-002
0.87575	-1.6681492E-002
0.87725	-1.7828882E-002
0.87875	-1.9932568E-002
0.88025	-2.2444606E-002
0.88175	-2.5519848E-002
0.88325	-2.8436363E-002
0.88475	-3.1210065E-002
0.88625	-3.5005867E-002
0.88775	-3.7888408E-002
0.88925	-4.0724158E-002
0.89075	-4.3664455E-002
0.89225	-4.6705723E-002
0.89375	-5.0035954E-002
0.89525	-5.1089764E-002
0.89675	-5.1502585E-002
0.89825	-5.2074432E-002
0.89975	-4.9009442E-002
0.90125	-4.7285914E-002
0.90275	-4.6298742E-002
0.90425	-4.6686530E-002
0.90575	-4.6246171E-002
0.90725	-4.6994209E-002
0.90875	-4.8431277E-002
0.91025	-4.9277544E-002
0.91175	-4.9010396E-002
0.91325	-5.0149322E-002
0.91475	-5.1186323E-002
0.91625	-5.0998092E-002
0.91775	-5.1564574E-002
0.91925	-5.1094055E-002
0.92075	-5.0088644E-002
0.92225	-4.6346426E-002
0.92375	-4.1939497E-002
0.92525	-3.6168575E-002
0.92675	-2.6884913E-002
0.92825	-1.6428828E-002
0.92975	-2.1197796E-003
0.93125	1.1296988E-002
0.93275	2.6230335E-002
0.93425	4.1544437E-002
0.93575	5.5014610E-002
0.93725	6.0148716E-002
0.93875	5.6836605E-002
0.94025	5.1497698E-002
0.94175	4.2054892E-002
0.94325	3.0175209E-002
0.94475	1.8217564E-002
0.94625	9.7231865E-003
0.94775	1.7082691E-003
0.94925	-3.8614273E-003
0.95075	-6.2067509E-003
0.95225	-1.0638356E-002
0.95375	-1.3638616E-002
0.95525	-1.6049623E-002
0.95675	-1.7092705E-002
0.95825	-1.7197132E-002
0.95975	-1.6228914E-002
0.96125	-1.1158943E-002
0.96275	-4.7256947E-003
0.96425	5.2895546E-003
0.96575	1.8508434E-002
0.96725	3.6763668E-002
0.96875	5.6109190E-002
0.97025	7.6429129E-002
0.97175	9.7515821E-002
0.97325	1.1160493E-001
0.97475	1.1601639E-001
0.97625	1.0665607E-001
0.97775	9.2343330E-002
0.97925	7.3219299E-002
0.98075	5.9515238E-002
0.98225	4.2463541E-002
0.98375	2.7244329E-002
0.98525	1.6599417E-002
0.98675	9.2313290E-003
0.98825	6.1767101E-003
0.98975	-3.1709671E-003
0.99125	-5.2940845E-003
0.99275	-3.9331913E-003
0.99425	-4.4353008E-003
0.99575	-5.4681301E-003
0.99725	-4.2703152E-003
0.99875	2.1662712E-003
1.00025	8.3987713E-003
1.00175	1.7570019E-002
1.00325	3.3577681E-002
1.00475	5.1073790E-002
1.00625	6.8733931E-002
1.00775	9.4338179E-002
1.00925	1.1926961E-001
1.01075	1.3409877E-001
1.01225	1.4180660E-001
1.01375	1.3619184E-001
1.01525	1.2686706E-001
1.01675	1.0509610E-001
1.01825	8.1286907E-002
1.01975	5.9409857E-002
1.02125	3.4014225E-002
1.02275	1.6522169E-002
1.02425	2.8181076E-004
1.02575	-1.2384415E-002
1.02725	-2.1270752E-002
1.02875	-2.7781725E-002
1.03025	-3.3823967E-002
1.03175	-3.5729408E-002
1.03325	-3.6775112E-002
1.03475	-3.4990311E-002
1.03625	-3.2586575E-002
1.03775	-2.9923201E-002
1.03925	-1.7584085E-002
1.04075	-8.9414120E-003
1.04225	9.4118118E-003
1.04375	3.0426025E-002
1.04525	5.7114124E-002
1.04675	9.3922853E-002
1.04825	1.2325811E-001
1.04975	1.6132236E-001
1.05125	1.7117071E-001
1.05275	1.6997147E-001
1.05425	1.6181827E-001
1.05575	1.4070010E-001
1.05725	1.1792660E-001
1.05875	8.9767933E-002
1.06025	6.6301346E-002
1.06175	4.1769505E-002
1.06325	1.8776655E-002
1.06475	-4.3575764E-003
1.06625	-1.9688368E-002
1.06775	-3.2883406E-002
1.06925	-4.1473150E-002
1.07075	-4.2747259E-002
1.07225	-4.4381142E-002
1.07375	-4.2855501E-002
1.07525	-3.8391113E-002
1.07675	-3.2297373E-002
1.07825	-2.0206690E-002
1.07975	-8.2340240E-003
1.08125	1.4949322E-002
1.08275	4.6434164E-002
1.08425	8.0629826E-002
1.08575	1.1921692E-001
1.08725	1.6284513E-001
1.08875	1.9578362E-001
1.09025	2.1187830E-001
1.09175	2.0497298E-001
1.09325	1.8799067E-001
1.09475	1.6757441E-001
1.09625	1.3505387E-001
1.09775	1.0516667E-001
1.09925	7.6634645E-002
1.10075	5.3901672E-002
1.10225	3.3329487E-002
1.10375	1.1288881E-002
1.10525	-1.0561705E-002
1.10675	-2.9594183E-002
1.10825	-4.2605877E-002
1.10975	-5.2444935E-002
1.11125	-6.2774181E-002
1.11275	-7.1421146E-002
1.11425	-7.0400238E-002
1.11575	-6.2618494E-002
1.11725	-5.7137966E-002
1.11875	-4.2605639E-002
1.12025	-2.4177074E-002
1.12175	1.3148308E-002
1.12325	5.9566259E-002
1.12475	1.0486484E-001
1.12625	1.5623021E-001
1.12775	1.9789028E-001
1.12925	2.2839451E-001
1.13075	2.2888613E-001
1.13225	2.1796942E-001
1.13375	1.9410634E-001
1.13525	1.6483521E-001
1.13675	1.3110900E-001
1.13825	1.0158086E-001
1.13975	7.1409464E-002
1.14125	4.1571379E-002
1.14275	1.9889355E-002
1.14425	-1.1627674E-003
1.14575	-2.2781134E-002
1.14725	-4.6008110E-002
1.14875	-5.2058220E-002
1.15025	-6.5789700E-002
1.15175	-7.2577715E-002
1.15325	-8.1471682E-002
1.15475	-7.4955463E-002
1.15625	-6.1496019E-002
1.15775	-5.4275513E-002
1.15925	-2.1874666E-002
1.16075	5.7387352E-003
1.16225	5.7046413E-002
1.16375	1.1256957E-001
1.16525	1.6245151E-001
1.16675	2.0497179E-001
1.16825	2.4206853E-001
1.16975	2.5160551E-001
1.17125	2.4196529E-001
1.17275	2.2049832E-001
1.17425	1.9422174E-001
1.17575	1.5971804E-001
1.17725	1.2233520E-001
1.17875	9.8536491E-002
1.18025	6.4407349E-002
1.18175	3.5559893E-002
1.18325	1.1489391E-002
1.18475	-5.4030418E-003
1.18625	-2.0348072E-002
1.18775	-5.3852081E-002
1.18925	-6.4743757E-002
1.19075	-7.7573776E-002
1.19225	-9.0456009E-002
1.19375	-9.3172073E-002
1.19525	-9.7966433E-002
1.19675	-6.7070007E-002
1.19825	-3.6622047E-002
1.19975	3.0620098E-003
1.20125	5.5166483E-002
1.20275	1.0999560E-001
1.20425	1.7408037E-001
1.20575	2.2644329E-001
1.20725	2.5289035E-001
1.20875	2.7198553E-001
1.21025	2.5490594E-001
1.21175	2.3871422E-001
1.21325	2.0681167E-001
1.21475	1.7566872E-001
1.21625	1.4662433E-001
1.21775	1.1213064E-001
1.21925	9.5926762E-002
1.22075	5.7686090E-002
1.22225	3.5175800E-002
1.22375	3.2260418E-003
1.22525	-2.0976782E-002
1.22675	-4.5592546E-002
1.22825	-7.1000338E-002
1.22975	-7.6546431E-002
1.23125	-9.8826647E-002
1.23275	-1.1135960E-001
1.23425	-1.2507892E-001
1.23575	-1.1589766E-001
1.23725	-1.0054111E-001
1.23875	-7.8200817E-002
1.24025	-9.9828243E-003
1.24175	6.8591833E-002
1.24325	1.5398574E-001
1.24475	2.1813035E-001
1.24625	2.5493836E-001
1.24775	2.7995276E-001
1.24925	2.6916981E-001
1.25075	2.4667287E-001
1.25225	2.2582984E-001
1.25375	1.8858671E-001
1.25525	1.5043545E-001
1.25675	1.1325645E-001
1.25825	8.6692095E-002
1.25975	5.8790445E-002
1.26125	2.3208380E-002
1.26275	4.2729378E-003
1.26425	-1.5215874E-002
1.26575	-4.2036057E-002
1.26725	-6.3558340E-002
1.26875	-7.7418089E-002
1.27025	-8.9102507E-002
1.27175	-1.1506963E-001
1.27325	-1.1900949E-001
1.27475	-1.1204576E-001
1.27625	-9.9660873E-002
1.27775	-7.6120615E-002
1.27925	-4.6051502E-002
1.28075	3.6242485E-002
1.28225	1.2152696E-001
1.28375	1.8355966E-001
1.28525	2.2980309E-001
1.28675	2.5515461E-001
1.28825	2.5569296E-001
1.28975	2.3834372E-001
1.29125	2.0960832E-001
1.29275	1.8051577E-001
1.29425	1.4506030E-001
1.29575	1.0300994E-001
1.29725	7.2325230E-002
1.29875	4.4560194E-002
1.30025	1.3620615E-002
1.30175	-8.3413124E-003
1.30325	-3.7049770E-002
1.30475	-5.4267883E-002
1.30625	-7.3921919E-002
1.30775	-8.9363813E-002
1.30925	-1.1195183E-001
1.31075	-1.2825489E-001
1.31225	-1.2470317E-001
1.31375	-1.2635183E-001
1.31525	-1.1185670E-001
1.31675	-9.6323967E-002
1.31825	-4.4083118E-002
1.31975	1.1424303E-002
1.32125	7.6230526E-002
1.32275	1.4701104E-001
1.32425	1.9452953E-001
1.32575	2.3158193E-001
1.32725	2.5044632E-001
1.32875	2.4758983E-001
1.33025	2.2173119E-001
1.33175	1.9106269E-001
1.33325	1.7020273E-001
1.33475	1.2690806E-001
1.33625	8.4024429E-002
1.33775	5.5909872E-002
1.33925	2.8810978E-002
1.34075	1.1123657E-002
1.34225	-1.9496202E-002
1.34375	-3.8917780E-002
1.34525	-5.6885242E-002
1.34675	-9.1059446E-002
1.34825	-1.1295938E-001
1.34975	-1.4264226E-001
1.35125	-1.5993953E-001
1.35275	-1.7403960E-001
1.35425	-1.6533470E-001
1.35575	-1.3491440E-001
1.35725	-8.4537029E-002
1.35875	-2.1853209E-002
1.36025	3.3558846E-002
1.36175	1.1857224E-001
1.36325	1.8436193E-001
1.36475	2.1309781E-001
1.36625	2.1066117E-001
1.36775	2.1177125E-001
1.36925	1.9018483E-001
1.37075	1.7046475E-001
1.37225	1.4055991E-001
1.37375	1.2311959E-001
1.37525	1.0273385E-001
1.37675	7.8236818E-002
1.37825	6.6321373E-002
1.37975	3.6816835E-002
1.38125	1.1619568E-002
1.38275	-1.3318300E-002
1.38425	-3.5769939E-002
1.38575	-5.5069923E-002
1.38725	-8.3975077E-002
1.38875	-9.6600533E-002
1.39025	-1.1147261E-001
1.39175	-1.2855697E-001
1.39325	-1.3408470E-001
1.39475	-1.4609671E-001
1.39625	-1.2951136E-001
1.39775	-7.2418690E-002
1.39925	2.6340485E-003
1.40075	8.7110043E-002
1.40225	1.8829703E-001
1.40375	2.3176050E-001
1.40525	2.4756217E-001
1.40675	2.3579931E-001
1.40825	2.2697210E-001
1.40975	1.9697905E-001
1.41125	1.5787911E-001
1.41275	1.2693977E-001
1.41425	1.1551142E-001
1.41575	9.7361326E-002
1.41725	6.7281008E-002
1.41875	5.5983305E-002
1.42025	4.2527676E-002
1.42175	1.7307758E-002
1.42325	-1.1536121E-002
1.42475	-3.6746740E-002
1.42625	-5.2253723E-002
1.42775	-8.7843895E-002
1.42925	-1.1555815E-001
1.43075	-1.0298872E-001
1.43225	-1.1172581E-001
1.43375	-1.1730242E-001
1.43525	-1.1383104E-001
1.43675	-7.8764439E-002
1.43825	-3.4682751E-002
1.43975	3.0298233E-003
1.44125	7.2771549E-002
1.44275	1.4272785E-001
1.44425	1.9849682E-001
1.44575	1.9998431E-001
1.44725	1.9617581E-001
1.44875	1.8621993E-001
1.45025	1.6688538E-001
1.45175	1.3930511E-001
1.45325	1.1501861E-001
1.45475	1.0422921E-001
1.45625	8.9048386E-002
1.45775	6.9296598E-002
1.45925	5.2731752E-002
1.46075	3.7158251E-002
1.46225	8.7630749E-003
1.46375	-1.3211489E-002
1.46525	-3.8225412E-002
1.46675	-6.0767412E-002
1.46825	-8.3437443E-002
1.46975	-9.9105597E-002
1.47125	-9.2672825E-002
1.47275	-9.5845938E-002
1.47425	-8.6498976E-002
