theta_deg	R
0.20825	8.1933349E-001
0.20975	8.1829494E-001
0.21125	8.1618345E-001
0.21275	8.1378645E-001
0.21425	8.1243348E-001
0.21575	8.0971891E-001
0.21725	8.0682999E-001
0.21875	8.0527186E-001
0.22025	8.0211693E-001
0.22175	7.9882735E-001
0.22325	7.9706311E-001
0.22475	7.9355991E-001
0.22625	7.8989941E-001
0.22775	7.8612024E-001
0.22925	7.8408331E-001
0.23075	7.8007138E-001
0.23225	7.7588934E-001
0.23375	7.7155721E-001
0.23525	7.6928073E-001
0.23675	7.6469266E-001
0.23825	7.5994569E-001
0.23975	7.5501436E-001
0.24125	7.4984097E-001
0.24275	7.4451387E-001
0.24425	7.4173117E-001
0.24575	7.3602837E-001
0.24725	7.3013288E-001
0.24875	7.2397327E-001
0.25025	7.1751708E-001
0.25175	7.1083266E-001
0.25325	7.0376813E-001
0.25475	6.9640619E-001
0.25625	6.8872833E-001
0.25775	6.8062830E-001
0.25925	6.7209154E-001
0.26075	6.6313380E-001
0.26225	6.5372586E-001
0.26375	6.4378816E-001
0.26525	6.3325256E-001
0.26675	6.2217671E-001
0.26825	6.1046773E-001
0.26975	5.9808058E-001
0.27125	5.8503503E-001
0.27275	5.7124907E-001
0.27425	5.5676740E-001
0.27575	5.4154831E-001
0.27725	5.2557939E-001
0.27875	5.0053781E-001
0.28025	4.8315826E-001
0.28175	4.6538755E-001
0.28325	4.4740939E-001
0.28475	4.2933440E-001
0.28625	4.1145688E-001
0.28775	3.8519251E-001
0.28925	3.6833036E-001
0.29075	3.5209385E-001
0.29225	3.3660454E-001
0.29375	3.2191876E-001
0.29525	3.0143648E-001
0.29675	2.8873348E-001
0.29825	2.7672136E-001
0.29975	2.5983855E-001
0.30125	2.4927260E-001
0.30275	2.3925844E-001
0.30425	2.2531715E-001
0.30575	2.1681373E-001
0.30725	2.0896837E-001
0.30875	2.0588137E-001
0.31025	1.9753812E-001
0.31175	1.8971483E-001
0.31325	1.8233156E-001
0.31475	1.7531443E-001
0.31625	1.6860466E-001
