theta_deg	I
0.20825	8.3128947E-001
0.20975	8.3208472E-001
0.21125	8.3207339E-001
0.21275	8.3191586E-001
0.21425	8.3125520E-001
0.21575	8.3118600E-001
0.21725	8.3150214E-001
0.21875	8.3182073E-001
0.22025	8.3168316E-001
0.22175	8.3006763E-001
0.22325	8.2773572E-001
0.22475	8.2474285E-001
0.22625	8.2144982E-001
0.22775	8.1901735E-001
0.22925	8.1674737E-001
0.23075	8.1565052E-001
0.23225	8.1438547E-001
0.23375	8.1292468E-001
0.23525	8.1109291E-001
0.23675	8.0810672E-001
0.23825	8.0548471E-001
0.23975	8.0209380E-001
0.24125	7.9923111E-001
0.24275	7.9674077E-001
0.24425	7.9352570E-001
0.24575	7.9001117E-001
0.24725	7.8515273E-001
0.24875	7.8004855E-001
0.25025	7.7391338E-001
0.25175	7.6733869E-001
0.25325	7.6140124E-001
0.25475	7.5535542E-001
0.25625	7.4983746E-001
0.25775	7.4403381E-001
0.25925	7.3797959E-001
0.26075	7.3078823E-001
0.26225	7.2281450E-001
0.26375	7.1440840E-001
0.26525	7.0565075E-001
0.26675	6.9631976E-001
0.26825	6.8699026E-001
0.26975	6.7693466E-001
0.27125	6.6607136E-001
0.27275	6.5397471E-001
0.27425	6.4058930E-001
0.27575	6.2613606E-001
0.27725	6.1043102E-001
0.27875	5.9416002E-001
0.28025	5.7783926E-001
0.28175	5.6125551E-001
0.28325	5.4400766E-001
0.28475	5.2635223E-001
0.28625	5.0807446E-001
0.28775	4.8918915E-001
0.28925	4.6941617E-001
0.29075	4.4941524E-001
0.29225	4.2967725E-001
0.29375	4.0981030E-001
0.29525	3.9056036E-001
0.29675	3.7187207E-001
0.29825	3.5364649E-001
0.29975	3.3587876E-001
0.30125	3.1889081E-001
0.30275	3.0307421E-001
0.30425	2.8805703E-001
0.30575	2.7401802E-001
0.30725	2.6116452E-001
0.30875	2.4914406E-001
0.31025	2.3790127E-001
0.31175	2.2725813E-001
0.31325	2.1725368E-001
0.31475	2.0785797E-001
0.31625	1.9878507E-001
0.31775	1.9057651E-001
0.31925	1.8276274E-001
0.32075	1.7540272E-001
0.32225	1.6836138E-001
0.32375	1.6155596E-001
0.32525	1.5503584E-001
0.32675	1.4878362E-001
0.32825	1.4288528E-001
0.32975	1.3736232E-001
0.33125	1.3248308E-001
