theta_deg	R
0.20825	8.2709157E-001
0.20975	8.2747698E-001
0.21125	8.2756329E-001
0.21275	8.2672828E-001
0.21425	8.2601464E-001
0.21575	8.2439363E-001
0.21725	8.2244408E-001
0.21875	8.2126296E-001
0.22025	8.1884521E-001
0.22175	8.1628442E-001
0.22325	8.1484163E-001
0.22475	8.1194818E-001
0.22625	8.0889785E-001
0.22775	8.0570298E-001
0.22925	8.0397183E-001
0.23075	8.0055982E-001
0.23225	7.9695612E-001
0.23375	7.9323083E-001
0.23525	7.9126233E-001
0.23675	7.8730446E-001
0.23825	7.8316200E-001
0.23975	7.7887827E-001
0.24125	7.7443814E-001
0.24275	7.6984209E-001
0.24425	7.6743144E-001
0.24575	7.6251441E-001
0.24725	7.5745243E-001
0.24875	7.5216025E-001
0.25025	7.4667293E-001
0.25175	7.4096388E-001
0.25325	7.3497343E-001
0.25475	7.2876430E-001
0.25625	7.2226036E-001
0.25775	7.1546113E-001
0.25925	7.0838779E-001
0.26075	7.0093560E-001
0.26225	6.9313961E-001
0.26375	6.8498105E-001
0.26525	6.7639679E-001
0.26675	6.6738158E-001
0.26825	6.5784609E-001
0.26975	6.4785749E-001
0.27125	6.3726759E-001
0.27275	6.2615865E-001
0.27425	6.1439323E-001
0.27575	6.0202897E-001
0.27725	5.8894426E-001
0.27875	5.6804442E-001
0.28025	5.5318749E-001
0.28175	5.3769213E-001
0.28325	5.2150244E-001
0.28475	5.0473613E-001
0.28625	4.8743421E-001
0.28775	4.6089646E-001
0.28925	4.4294035E-001
0.29075	4.2504933E-001
0.29225	4.0728727E-001
0.29375	3.8989764E-001
0.29525	3.6477751E-001
0.29675	3.4883973E-001
0.29825	3.3363968E-001
0.29975	3.1230474E-001
0.30125	2.9907200E-001
0.30275	2.8652677E-001
0.30425	2.6893923E-001
0.30575	2.5793767E-001
0.30725	2.4747908E-001
0.30875	2.4248488E-001
0.31025	2.3156996E-001
0.31175	2.2138430E-001
0.31325	2.1187739E-001
0.31475	2.0298663E-001
