theta_deg	log10_I_minus_log10_R
0.20825	2.1986812E-003
0.20975	2.4116263E-003
0.21125	2.3604184E-003
0.21275	2.7166083E-003
0.21425	2.7466342E-003
0.21575	3.5635903E-003
0.21725	4.7569871E-003
0.21875	5.5475086E-003
0.22025	6.7560971E-003
0.22175	7.2719753E-003
0.22325	6.8184882E-003
0.22475	6.7902505E-003
0.22625	6.6873580E-003
0.22775	7.1181282E-003
0.22925	6.8469122E-003
0.23075	8.1103370E-003
0.23225	9.3956068E-003
0.23375	1.0650724E-002
0.23525	1.0750115E-002
0.23675	1.1326008E-002
0.23825	1.2205698E-002
0.23975	1.2755573E-002
0.24125	1.3685651E-002
0.24275	1.4915392E-002
0.24425	1.4521413E-002
0.24575	1.5385173E-002
0.24725	1.5598789E-002
0.24875	1.5811250E-002
0.25025	1.5561961E-002
0.25175	1.5190057E-002
0.25325	1.5341945E-002
0.25475	1.5564263E-002
0.25625	1.6273350E-002
0.25775	1.7006621E-002
0.25925	1.7773286E-002
0.26075	1.8113419E-002
0.26225	1.8206134E-002
0.26375	1.8268004E-002
0.26525	1.8388271E-002
0.26675	1.8434495E-002
0.26825	1.8826276E-002
0.26975	1.9067273E-002
0.27125	1.9198924E-002
0.27275	1.8876567E-002
0.27425	1.8133253E-002
0.27575	1.7051324E-002
0.27725	1.5562400E-002
0.27875	1.9521117E-002
0.28025	1.8934682E-002
0.28175	1.8626958E-002
0.28325	1.8348664E-002
0.28475	1.8212080E-002
0.28625	1.8011361E-002
0.28775	2.5873452E-002
0.28925	2.5212824E-002
0.29075	2.4208456E-002
0.29225	2.3241520E-002
0.29375	2.1632254E-002
0.29525	2.9660106E-002
0.29675	2.7767628E-002
0.29825	2.5291651E-002
0.29975	3.1603992E-002
0.30125	2.7866274E-002
0.30275	2.4383783E-002
0.30425	2.9824317E-002
0.30575	2.6264369E-002
0.30725	2.3375690E-002
0.30875	1.1765838E-002
0.31025	1.1714578E-002
0.31175	1.1372566E-002
0.31325	1.0882497E-002
0.31475	1.0299265E-002
0.31625	9.1556907E-003
0.31775	8.8035464E-003
0.31925	8.4245801E-003
0.32075	8.3212852E-003
0.32225	8.2823634E-003
0.32375	8.1186295E-003
0.32525	7.9042315E-003
0.32675	7.4840188E-003
0.32825	6.9864988E-003
0.32975	6.3986778E-003
0.33125	6.5906048E-003
0.33275	7.4301958E-003
0.33425	8.7350607E-003
0.33575	9.4711781E-003
0.33725	1.0053575E-002
0.33875	1.0960579E-002
0.34025	1.0713995E-002
0.34175	1.0574996E-002
0.34325	9.9172592E-003
0.34475	9.9370480E-003
0.34625	9.8096132E-003
0.34775	9.5463991E-003
0.34925	9.8806620E-003
0.35075	9.6539259E-003
0.35225	1.0255575E-002
0.35375	1.0251760E-002
0.35525	1.0596514E-002
0.35675	1.1180758E-002
0.35825	1.2043834E-002
0.35975	1.2480974E-002
0.36125	1.1810660E-002
0.36275	1.1329174E-002
0.36425	1.0558128E-002
0.36575	8.8295937E-003
0.36725	6.2607527E-003
0.36875	4.8550367E-003
0.37025	4.9076080E-003
0.37175	4.3107271E-003
0.37325	4.8501492E-003
0.37475	6.2081814E-003
0.37625	8.5108280E-003
0.37775	1.0180712E-002
0.37925	1.1347651E-002
0.38075	1.3519764E-002
0.38225	1.5118241E-002
0.38375	1.6455412E-002
0.38525	1.6524315E-002
0.38675	1.6049385E-002
0.38825	1.4732122E-002
0.38975	1.2800217E-002
0.39125	9.4529390E-003
0.39275	6.1517954E-003
0.39425	3.6619902E-003
0.39575	1.5697479E-003
0.39725	7.5459480E-004
0.39875	7.3218346E-004
0.40025	2.6950836E-003
0.40175	4.5125484E-003
0.40325	7.5504780E-003
0.40475	9.9072456E-003
0.40625	1.2685895E-002
0.40775	1.5561461E-002
0.40925	1.7231464E-002
0.41075	1.8193960E-002
0.41225	1.7400503E-002
0.41375	1.5312552E-002
0.41525	1.2467980E-002
0.41675	7.8877211E-003
0.41825	2.3397207E-003
0.41975	-1.3966560E-003
0.42125	-5.4582357E-003
0.42275	-6.9383383E-003
0.42425	-8.5867643E-003
0.42575	-1.0118484E-002
0.42725	-8.4260702E-003
0.42875	-7.6303482E-003
0.43025	-3.6185980E-003
0.43175	1.3359785E-003
0.43325	5.8649778E-003
0.43475	1.1781693E-002
0.43625	1.6420603E-002
0.43775	2.1319747E-002
0.43925	2.2666097E-002
0.44075	2.2401094E-002
0.44225	2.0853877E-002
0.44375	1.7404795E-002
0.44525	1.1756778E-002
0.44675	4.3499470E-003
0.44825	-2.5711060E-003
0.44975	-1.0193706E-002
0.45125	-1.8018842E-002
0.45275	-2.4484158E-002
0.45425	-2.8594375E-002
0.45575	-3.1168699E-002
0.45725	-3.0122042E-002
0.45875	-2.6670337E-002
0.46025	-1.9774318E-002
0.46175	-1.1179805E-002
0.46325	-1.0489225E-003
0.46475	8.5779428E-003
0.46625	1.5995979E-002
0.46775	2.0554304E-002
0.46925	2.2670865E-002
0.47075	2.1865487E-002
0.47225	1.8422127E-002
0.47375	1.4236212E-002
0.47525	8.6058378E-003
0.47675	2.4886131E-003
0.47825	-5.2975416E-003
0.47975	-1.2164712E-002
0.48125	-1.9481778E-002
0.48275	-2.7312875E-002
0.48425	-3.6163926E-002
0.48575	-4.2164803E-002
0.48725	-4.4071674E-002
0.48875	-4.5825243E-002
0.49025	-4.5098543E-002
0.49175	-3.9663434E-002
0.49325	-2.9076338E-002
0.49475	-1.7701268E-002
0.49625	-6.1563253E-003
0.49775	5.9970617E-003
0.49925	1.5138388E-002
0.50075	2.3256898E-002
0.50225	2.6551008E-002
0.50375	2.7071238E-002
0.50525	2.3454428E-002
0.50675	1.8252254E-002
0.50825	1.3091207E-002
0.50975	5.1181316E-003
0.51125	-4.6019554E-003
0.51275	-1.4320016E-002
0.51425	-2.4319887E-002
0.51575	-3.5007238E-002
0.51725	-4.5269012E-002
0.51875	-5.5137396E-002
0.52025	-5.9898973E-002
0.52175	-6.3067913E-002
0.52325	-5.9944391E-002
0.52475	-5.0252199E-002
0.52625	-3.5988569E-002
0.52775	-1.8468142E-002
0.52925	-3.0007362E-003
0.53075	1.3931036E-002
0.53225	2.4492264E-002
0.53375	3.2472372E-002
0.53525	3.6126018E-002
0.53675	3.4276485E-002
0.53825	3.4208536E-002
0.53975	2.7976394E-002
0.54125	2.1974087E-002
0.54275	1.2818336E-002
0.54425	1.2673140E-003
0.54575	-9.8809004E-003
0.54725	-2.4505854E-002
0.54875	-3.7480354E-002
0.55025	-4.9851418E-002
0.55175	-6.1480999E-002
0.55325	-7.0696115E-002
0.55475	-7.4371576E-002
0.55625	-7.4204683E-002
0.55775	-6.8017483E-002
0.55925	-5.7826042E-002
0.56075	-4.0745497E-002
0.56225	-1.9738197E-002
0.56375	6.4873695E-004
0.56525	1.8432617E-002
0.56675	3.0815125E-002
0.56825	4.0316820E-002
0.56975	4.3512821E-002
0.57125	4.2897701E-002
0.57275	3.8413525E-002
0.57425	3.1815052E-002
0.57575	2.3020387E-002
0.57725	1.3522148E-002
0.57875	1.9447803E-003
0.58025	-9.2456341E-003
0.58175	-2.2960424E-002
0.58325	-3.7036657E-002
0.58475	-5.0289392E-002
0.58625	-6.4998865E-002
0.58775	-7.5975418E-002
0.58925	-8.5881948E-002
0.59075	-8.9525223E-002
0.59225	-8.5787058E-002
0.59375	-7.6799154E-002
0.59525	-5.5136681E-002
0.59675	-3.0259132E-002
0.59825	-5.0387383E-003
0.59975	1.8281698E-002
0.60125	3.6277056E-002
0.60275	5.0471544E-002
0.60425	5.8221579E-002
0.60575	5.9638023E-002
0.60725	5.6856871E-002
0.60875	5.0037146E-002
0.61025	4.1146278E-002
0.61175	3.0269861E-002
0.61325	1.5572071E-002
0.61475	2.6671886E-003
0.61625	-1.2507677E-002
0.61775	-2.6885271E-002
0.61925	-4.2879581E-002
0.62075	-5.9544802E-002
0.62225	-7.6562166E-002
0.62375	-9.3050957E-002
0.62525	-1.0483193E-001
0.62675	-1.0997343E-001
0.62825	-1.0838389E-001
0.62975	-9.2982531E-002
0.63125	-6.9005251E-002
0.63275	-3.9693356E-002
0.63425	-1.2931347E-002
0.63575	1.2583971E-002
0.63725	3.0759811E-002
0.63875	4.0180445E-002
0.64025	4.7017097E-002
0.64175	4.9401522E-002
0.64325	4.8995972E-002
0.64475	4.4396877E-002
0.64625	3.6478519E-002
0.64775	2.8215408E-002
0.64925	1.7776728E-002
0.65075	3.6964417E-003
0.65225	-9.8569393E-003
0.65375	-2.5444508E-002
0.65525	-4.0951490E-002
0.65675	-5.8641195E-002
0.65825	-7.7360153E-002
0.65975	-9.1386318E-002
0.66125	-1.0638237E-001
0.66275	-1.1506796E-001
0.66425	-1.1476541E-001
0.66575	-1.0161400E-001
0.66725	-7.3376894E-002
0.66875	-4.2268753E-002
0.67025	-1.0014772E-002
0.67175	1.7919779E-002
0.67325	4.0336370E-002
0.67475	5.4075718E-002
0.67625	5.9799910E-002
0.67775	6.0744524E-002
0.67925	5.8431149E-002
0.68075	5.4851055E-002
0.68225	4.7678113E-002
0.68375	3.9474726E-002
0.68525	2.8779030E-002
0.68675	1.7470956E-002
0.68825	6.0149431E-003
0.68975	-9.1826916E-003
0.69125	-2.4299860E-002
0.69275	-4.0601015E-002
0.69425	-5.6313753E-002
0.69575	-7.4779272E-002
0.69725	-9.1671228E-002
0.69875	-1.0840917E-001
0.70025	-1.1667371E-001
0.70175	-1.1803198E-001
0.70325	-1.0304928E-001
0.70475	-7.3444843E-002
0.70625	-4.3483019E-002
0.70775	-1.1700630E-002
0.70925	1.1681080E-002
0.71075	2.7779579E-002
0.71225	3.5323381E-002
0.71375	3.9657354E-002
0.71525	4.1113615E-002
0.71675	3.9171100E-002
0.71825	3.4181237E-002
0.71975	2.8374553E-002
0.72125	1.9498229E-002
0.72275	9.6479654E-003
0.72425	-1.0453463E-003
0.72575	-1.3680577E-002
0.72725	-2.5503635E-002
0.72875	-4.0218472E-002
0.73025	-5.2677751E-002
0.73175	-6.8717360E-002
0.73325	-8.6470604E-002
0.73475	-1.0035396E-001
0.73625	-1.1423063E-001
0.73775	-1.1879706E-001
0.73925	-1.1356091E-001
0.74075	-8.9649916E-002
0.74225	-5.4092646E-002
0.74375	-1.8344164E-002
0.74525	1.1091948E-002
0.74675	3.1378984E-002
0.74825	4.3609738E-002
0.74975	4.9741268E-002
0.75125	4.8792839E-002
0.75275	4.6312928E-002
0.75425	4.2032480E-002
0.75575	3.7819266E-002
0.75725	3.2162905E-002
0.75875	2.4230242E-002
0.76025	1.6941428E-002
0.76175	8.5397959E-003
0.76325	-7.9607964E-004
0.76475	-1.1793137E-002
0.76625	-2.2936344E-002
0.76775	-3.4087062E-002
0.76925	-4.5301795E-002
0.77075	-5.6888819E-002
0.77225	-6.6547394E-002
0.77375	-7.2411656E-002
0.77525	-7.4588656E-002
0.77675	-6.3173056E-002
0.77825	-4.4175386E-002
0.77975	-1.4079571E-002
0.78125	1.3837814E-002
0.78275	3.7472963E-002
0.78425	5.3296685E-002
0.78575	6.0319662E-002
0.78725	6.3509226E-002
0.78875	6.2440753E-002
0.79025	6.0439825E-002
0.79175	5.7067275E-002
0.79325	5.4002523E-002
0.79475	5.0256252E-002
0.79625	4.7064424E-002
0.79775	4.3731332E-002
0.79925	3.9638638E-002
0.80075	3.5708427E-002
0.80225	3.1099319E-002
0.80375	2.7266026E-002
0.80525	2.2204638E-002
0.80675	1.7253041E-002
0.80825	1.3872743E-002
0.80975	1.0881305E-002
0.81125	8.4840059E-003
0.81275	6.9557428E-003
0.81425	6.7301989E-003
0.81575	7.1481466E-003
0.81725	7.5528622E-003
0.81875	7.6584816E-003
